Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
6353,Let’s Kill All the Mosquitoes https://t.co/DTLeCivAWi #UniteBlue https://t.co/BoHvsbQu3c,,,,,,,,,,,
7503,Spraying Begins in Miami to Combat the Zika Virus https://t.co/Ct2vf0BUrH,,,,,,,,,,,
1395,Fighting Zika in the US: The Battle Over GMO Mosquitoes - ABC News - https://t.co/a2zwOZdqNq via @ABC,,,,,,,,,,,
11386,Mapping #Zika: #GIS powers mosquito surveillance and control https://t.co/wNphRMbVPv … via @GCNtech RT @QuantumSpatial,,,,,,,,,,,
2751,Heading south? Protect yourself from #mosquitobites when travelling to the Caribbean. #chikungunya #dengue #zika https://t.co/aVjBqy63Mq,,,,,,,,,,,
3723,"Staying away, don't spray me man. #Zika #MiamiRealEstate #SouthBchRealtor #StandingWater #SprayingZika #Wynwood https://t.co/z4lbN3FRul",,,,,,,,,,,
7502,Spraying Begins in Miami to Combat the Zika Virus https://t.co/I1ID9CwrSI https://t.co/5JHjIWU0lW,,,,,,,,,,,
9271,Probing a mosquito protein for clues in the fight against Zika https://t.co/GPbft7BFC7 #Health &amp; Medicine News -- ScienceDaily,,,,,,,,,,,
7758,"Protect yourself from the buzzing threat of #Zika with important info from UTMB's Dr. Weaver via, @TechTimes_News:  https://t.co/BOg8s3gpC6",,,,,,,,,,,
9550,Forget the bug spray... gene editing could be the solution to mosquito-borne diseases like Zika... https://t.co/oiCdhtDSRX #mosquito #zika,,,,,,,,,,,
7195,"Wrote a haiku about the Zika virus:  Borderless outbreak Moms afraid, but all yall chill-- Mosquitoes goin' down",,1,,,,,,,,,
2596,Take Back your Yard with Mosquito Protection provided by Bug Busters USA  Keep up to date with Zika Virus CDC... https://t.co/CeQ72Kk9gT,,,,,,,,,,,
5811,Protect yourself from mosquito bites - and the #Zika virus. 10 easy ways to stay safe. https://t.co/PuiHEiAG0s https://t.co/0gOjtZ43LC,,,,,,,,,,,
