id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
701305558066921472,Let's not forget #Ebola’s devastating effect on #MaternalHealth. Now we must protect women &amp; girls from #ZikaVirus with #familyplanning.,1,,,,,,,,,
775487867132850176,"Fearing #Zika, China tourist lodges police report over mosquitoes in #Malacca hotel room https://t.co/MqwgbqaO67 https://t.co/oXBAOE3zmU",0,,,,,,,,,
775630370876174336,Getting more mosquito bites...kinds scary since Singapore is one of the countries with Zika Virus =P,1,,1,,,,,,,
774186711823687684,"Spraying Pesticides May Not Kill Zika Mosquitos:  In Miami Beach, daily crowds have been gathering outside ci... https://t.co/cM3NRSdO1F",0,,,,,,,,,
773555554941820928,Wondering if the chemicals used in the spray for #ZikaVirus are as harmful to lung tissue then Zika itself!!!,1,,,,,,,,,
763572996812316674,Fucking Zika mosquitoes are making it hard to get a boner while watching the almost fully dressed womens beach volleyball. #Rio2016,1,,,,,,,,,
767849206417596416,Considering all the mosquito bites I got this weekend.... Zika is pretty much inevitable! 😩🙄🐜,1,1,1,,,,,,,
697980825585975296,Aaand it looks like this stupid mosquito caught me. 😐 #ZikaVirus,1,1,1,,,,,,,
696460064761233408,Releasing millions of GM mosquitoes ‘could solve zika crisis’ #BillGatesNeedsToBeJailed4Mas… https://t.co/bQPCJLothE https://t.co/4rbltOpLeF,0,,,,,,,,,
759034402538135552,Coming to America Zika Edition. | Florida Confirms First Cases of Zika Likely Spread by Mosquitoes in Continental US https://t.co/DtZrG8S1Kj,0,,,,,,,,,
696282099913981952,Releasing millions of gm mosquitoes 'could solve zika crisis' #news #tech https://t.co/Cvx0wQC57l https://t.co/1yy9t72puc,0,,,,,,,,,
765599082006077440,.Look out #Floridians aerial spraying coming to you.  #Florida   https://t.co/1lZuW0txLJ,1,,,,,,,,,
705196353215991808,"Sitting outside waiting to get Zika cus mosquitos love me, hell yeah.",1,,,,,,,,,
693250061615140864,Going to train mosquitos to hover around me in a perimeter so I never have to deal with another pregnant woman again. #ZikaVirus,1,,,,,,,,,
743103502621106176,"Traveling to Brazil was stressful as fck, but I’d go back tomorrow. Altho no mosquito bites, still will see my Dr &amp; make sure I’m Zika free",1,,,,,,,,,
761536623414685697,Mismanaging Zika: You’ve got to love this town. They sprayed malathion to kill the bugs… https://t.co/wKrTM8ktat https://t.co/BxdTsOVgiK,0,,,,,,,,,
708023534371479552,Stopping Zika: Putting mosquito genes into overdrive @CNN https://t.co/fvVoh2LqdH,0,,,,,,,,,
774281807189667840,Spraying pesticides may not kill zika mosquitos. https://t.co/B4A2ayuJuv via @MotherJones,0,,,,,,,,,
763950905536282624,"Watching a Dr. segment on TV. While talking about Zika, he referenced all the other things mosquitoes carry including CHIKUNGUNYA. #memories",1,,,,,,,,,
742808417375424513,@TheDailyShow @ComedyCentral @Trevornoah NRA already talking about arming to eradicate Zika Virus Mosquito...hope they have enough ammo! RT,1,,,,,,,,,
759155095892361216,Breaking: Donald Trump calls for total ban of all Muslim Mosquitos coming from regions linked with Zika until proven vetting method in place,0,,,,,,,,,
767527802237284352,Sitting on my balcony...in my undies..fresh air...the wind feels nice...weed...and this nice spray bottle of OFF cuz I ain't getting no ZIKA,1,,,,1,1,,,,
700376537011347456,hanging glue traps near water sources could help with the zika mosquito situation,1,,,,,,,,,
789932273990860801,Interesting to know GM #mosquitos could be the #solution to #Zika. Not all #GMOs are bad. #TEDxMidAtlantic https://t.co/gGa0xH72jF,1,,,,,,,,,
751057995753136128,"Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise https://t.co/jiR5tcs51d",0,,,,,,,,,
760665506357444608,Spraying anti-zika in Miami reminds me of DDT,1,,,,,,,,,
697555248026664962,Breaking: Zika Outbreak Epicenter in Same Location Where GM Mosquitoes Were Released in 2015 -... https://t.co/eC0CeeBAES,0,,,,,,,,,
781986047802634240,"remember that one time i went to an iguana farm in Ecuador, got bit by a mosquito &amp; complained in fear for the next 48 hours that i got zika",1,,1,,,,,,,
751179376490721280,"Being devoured by Mosquitos tonight! But #Zika won't stop me travel. If u r like me, read:… https://t.co/bZpJX4fIpC https://t.co/pLeer9BFxr",0,,,,,,,,,
696089174420512768,Spraying poison kills more than mosquitos. #geckos #birds #environment #humanhealth https://t.co/qkZzxbqK0y,0,,,,,,,,,
751827743436787713,L.Wing Using Zika Virus 2 Pimp Abortion Agenda - https://t.co/ZGkH8hN5dJ via @Shareaholic It was x Monsanto insect spray ⏩not Zika.⏪,0,,,,,,,,,
760653207672647680,"⚡️ 'The Olympic lanes are causing a lot of traffic in Rio 🚗🚙🚕🚌😱' Perfect, sitting ducks for the #Zika mosquitoes!  https://t.co/KwnTZ4ZUgB",0,,,,,,,,,
762347931689025536,"TAKE ME TO COPA, COPACABANA, WHERE I SMASH ZIKA MOSQUITOS WITH MY HANDA...",1,,,,,,,,,
723249951933759488,"😂😂😂 Me to #Mosquitoes. Well, fear of #Zika maybe https://t.co/aRTitbJcT4",1,,,,,,,,,
720433279804010496,Protecting fetuses is only fun for the GOP if they can also control women's bodies. Otherwise they'd approve ZIKA funding request by POTUS.,1,,,,,,,,,
760932730540470272,Hearing all these stories about #Zika has me itchy. Buying all the mosquito spray I can! https://t.co/5vzTkBI9nh,1,,,,,1,,,,
749268287502970880,Getting eaten alive by mosquitos this morning. Hopefully none had Zika. 😩🙄😒,1,1,1,,,,,,,
694891914781261824,"Keep glimpsing stuff about Zika Virus &amp; wondering how much is conspiracy &amp; how much is truth - like GM mosquitoes, oxitec, rockefeller #GMO",1,,,,,,,,,1
702856196751896577,fake zika and monsanto mosquitos are being deployed in central america to clear a safe zone for global rich 2 escape the approaching 'storm',1,,,,,,,,,1
762820319375560704,im one mosquito bite away from having  the zika,1,,,,,,,,,
707088126900969472,"Battling Zika, Brazil’s Jews turn to bug repellent and indo... https://t.co/PHjDpuV7wn | https://t.co/hp8R2OMflf https://t.co/UpKoUIRLtR",0,,,,,,,,,
772678576260911104,@colbertlateshow @stephenathome Please do a bit turning Trump's wall into building a Zika mosquito net. Mosque-itos? It writes itself.,1,,,,,,,,,
768610236533919744,@GottliebShow Maybe it's because she was insensitive to the Zika mosquitos,1,,,,,,,,,
776714055516037120,"Stop the #Naled Spraying! If #Zika Infects the #Miami #Music Scene, It'll Be Our Own #Damn Fault | Miami #New Times https://t.co/P3gl34hzVg",0,,,,,,,,,
725438314912698368,Get these mosquitos away from me I don't want that Zika,1,1,,,,,,,,
