id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
693163498143023104,"See the Impact of Zika in Brazil: About nine months after Brazil recorded its first case of Zika, the mosquito... https://t.co/DiigBUIEqp",0,,,,,,,,,
760501446081064960,Retweeted IDPH (@IDPH):  Travel Update –  Zika virus cases in Florida linked to local mosquito transmission... https://t.co/8tZUIXSEu1,1,,,,,,,,,
761307752375291904,Do you know how many mosquito bites I got in Florida??? My children are going to have zika,1,1,1,,,,,,,
732154229125713920,Love this example of my favorite innovation tool: Task Unification. Raises awareness about Zika AND kills mosquitos! https://t.co/flzBwGlxHE,0,,,,,,,,,
766893097670307840,@Ossmeteobargone Spraying pesticides to diminish Zika WITH more chemicals at https://t.co/v3L7hVkR5i https://t.co/ikHgwMNVm0,0,,,,,,,,,
699793045164793857,Put to the Test: South Florida Scientists Develop a Test and a Possible Zika Vaccine: As fears of the mosquito... https://t.co/CQHRzTNIR8,0,,,,,,,,,
726748430668812288,Do you get bit by mosquitos? Me too! This year US needs strong mosquito control measures as #Zika comes this summer https://t.co/nkKRDSfpG6,0,,,,,,,,,
761381251391430656,"Walked to the mail box, 5 mosquito bites... Texas Zika patient zero right here...",1,1,1,,,,,,,
723169470752104448,@AnnaSaccone @JonathanJoly Make sure Anna wears bug spray at all times! The Zika virus is here in Florida!!!!  It affects pregnant women!,1,,,,,,1,,,
756365417803681792,Retweeted CNN Breaking News (@cnnbrk):  Zika found in common house mosquitoes in Brazil. https://t.co/0vIwGMEhYc https://t.co/krKbXcoqqI,0,,,,,,,,,
760965618052894720,Staged Zika pandemic engineered by globalists to justify the spraying of awakening populations w/ toxic chemicals https://t.co/7QB3KZN3IJ,0,,,,,,,,,
772047692625276928,Naled is sprayed in the skies in Florida these days 2 kill Zika infected mosquitos! Here's what it does 2 u!!!: https://t.co/jnXaeniNeY,0,,,,,,,,,
771839604068450304,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/Q42dXTaVst",0,,,,,,,,,
729808277639331841,Worried about Zika or West Nile? Mosquito experts provide some common-sense tips: https://t.co/kfCtnMp720 https://t.co/nApf59qJpk,0,,,,,,,,,
710134546151415812,"Engineered anti-Zika mosquito not bad for environment, FDA says #health #globeandmail https://t.co/eAuh4DEeVu",0,,,,,,,,,
782659932071923712,Worried about mosquitoes (Zika)? One of my high school friends &amp; her spouse have a clever invention... https://t.co/Hxsf3IPLHG,1,,,,,,,,,
695148108288823296,Save the endangered Zika mosquitos #BadKickstarterIn5Words @midnight,1,,,,,,,,,
778228852019564544,"Do me a favor: read this article and protect yourselves from it. This is most likely what I have, and it sucks. https://t.co/8ywRl2KA36",1,,,,,,,,,
748914464716627968,Wonder how they got here.. 😷 Obama: #Zika mosquitoes already in U.S. https://t.co/ohjc2Lft93,1,,,,,,,,,
773490313084096512,Upset Bc SC killed 2.5 million bees by spraying a pesticide to kill mosquitos as Zika virus prevention #savethebees,1,,,,,,,,1,
784077491572834304,Do the mosquitoes with Zika die or spread w hurricanes? Anyone?,1,,,,,,,,,
767843234735329281,yo what the fuck is happening???? mad parts of manhattan were sprayed for the zika virus and nobody knew???? WHAT THE HELL,1,,,,,,,,,
757267156514009088,Covered head to toe in deep wood bug spray. No zika for me. At least I hope not,1,,,,1,1,,,,
699494381158592512,"Need some RT's on this , if my mosquito device proves its self I need it world wide. thanks https://t.co/rkcEKBO8Fw    #zikavirus #maleria",1,,,,,,,,,
772416920368840704,Save the bees! Stop the NALED spraying for Zika. 3 million bees died in South Carolina. #STOPNALED  https://t.co/ARbW8LETob,0,,,,,,,,,
767945828195532800,Thought a spider was runningacross my chest as I lay in bed swat the fuckout of myself turn thelight on giant mosquito bit me #zika x2,1,1,1,,,,,,,
771715091502772229,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/E9exBNC55f",0,,,,,,,,,
762467136296017920,"Walked outside, got bit by 10 mosquitoes and probably have Zika and/or West Nile",1,1,1,,,,,,,
773336697803124736,"Aimed at Zika Mosquitoes, Spray Kills Millions of Honeybees https://t.co/2qllpY7eTu https://t.co/fxWNIWx1Ca",0,,,,,,,,,
772082637976371200,Retweeted Anne Hesnan (@AineNicOisin):  ‘Mass killing’: Anti-Zika spraying accidentally slays millions of SC’s... https://t.co/5AMAkSnMaQ,0,,,,,,,,,
