Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
4346,Concerned with a low flying plane in the #Miami #Wynwood area? It is @miamidadeswm spraying for mosquitos #zika https://t.co/WkjgNBTCkA,,,,,,,,,,,
6234,Worried about Zika virus? Here are the best bug sprays for travelers: https://t.co/ZOblGAapNd https://t.co/hnA6KI9pNh,,,,,,,,,,,
5705,Call on El Salvador to protect #reprorights in the face of #ZikaVirus https://t.co/23wBPGQdZj,,,,,,,,,,,
2083,Retweeted Christina Richardson (@clrson5):  #Zika spraying kills millions of honeybees in South Carolina... https://t.co/hpKb630qFb,,,,,,,,,,,
5754,Took a bath in bug spray before walking to the stand and I'm getting ate up. Probably gonna end up with the Zika virus 😂,,1,,1,,,1,,,,
2654,Learn how to protect yourself from this new #zika #virus. https://t.co/eIDjJVSDA7 https://t.co/nOTgoHFoE3 https://t.co/1ovPpW1nJO,,,,,,,,,,,
295,Take just 2 teaspoons of 100% natural RepelZika and your entire body is protected from mosquitoes.   #RepelZika… https://t.co/WZkIwfO8Ll,,,,,,,,,,,
3319,"Retweeted UNICEF (@UNICEF):  No mosquitoes, no #Zika! You can help protect your community by eliminating mosquito... https://t.co/dDrlchXffy",,,,,,,,,,,
1080,Concerned about the Zika virus? Listen to our webinar today and learn how to protect your employees. https://t.co/Iy3p6Ve9uR,,,,,,,,,,,
593,Updated information on how to protect yourself from #Zika https://t.co/ubOK1kEL09 https://t.co/TkhqWqdAU9,,,,,,,,,,,
4242,Learn about recommended insect repellents to fight #Zika &amp; other mosquito-borne illnesses from @JGPharmD https://t.co/Fxckz3KaVI,,,,,,,,,,,
6214,Concerned about #Zika? Join @CDCgov twitter chat for a Q&amp;A about how to protect yourself. Tomorrow 8–9 am #CDCchat https://t.co/5dhPxgzjbU,,,,,,,,,,,
6301,@DaveTheDrone @aspiritcan @VeritasDolor @Charbrevolution I know it. Been predicting this w/b $$$ vax or spray 1st time I heard #ZikaVirus.,,,,,,,,,,,
3586,Watch this video for ur 101 on mosquitoes! Thanks @SCJohnson https://t.co/KFLcbEME5J #mosquitoes #protection #outdoor #zika #westnile #facts,,,,,,,,,,,
