id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
763421299729391617,See what @DWStweets omitted in her attack on Gov. Rick Scott about Zika and mosquito $ https://t.co/9oFGoLq7Tt https://t.co/5Coqb3eGN5,0,,,,,,,,,
694046010377523200,Are scientists to blame for Zika virus? https://t.co/fDufdMVcaI Researchers released genetically modified mosquitos into Brazil 3 years ago,0,,,,,,,,,
694314253562560512,Are scientists to blame for Zika ? Researchers released genetically modified mosquitos into Brazil three years ago  https://t.co/n2YBxeO4u1,0,,,,,,,,,
726072833378516992,Have any of these outdoor misquito spray companies thought about spending the next 3 months in Brazil? Might payoff. #ZikaVirus #olympics,1,,,,,,,,,
790037157532540928,*translated* My mom: 'Mosquito?! Zika's not gonna come in my house',1,,,,,,,,,
759393671376670720,* Four people in Florida likely contracted Zika from US mosquitoes https://t.co/w3AcRCrnuB @engadget,0,,,,,,,,,
695837067608256512,Imagine a mosquito biting you and then you go mad and die!  #ZIKAVIRUS 101,1,,,,,,,,,
734993784862314496,Don't know why they just don't kill off mosquitoes there must be some way to do it #zika #malaria @UN,1,,,,,,,,,
694200774302306304,Are scientists to blame for Zika? Genetically modified mosquitos were released into Brazil… https://t.co/9XpSYOK8rl,0,,,,,,,,,
693894139730071552,Are scientists to blame for Zika virus? Researchers released genetically modified mosquitos… https://t.co/XNg35Q2LUH,0,,,,,,,,,
793167206989328384,"Put down the weapon, Jennifer. There's a better way.   #mosquitoes #health #zika https://t.co/RwRR7hpwWg",0,,,,,,,,,
741039621400711168,'If a mosquito gets on you and then poops or pees you get zika virus' 💀 this guy is on drugs,1,,,,,,,,,
783727399703687169,Let me come out there and #Access the #Situation With your #Green #Pool full of #Zika ?? #Mosquitoes ?? #YouCanthaveTHAT #LETMEFIXIT #CHEAP!,1,,,,,,,,,
775383997257965568,Read my column in @statesville about Dems putting their political agenda before protecting Americans from Zika: https://t.co/ZMdhPJShjk,0,,,,,,,,,
696276277070790656,Please no one else suggest 'getting rid of all the mosquitos' as a solution to #zika #ecology101... Eliminating a species never goes well,1,,,,,,,,1,
719926644027297793,"“It’s not #GMOs , It’s not #Roundup ! It’s the #ZikaVirus mosquito, I tell you!” #Monsanto  https://t.co/vvI2nzREaH https://t.co/VGE8iz6BEc",1,,,,,,,,,1
692745742344163328,Put a mosquito net on top of the #Wall Mr Trump! #immigrants  #ZikaVirus  #Trump2016  https://t.co/yx6JZd3FEL,1,,,,,,,,,
779092308750839808,@WinterbleShow This week my neighborhood was sprayed because of people having it (supposedly). https://t.co/x66PiGDV0p,1,,,1,,,,,,
720297211771363328,"Don't get 'STUCK' with the #ZikaVirus, Repel it with SalveTheWay Mosquito and Bug Salve @CBSThisMorning @TheDoctors @krqe @TheEllenShow :)",0,,,,,,,,,
757726507837992960,"Do we want our Olympic athletes to be infected, by a mosquito, with the ZIKA Virus. Our Olympic athletes deserve to be respected.",1,,,,,,,,,
695011570003394560,Do y'all know how paranoid I am right now being in Venezuela with all this zika shit goin on? Mosquitos everywhere !,1,,,,,,,,,
771441751374442496,‘It looks like it’s been nuked'- MILLIONS of BEES DEAD after S.C. sprays for Zika mosquitoes - The Washington Post https://t.co/5g9NlQNyVP,0,,,,,,,,,
751387085244735488,"Love it! #skeeterschoolbus in action, not just for #Zika but for #mosquito #prevention in general! Go @hcphtx #kids https://t.co/S9Jkdz5cTl",1,,,,,,,,,
771951477908725760,Guess what? Millions of honeybees were just killed by insecticide meant for mosquitoes carrying Zika.  We need those bees. #SaveTheBees 🐝🐝🐝,1,,,,,,,,1,
777516638056902657,"Let's see, Zika transmission zone on famed South Beach triples and people don't want aerial spraying? https://t.co/X1seVpLIzq",1,,,,,,,,,
770758050328240128,*has a million mosquito bites* *wonders if she has zika*,1,1,1,,,,,,,
740298547334021120,"Ran out to grab my birdseed out of the mouths of squirrels and was bitten by dozens of Zika infected mosquitos. RIP, me. :(",1,1,1,,,,,,,
761545147112943616,'Not this time Zika Virus' Me when smacking a mosquito.,1,1,,,,,,,,
715887707688402944,“It’s hard to get people to invest in it until there’s a crisis.” @DrFriedenCDC on mosquito control #ZikaSummit https://t.co/PynCK8IVuN,0,,,,,,,,,
