id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
723249951933759488,"😂😂😂 Me to #Mosquitoes. Well, fear of #Zika maybe https://t.co/aRTitbJcT4",1,,,,,,,,,
772889236559302656,Is it right to launch mass chemical warfare on Zika mosquitoes? | Patrick Barkham. https://t.co/pjsnmHd15T https://t.co/TSVsrVyGSr,0,,,,,,,,,
705579827672252416,"Do you catch Zika virus having sex? No, just if you make love with the mosquito. lol",1,,,,,,,,,
740623588621832192,"See, the super Zik-bola will form when the sea-lice catch Ebola from people and then give it to the mosquitos that already have Zika.",1,,,,,,,,,
769184026900828161,Is The Zika Virus Spreading In Florida? Hurricane Expected To Increase Mosquito Outbreak https://t.co/GIC47o96eN,0,,,,,,,,,
749001366975025152,"Let me guess, he's having trouble calling them radical Zika Mosquitos......... https://t.co/9hiLiTG3PL",1,,,,,,,,,
740834333804638209,Is anyone else terrified of zika virus? Mosquitos can transmit...and Cayman already has/had an infected person.,1,,,,,,,,,
741433082239127552,Save the bats!! Natural mosquito control with bat houses  #ZikaVirus #bats https://t.co/ASzx6EcDAZ,1,,,,,,,,1,
750835024157696001,"gets mosquito bite, googles 'zika virus symptoms.' #sothisis30",1,1,1,,,,,,,
763057201921593344,"Took a nap on a bench &amp; woke up with 17 bug bites. Is there zika in Jersey? Because if there is, I definitely have it #mosquitoes",1,1,1,,,,,,,
767877465071034368,Show me racist from Trump's mouth! Ever! You pig!  Have a great night! Use protection! #Zika!  https://t.co/TDRuC6pntH,0,,,,,,,,,
761718531906007040,Look it's the Zika infected mosquitos walking around.  #OpeningCeremony,1,,,,,,,,,
746365276216758273,"@paulgalloshow Zika ? LOL those mosquitos projected to hit US mainland next month in July, Obama will blame citizens, Trump will blame Hill",1,,,,,,,,,
760916085235412993,Is Zika Outbreak Blowback From the Release of GM Mosquitoes? “Nature Finds A Way” https://t.co/Q4afWWk9QE #WRH,0,,,,,,,,,
695613279033397248,"Meet the unusually aggressive mosquitoes carrying Zika: Zika virus, a disease once only found in Africa and So... https://t.co/Xe6Cl9M8N0",1,,,,,,,,,
734876816674951170,See attached tweet. Lived here 15 months and still not fixed. #zika #mosquitoes #disease #snakes @cityoffortworth https://t.co/eBGH1QEAuM,1,,,,,,,,,
722224428172455936,Is there an award for First Mosquito Bite of the season?  (Other than Zika hopefully...),1,1,1,,,,,,,
747906296683204608,Believe It Or Not Mosquitos Have Been Used As Bio-Weapons Before #Zika,1,,,,,,,,,
773863302711562242,@bpshow Zika is so horrific that it is easy to forget that Rick Scott gutted mosquito research and prevention early in his administration.,1,,,,,,,,,
786390011012722688,Spill it. Spray it. Help prevent the spread of Zika. https://t.co/nDGI660zXw https://t.co/wvIJPZ5hxA,0,,,,,,,,,
708191660337827840,"Wonder if @WHO will ever investigate the '#Zika caused by #pesticide' claim? Or it will sweep it under the rug, blaming the poor mosquito?",1,,,,,,,,,1
773085232752975872,Is it right to launch mass chemical warfare on Zika mosquitoes? | Patrick Barkham https://t.co/wUyVvIrZEW,0,,,,,,,,,
694833014954590208,Hold up its worser than AIDS worser than Ebola its called zika virus transmitted by a mosquito,1,,,,,,,,,
774068135745814528,Is it right to launch mass chemical warfare on Zika mosquitoes? | Patrick Barkham https://t.co/iF99o0GMMG,0,,,,,,,,,
774319538288504832,Put #zika funding in place! I totally understand why #Floridians oppose consequences of #naled insecticide spraying  https://t.co/fAtUUSW7j8,1,,,,,,,,,
700005855526260736,Leave it to dancehall to come up with a zika song. Shout out to the pregnant ladies protect yourself and your babies..,1,,,,,,,,,
755988678976032768,"Walk 10ft out my door to my truck, mosquito bites. Pull trash cans in from the curb, mosquito bites. No way Im not dying from Zika. No, way.",1,1,1,,,,,,,
760640110257901568,Tell them you'll give THEM Zika #NewWaysToRepelMosquitos,1,,,,,,,,,
771809473912410112,Please help find a cure for those poor mosquitoes with zika,1,,,,,,,,,
771454833933033473,Is IHAM the new NIMBY? Some FL Keys residents skeptical of GM mosquitos https://t.co/544QAPfogw https://t.co/ISR2E7lPOj,0,,,,,,,,,
699371142231023616,Wonder if the same mosquito repellent that's used on regular mosquitos works as well on the Zika mosquitos?,1,,,,,,,,,
691958348560728064,"'Don't go to South America,' pregnant Britons told: Warning over Zika virus spread by mosquitoes that deforms… https://t.co/SHZUSKzKTb",0,,,,,,,,,
694839188827574272,Is it related with GM mosquitoes? https://t.co/XWMhMuF166  https://t.co/qY5EUq8zSY,0,,,,,,,,,
724741082806784000,Do the anti #Monsanto anti-chemical anti-ddt folk realize how the push to get rid of #mosquito killing chems have given rise to #Zika etc?,1,,,,,,,,,1
772837388309696512,Is it right to launch mass chemical warfare on Zika mosquitoes? | Patrick Barkham -  https://t.co/ofD819W7Tf it right to launch mass che...,0,,,,,,,,,
695613320875737088,Is it illegal to publish an article about the #zika virus without a photo of either a swarm of mosquitoes or one giant mosquito?,1,,,,,,,,,
