Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
3139,protect yourself from #zika virus! https://t.co/6kdmS6mGWa,,,,,,,,,,,
2265,Learn what you can do to protect yourself &amp; your family from the #Zika virus. Town hall on 6/29 #FightTheBite #MoCo https://t.co/iN51cjG4I0,,,,,,,,,,,
1279,Learn about the recommended insect repellents to fight #Zika &amp; other mosquito-borne illnesses from @JGPharmD https://t.co/Fxckz3KaVI,,,,,,,,,,,
2365,Is #Zika spraying in #Miami worse than Its #infection?pesticides linked 2 #Cancers &amp; all types of harmful illnesses https://t.co/Um0cSgKF7X,,,,,,,,,,,
3798,Please can we have measures put in-place to protect our citizens/ nation from the disturbing  #ZikaVirus. @263Chat #justincase,,1,,,,,,,,,
4247,Forget about Politics and Votes and protect yourself from Zika,,1,,,,,,,,,
4095,Save the BEES!!! CNN: #Zika spraying kills millions of honeybees: https://t.co/eN7IaNJL5B CNNI  â TheTruthAboutCancer (truthaboutbigc) Sepâ¦,,1,,,,,,,,1,
4576,Is this the best way to protect yourself from the Zika virus? https://t.co/UzWRZTDgWS,,,,,,,,,,,
1225,Get out the bug spray! Shelby County Health Dept. confirms 3rd Zika virus case. https://t.co/NImcX1AqZz https://t.co/n8qAKpoQ6f,,,,,,,,,,,
3646,Is insecticide sprayed to fight Zika a risk for people and wildlife? #Miami https://t.co/jaqcpjklh4,,,,,,,,,,,
5137,Isn't the government going to kill innocent non-Zika mosquitoes by spraying Naled in Miami? Who's going to speak for them? #OppressedNZM,,,,,,,,,,,
636,Call me so I can spray to keep the Zika away !! https://t.co/lQMpNhxzi2,,,,,,,,,,,
3352,"Get the right repellent for your tropical trip with this handy guide, and ensure you are #BugBodyReady  https://t.co/SNMOca4aNv",,,,,,,,,,,
4309,Check out my recommendations on how the #Duggers can protect themselves against #Zika: https://t.co/aQAwCXVjfO,,,,,,,,,,,
471,Find out more about the guidelines on Zika virus protection in workplace. https://t.co/OJl8N1rk9S,,,,,,,,,,,
4645,"Do you know which bug sprays fight #Zika? I'll be on @FoxBusiness with @MariaBartiromo tomorrow, Thurs at 6:30amET discussing this. Tune in",,,,,,,,,,,
2663,"Stop wasting time money on zika. Chemicals, sprays etc won't work. Get bats, cages put in areas now before this spreads more. Easy &amp; works!",,1,,,,,,,,,
407,"See @GreenBreezeImpt #Citronella scented #Organic oil to repel #mosquitoes, No to #Zika  https://t.co/ipDmwlEeP0 https://t.co/Rc9axPDsSj",,,,,,,,,,,
1649,Protect yourself from #Zika by using repellant and getting rid of standing water near your home: https://t.co/S93QyV4YbD,,,,,,,,,,,
3502,Call TCLI today to protect your family from mosquitoes! (631) 271-TREE New York Ranks 2nd in Cases of Zika Virus https://t.co/PtQuqmrjku,,,,,,,,,,,
1264,"Is information on the insecticides used in aerial sprays available for the public? Safety measures, side effects, etc. #Zika #FL @CDCgov",,,,,,,,,,,
4193,"Keep safe traveling, bring mosquito repellent and sleep under mosquito nets https://t.co/vI4sYddTXA",,,,,,,,,,,
1662,Is your church cancelling mission trips due to #ZikaVirus ? Ask your doctor for wisdom &amp; protection concerning #Zika,,,,,,,,,,,
1558,Is protecting babies from Zika more important than giving Planned Parenthood more money? Apparently not. Disgusting. https://t.co/LlTMgt7wan,,1,,,,,,,,,
1170,Call your congressional rep. &amp; ask what they personally have done 2 protect us from Zika. Demand loyalty 2 us vs. political party #NoExcuses,,,,,,,,,,,
1361,yo what the fuck is happening???? mad parts of manhattan were sprayed for the zika virus and nobody knew???? WHAT THE HELL,,1,,,,,,,,,
3787,Check this out @2kewlabs @Dragonsnestling @BrashleyDebbie @akazeeox TVs that repel Mosquitoes!! #ZikaVirus https://t.co/rYnPh8dhFb,,,,,,,,,,,
507,Prevent a Zika virus' mosquito bite with these steps:  1. Apply mosquito repellent with one of the following... https://t.co/MD6qBYvdVl,,,,,,,,,,,
426,Stay up to date with the latest information on the Zika virus and make sure that you're protected. https://t.co/wjwLDIAD7X,,,,,,,,,,,
1270,do your research on Deet and pregnancy - here is a good read  https://t.co/D1bjDJ3aCn #Zika #Zikaprotection #insectrepellent,,,,,,,,,,,
2193,Let's protect one another from #ZikaVirus. Report standing water! https://t.co/VWKnePLbhA,,,,,,,,,,,
2561,Protect yourself and your family from #Zika. PA is taking action to protect its residents https://t.co/ridcKWvjcU https://t.co/F9fre3cxz0,,,,,,,,,,,
3637,"Is insecticide sprayed to fight Zika a risk for people, wildlife? - Miami Herald https://t.co/xHUZrp1qdz #news",,,,,,,,,,,
319,Learn how to protect your kids from #Zika with these tips from @CDCgov https://t.co/sKykwcH5Z6 #zikavirus https://t.co/StxiwmEdMt,,,,,,,,,,,
4732,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/Ob8gzjQz02,,,,,,,,,,,
3895,please protect yourselves against #Zika okay? ð https://t.co/ACRKCW4GQP,,,,,,,,,,,
10,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWedâ¦ https://t.co/oCYHncIpzd,,,,,,,,,,,
3830,Is #Zika here to stay? How are you staying protected? @CDCgov https://t.co/v8HmSTVrIK,,,,,,,,,,,
1568,Doesn't that defeat the purpose of spraying? https://t.co/rbqwXJ9omD,,,,,,,,,,,
1174,"Protect your family and pets from diseases like West Nile Virus, Zika Virus, and Malaria by getting your yard sprayâ¦ https://t.co/IIOE7KY4qU",,,,,,,,,,,
2792,Take a momentary break &amp; learn how &amp; why to protect yourself &amp; your family NOW from #Zika (carried by mosquitos) https://t.co/aBNSpv0slC,,,,,,,,,,,
4158,Check out the Bug Guard deals! Stock up now!  Shop https://t.co/nMvtM4lrCU #bugspray #sale #zika https://t.co/e1shAUdx85,,,,,,,,,,,
3664,Is insecticide sprayed to fight Zika a risk for people and wildlife? -â¦ https://t.co/8w65BugxfD #Zika #ZikaVirus https://t.co/3nLOqqK8p8,,,,,,,,,,,
4850,Is microcephaly from Zika or widespread spraying of Pyriproxyfen to control mosquito larvae in affected areas? https://t.co/dyfRJhjWgD,,,,,,,,,,,
147,Let's not forget #Ebolaâs devastating effect on #MaternalHealth. Now we must protect women &amp; girls from #ZikaVirus with #familyplanning.,,,,,,,,,,,
5051,Take that Zika! Clip on repellents work to protect against mosquitos. Here's a useful data summary. https://t.co/djvC58ciYE,,,,,,,,,,,
551,Is the spraying safe for the citizens?  Many are concerned that spraying will not solve the Zika outbreak #ZikaVirus,,1,,,,,,,,1,
2243,Take just 2 teaspoons of bio-mineral water and your entire body is protected.  #RepelZika #Zika #ZikaVirus https://t.co/MRtf0EnBIe,,,,,,,,,,,
2296,Protect yourself from mosquito bites with these 3 effective repellents: https://t.co/HU72CPPXGp #Zika via @Healthy_Child,,,,,,,,,,,
1066,Learn what @WhiteHouse is doing to protect you from #Zika TODAY! @twitter chat 3pm ET @WhatToExpect #ZikaVirus https://t.co/NHFgOs5Y09,,,,,,,,,,,
513,Share your opinion for chance to win: Zika spraying kills millions of honeybees - CNN https://t.co/s5GinEAuda,,,,,,,,,,,
4999,Protect yourself against #Zika. Here are the best bug sprays to look for. https://t.co/HQT7QakTE6,,,,,,,,,,,
1858,"Relay the facts about #Zika prevention; share &amp; tag a friend. Wear insect repellent &amp; long sleeves/pants, and use condoms. #ZikaFactRelay",,,,,,,,,,,
2369,Watch out for all of the miracle mosquito repellent solutions coming out now. People are trying to capitalize off of #Zika. Itâs big biz.,,,,,,,,,,,
4517,Educate yourself about Zika and learn protection tips https://t.co/3IpXyQGaJj @JackSeiler @leefeldman @FLPD411 @FtLaudFire @clagerbloom,,,,,,,,,,,
