id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
768610236533919744,@GottliebShow Maybe it's because she was insensitive to the Zika mosquitos,1,,,,,,,,,
770934814082031616,@abcDrBchat Just a thought. Could the mosquitos carrying the Zika virus be migrating in cargo ship bilges?,1,,,,,,,,,
765812886019055616,@PringleTheOne no zika comes from mosquitos shigella is another virus that is equally dangerous and comes flies,1,,,,,,,,,
758277557598945282,have about 10 mosquito bites on my leg. Hope I don't get Zika virus,1,1,1,,,,,,,
763421299729391617,See what @DWStweets omitted in her attack on Gov. Rick Scott about Zika and mosquito $ https://t.co/9oFGoLq7Tt https://t.co/5Coqb3eGN5,0,,,,,,,,,
761334611658018816,Read this as: Americans finally start to care about mosquito that has spread killer fevers for over a century. #zika https://t.co/jy8autyw75,0,,,,,,,,,
748544033295900672,"Yeah it sucks, @JamieOGrady... I bet she was thrilled that it was just poop &amp; not a bomb or sack of Zika mosquitos. https://t.co/KbhScrXXjY",1,,,,,,,,,
694915334285819904,Please clean Delhi MCD - dirt / garbage will give birth to mosquitoes with Zika virus that will bite all citizen,1,,,,,,,,,
765599082006077440,.Look out #Floridians aerial spraying coming to you.  #Florida   https://t.co/1lZuW0txLJ,0,,,,,,,,,
760664694814277632,Tell them you already have Zika  #NewWaysToRepelMosquitos,1,,,,,,,,,
762991180913278976,"Let's hope the Zika virus has not made it into the Minnesota mosquito population yet, because after visiting for... https://t.co/PkGwEnHfpK",1,,,,,,,,,
759246730168770564,"Blame it on Brazil. Nasty women there.⚡️ “Mosquitos likely transmitting Zika in Florida, officials say”  https://t.co/ed6d4VObyB",1,,,,,,,,,
772912539508150273,Remind me not to sit in the cage tomorrow at school because of those mosquitos 😂 I don't want Zika,1,,,,,,,,,
784160787740917760,Wonder if H. Matthew will blow away all the Zika virus-infected mosquitoes fr Miami ? #PrayersForFlorida,1,,,,,,,,,
694662357381853184,Yuh a try tell mi seh Zika ah nuh man made? Masqito bite a mek people sick and tun inna STI? A man mek it mi sey an a blight fi wi people.,1,,,,,,,,,
763548431130296320,"Cut the backyard grass in btwn rain showers. If there was a chance for Zika in GA, I'll be the 1st to get it. SO many mosquito bites 😣🙄",1,1,1,,,,,,,
693457817932582912,Commonsense the Zika virus couldn't have being a bigger threat to unborn babies cause mosquitoes spread more of Malaria than the Zika Virus.,1,,,,,,,,,
697980825585975296,Aaand it looks like this stupid mosquito caught me. 😐 #ZikaVirus,1,,1,,,,,,,
733660915250417664,"@colbybaddour Oh no, not the Zika Virus!  Yes, bug spray is definitely important to have these days.   *ML",1,,,,,,,,,
779092308750839808,@WinterbleShow This week my neighborhood was sprayed because of people having it (supposedly). https://t.co/x66PiGDV0p,1,,,,,,,,,
727751918530007048,STOP THE ZIKA VIRUS AND DENGUE FEVER DEAD IN IT'S TRACKS.  Reducing mosquito numbers isn't as hard as you might... https://t.co/GC9IBYmcPo,0,,,,,,,,,
738079302701350912,🤒😷🤕😵💀  A mosquito bit my forehead last night. Now I have an itchy bump and probably zika in the brain. Brb dying!,1,1,1,,,,,,,
695560865773391872,"'Have you guys been vaccinated for the Zika virus, because that mexican mosquito is here' - Lawler on Kalisto. ffs Jerry",1,,,,,,,,,
746674905412927488,"See @GraceBorell you didn't have to worry about Zika last night, just west Nile #mosquito  https://t.co/5gpf0rijmG",1,,,,,,,,,
776181291209355265,Let them spray! That #Zika real !! mosquitos already lil vampires #DadeCounty,1,,,,,,,,,
765349176305672192,*in the car driving home* my mom: 'oh my god there's a mosquito in the car!! Zika! Zika!' wtf😂😂😂,1,1,,,,,,,,
696151673362714624,@anarchoshow Zika is real like HIV created from rhesus monkey inserted in mosquitoes 1956 https://t.co/cEMaUNDwYL @BryanJamezZ,1,,,,,,,,,
770758050328240128,*has a million mosquito bites* *wonders if she has zika*,1,1,1,,,,,,,
767843234735329281,yo what the fuck is happening???? mad parts of manhattan were sprayed for the zika virus and nobody knew???? WHAT THE HELL,1,,,,,,,,,
723096468182061056,Build the wall. America will need also a roof to stop Zika mosquitos,1,,,,,,,,,
735338618257068032,THERES A MOSQUITO IN MY ROOM AND IT JUST WAS ON TV EARLIER THAT THE ZIKA VIRUS IS IN WISCONSIN SO I STARTED SCREAMING AND MY MOM COULDNT,1,1,,,,,,,,
