Unnamed: 0,tweets,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
31139,Bees are responsible for pollinating 1/3rd of the food we eat. And they're killing a lot of them with this zika spray,,1,,,,,,,,1,
32002,all i know this summer i aint fucking with this HOT as sun 🌞 &amp; defiantly not fucking with no damn mosquitoes and getting no  Zika virus 😷,,1,,,,,,,,,
32089,Whenever I see a mosquito near me I scream 'ahhh Zika virus' and swat vigorously just to freak out the people near me #ZikaVirus #summer,,1,1,,,,,,,,
8616,The amount of mosquito bites I've got from Bahamas and Miami I've probably got zika...no kids for me,,1,1,1,,,,,,,
21073,@JonahNRO @WHO I live five miles from the designated Zika safe space. My mosquitoes consider it a bad neighborhood &amp; advise: 'feed only us.',,1,,,,,,,,,
31601,The Zika virus raises concerns about mosquito rich environs but I watched Morning Joe  this morning &amp; the Mika virus worries me more.,,1,,,,,,,,,
2455,Zika Tracker: N.J. tops 50 cases of mosquito-borne disease: Nearly half of all cases reported have occurred i... https://t.co/XwtJcKcP8k,,,,,,,,,,,
16362,Installation pest management coordinators work hard to protect us from mosquito transmitted diseases like #Zika  https://t.co/S93QyV4YbD,,,,,,,,,,,
11070,@Zika_News the GM mosquitoes were designed to kill The Offspring instead it is killing us,,1,,,,,,,,,1
30777,Should be working but I'm instead researching bug sprays so I don't get the zika in the Caribbean in 39 days,,1,,,,,1,,,,
19032,"I got bitten by so many mosquitoes the other day, odd are I may have contracted the zika virus….",,1,,1,,,,,,,
32203,All these mosquito bites I have . I better not have Zika !,,1,,1,,,,,,,
15353,"My gf got bit by a mosquito, I told her she had #Zika",,1,,1,,,,,,,
20451,@becca_radin @gabbysantalla Krp told me I need to start wearing bug spray everywhere I go cause she doesn't want me getting the zika virus,,1,,,,,,,,,
2708,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/BbhCs2UZkn by @CNN via @c0nvey,,,,,,,,,,,
16952,Wonder if that Orange face and hair attract mosquitos with Zika virus? Heading for Florida. I'm bad😃 https://t.co/kRsrrLfpAm,,1,,,,,,,,,
17690,We don't know where Zika-carrying mosquitos virus really are and many counties lack programs to kill them https://t.co/qKBI7i53Fz,,,,,,,,,,,
28312,Maybe we might finally get rid of mosquitoes. They have finally overdone it with Zika virus.,,1,,,,,,,,,
23572,I just got bitten by a mosquitoe. Great...! No kids for me. F.U. #ZikaVirus,,1,,1,,,,,,,
23729,"@Laurie_Garrett Q: do we know if the African strain of Zika confers protection from the Asian strain? or might it be like Dengue 1, 2, 3, 4?",,1,,,,,,,,,
31917,"When I heard the Zika virus could be transferred through sex, my first thought was: people are having sex with mosquitos?",,1,,,,,,,,,
