id,tweet,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
697925165020266498,once i kill one mosquito the probability of me getting zika virus is reduced,1,,,,,,,,,
733345452549124097,and then those mosquitos will become zika carriers so excuse me while I go purchase mosquito repellent in bulk at Costco &amp; buy a hazmat suit,1,,,,,1,,,,
759018872166944768,"If Zika is truly prevalent in Mexico, I got it by now...mosquitos love me....bug repellant and repellant bracelets be damned",1,1,,,,1,,1,,
766746347059941378,"We need a plan to deal with the #ZikaVirus. It is not going away, in fact it is spreading. #ProtectYourself https://t.co/9I2Com4YIq",0,,,,,,,,,
765334853281718272,*gets mosquito bite* Thinks to self: 'I have Zika....',1,,,,,,,,,
767963877321560065,Brutally murdered a mosquito in my room. I'm not playing games with this Zika virus. 🙅🏽,1,1,1,,,,,,,
697156951399006208,@NShirley88 I hope you get bit by 100s of mosquitos and get Zika,1,,,,,,,,,
761307117080809472,thank you lousy GOP congressmen for NOT protecting us against Zika I hope votes are mightier than ur inaction,1,,,,,,,,,
758718817920966656,@Struggle_Tweetr I pick the mosquito which gives Trump Zika. Cause he's bad if you didn't know.,1,,,,,,,,,
773561476359524352,They are spraying chemicals in Florida over the Zika Virus..Killing bees that WE NEED to live and these chemicals could be harmful to people,1,,,,,,,,1,
729554392677003264,Why this draws my attention: Mosquitoes •spray blood (Zika-infected 'if ya got it') on #skin as feeding •prefer pregnant women •pierce skin,1,,,,,,,,,
697527378340261888,We need some mosquito killing cold weather in Houston ASAP! @HellerWeather #ZikaVirus  https://t.co/bzCH9XURVu,1,,,,,,,,,
766331899040194560,#ZIKA Viruses and mosquitoes should be scared of us not the other way around.   See also Genesis 1:26 for the correct order of things.,1,,,,,,,,,
767666086397480961,All morning u've been avoiding telling us what else besides Zika the 'bug spray' kills?Public service? @CBSNewYork @BurrellTV  @ChrisWragge,1,,,,,,,,,
720742633484730368,"Stepped outside for a smoke. I just got tore up by mosquitos. Yup, probable caught #ZikaVirus #plantcity #florida",1,1,1,,,,,,,
