,tweets_VB
113,Let's just say all confirmed microcephaly cases are infected with #Zika virus because...belief? Thoughts at #VirolDU https://t.co/B5SNofw6lC
3342,"Protect Yourself from Mosquitos With concerns about the spread of Zika virus, protect yourself from mosquito... https://t.co/bYFluUeZML"
112,"VOLTOU A HORA  MAIS UMA HORA PRA PODER PEGAR ZIKA VIRUS, DROGA!"
3029,Protect yourself from mosquito bites - and the #Zika virus. 10 easy ways to stay safe. https://t.co/IDGtrQv3uB https://t.co/pbmKkUCzLy
3053,Learn how you can help protect yourself from mosquito bites and #Zika. https://t.co/13Nl3HZcZy
1166,Protect Yourself Against the Zika Virus with Homemade Essential Oil Mosquito Spray #sovereignmind https://t.co/oSnqgLAElD
919,Protect yourself against Zika Virus with natural repellent ideas: Neem oil can mixed with your pet's shampoo ... https://t.co/LUvhjmG8iB
1688,"Expect More US #ZikaVirus Cases, US CDC Experts Say https://t.co/ZXjw6wVqBV #Zika"
1108,Reduce your risk of becoming infected with mosquito-borne viruses such as West Nile and Zika. https://t.co/pVFhmUflzm
1318,Learn how to prevent the spread of Zika &amp; have your questions about the virus answered at today's #UNC Zika event: https://t.co/VMfyOkqMeA
328,Say what? Zika-proof Olympic uniforms unveiled by South Korea https://t.co/4Nxq8udK4g
3129,Remove standing water to reduce mosquito breeding around the home. #Zika #DCFightsTheBite #DCMosquitoControl https://t.co/cw05ehCgKl
1851,Read what Brazils doctors have to say about Zika. Read about the true cause.. Pesticides!! Zika is the hoax coverup.
3906,See all the places where the Zika virus has spread https://t.co/O15EK5hoRS via @TIMEHealth
633,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? https://t.co/ZGXxmK63Ty https://t.co/JKGYQcemKn"
2543,Let’s Kill All the Mosquitoes https://t.co/DTLeCivAWi #UniteBlue https://t.co/7nMcSmkxE6
2429,Be careful out there! 15 ways to protect yourself against Zika https://t.co/GpaBYw9wQ9
2349,Protect yourself from the Zika virus. https://t.co/w7fMlxr9wy https://t.co/A76AKLLehT
2717,Protect your Family against the West Nile and Zika Viruses: https://t.co/fXApQnyGYG https://t.co/beVsfmIu8u https://t.co/vszCxBhdq8
258,Let's ask the Zika mosquito if it's worth the risk. ⚡️ “Should the Rio Olympics be canceled?”  https://t.co/mVpIPwGCiV
4409,Prevent the spread of  ZIKA virus by removing all mosquito breeding sites in and around your home! #ZIKV #Prevention https://t.co/HX6KhAKxII
134,@anarchoshow geneticaly modifed mosquitos attack mosquito lava public no nothing to busy watching superbowl to ad up what this zika virus is
2964,"Understand what can be done about the #mosquito that spreads #Zika. Ethics aside, there's a huge market here. https://t.co/fPBMG0Qvqu"
2213,Use this field guide to identify mosquitoes that carry the Zika virus  https://t.co/FETn4tIGs8... https://t.co/2djMTPHX4g @businessinsider
2938,Help support development of a mosquito-based diagnostic method to monitor the spread of the Zika virus! https://t.co/kwUORUxiUm
3085,Forget about #Zika. There is a reason why mosquitoes in #Rio are so...wild :)) #Brasil2016 #Rio2016 #Russia #doping https://t.co/SlKrLULCTW
3991,‘A massive policy failure’: UN-body admits its fault for #Zika virus spread https://t.co/GD0qjwY1Ym https://t.co/iwFgwZbSVe
2329,Check out the 5 components of a strong Installation Pest Management Plan to avert mosquitos that may carry #Zika: https://t.co/jaKcvEBqFC
917,Protect yourself from Zika by growing natural mosquito repellent https://t.co/HTlaRlWGLi
30,Learn about Zika protection on 7/16 at @DOHDC’s Zika Outreach Session. Info here: https://t.co/dCNfbgcJno
2916,Learn about the recommended insect repellents to fight #Zika &amp; other mosquito-borne illnesses from @JGPharmD https://t.co/Fxckz3KaVI
1203,Learn the facts about the Zika virus and how to protect yourself against it.  Read more: https://t.co/80u8RZvnSV https://t.co/joem3Nrzay
2736,Protect yourself from mosquito bites: use insect repellent &amp; wear clothes that cover body #Zika #HopeSolo #Olympics https://t.co/T5b2uVF6JT
1735,"adalberto A how-to guide to protecting you, your sexual partner and unborn babies from the dangers of Zika.   vazquez"
4129,Keep mosquitoes out of septic tanks.  Mosquitoes can get inside broken or unsealed septic tanks and lay eggs. https://t.co/szeao3sDRZ #Zika
1420,Protect Yourself Against the Zika Virus with Homemade Essential Oil Mosquito Spray https://t.co/RAwxYxqV3O
3275,"Learn how to keep mosquitos away, especially important this year with the threat of the Zika virus. https://t.co/DgRABCHhM0"
1960,"Keep mosquitoes out of your yard &amp; home. Once a week, empty, cover or throw out items that hold water. https://t.co/T92PBZPf8Q #Zika"
2660,Let this sink in...it is now possible to contract an STD from a mosquito bite. #ZikaVirus https://t.co/B4TE4xvm7U
4161,Prevent the spread of Zika. Protect yourself from mosquito bites. Find out how: https://t.co/9gR2kUYWF1.… https://t.co/gasm67qsO4
2550,Check out Insect Repellent Pump Spray 6 Oz Protection From Bites Zika Dengue Mosquitoes  https://t.co/vCzRZXjNtV via @eBay
205,See: Fight Against Zika Mosquitos to Resume After Hurricane Hermine in Florida https://t.co/sEKeJ0d3Pv https://t.co/g7Om3aQJ98
1734,Defend your family from #mosquitoes and the #ZikaVirus with a #SextonPe https://t.co/uP0YtCcyKl stControl service
2268,Look how widespread Aedes mosquitoes are in Europe: https://t.co/t2ebObku6j perfect for viruses like #Zika #Dengue and #Chikungunya
1062,Learn about the recommended insect repellents to fight #Zika &amp; other mosquito-borne illnesses from @JGPharmD https://t.co/Fxckz3KaVI
3501,See all the places where the Zika virus has spread https://t.co/sJGUXPbzN5
1487,@AccioFireball just call in and say you have Zika symptoms or an upper or lower body injury. Then you can go to all 3 games this wknd.
3016,Reduce your #Zika risk: wear insect repellent &amp; cover exposed skin. Please retweet. https://t.co/EXjQTtfPgw
1315,Let's protect those unborn babies from Zika!...but don't try to sneak any funding cuts for Planned Parenthood into that bill.
3299,Learn about the Zika virus https://t.co/q4wOVGmJLB and how it is spread https://t.co/6hEPkgBYUI
3935,"Love this: on mosquitoes and heartbreak, @viaSimonRomero's reporter's notes from covering Zika in Brazil. https://t.co/kNUknRJWQF"
146,See how #cartoonists paint a disturbing picture on the #ZikaVirus #mosquitos @Olympics   https://t.co/kWaVLszZFg https://t.co/zJyulrB7a7
107,Prevent the spread of #Zika https://t.co/XMJANJKipp #mosquito #NoStandingWater
