,tweets_VBP
35,Don't miss today's awareness event about the emerging mosquito-borne virus #ZikaVirus at 12-1 in the female theater https://t.co/OqSwGgtATu
777,Don't forget tomorrow is when you can rid yourself of those mosquito nests. #Durham #tires #ZikaVirus https://t.co/GN3X2dMzpS
164,"Don't Use Ebola Funds To Fight Zika: It's coming. Zika virus has turned up in mosquitoes in Puerto Rico, where... https://t.co/ZP9aw3762L"
491,Don't ignore the Zika warnings: How to avoid disease-carrying mosquitoes at home
435,Don't worry it's just INSECTICIDE! @RealAlexJones   BBC Miami sprayed with insecticide in effort to stop Zika spread https://t.co/tw3H6qtdR3
203,"Don't worry, Giant Zika mosquitoes will eat the body, the Olympic mascot eat the mozzies, then they shoot the mascot https://t.co/egLKtBAIwF"
530,"Don't shun Florida over Zika, officials say https://t.co/zmFwEv86ez"
392,"Don't panic, kill mosquitoes. #ZikaVirus #LetUsSpray #LetUsPray"
739,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sexual tr… https://t.co/a3gttP90K0
545,"Don't shun Florida over Zika, officials say https://t.co/NeDJI1nDKi"
390,Don't forget your insect repellent! @CDCgov confirms local transmission of #Zikavirus in Colombia and Suriname. https://t.co/Od5XAcmKXX
428,Don't wear scents when your outside at night in Florida as mosquitos love it! Some folks overdue the cologne. Go scentless.#Zika
159,Don't be a part of the transmission cycle---Fight the spread of #ZikaVirus by wearing insect repellent!
391,Have you been to an area with Zika virus transmission? #ZapZika by using insect repellent for at least 3 weeks. https://t.co/hV5v8hoGPg
474,Don't blame sports for Zika's spread https://t.co/1gNCrG6qji
252,Are the Aedes Aegypti and Albopictu species of mosquitoes in Singapore transmitting the Zika virus now? https://t.co/pWeJwsqOi2
719,"Don't panic about ZIKA. Mosquito born, viral illness. Easy to treat and prevent. Risks for pregnant women. Posting more."
176,"Don't Use #Ebola Funds To Fight Zika: It’s coming. Zika virus has turned up in mosquitoes in Puerto Rico, where… https://t.co/Rp2OpBBKJY"
143,don't worry about that zika mosquito crap - your rocknroll lifestyle makes you immune to all that petty-ass stuff https://t.co/7VFzmM1gBk
673,Don't get bitten by mosquitoes. That's the advice on how to keep from getting #Zika. So which repellents work? https://t.co/ZhVVdEsdyP
538,"Don't shun Florida over Zika, officials say: Four Miami-area patients tested positive for Zika, but the direc... https://t.co/x8VKN8CiBV"
582,Are scientists to blame for Zika? Genetically modified mosquitos were released into Brazil… https://t.co/9XpSYOK8rl
78,don't really care about zika but fuck mosquitos
688,Think like a #mosquito and beat #ZikaVirus #zika #Brazil https://t.co/F6a65v3viT #infectiousdisease
623,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sexual transmission …
192,Don't bring Zika to LA @BillPlaschke NO MOSQUITO BITES ALLOWED https://t.co/g5wFPU0aPS
640,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sex -https://t.co/7EtfSfBd59
363,Are scientists to blame for Zika virus? Researchers released genetically modified mosquitos into Brazil three year… https://t.co/6KdyK1PgpJ
96,Do you like #zombies? 'Cuz this is how you get zombies.  https://t.co/IYwxduTI8V #ZikaVirus #mosquitoes https://t.co/9uG6eFGOWK
401,Have you heard ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ by Sylvio D'avila on #SoundCloud? #np https://t.co/LZ0l3tai1Q
404,Don't blame sports for Zika's spread - Science Magazine https://t.co/S5u7qi3w02 #economy
360,Do those insect repellents really protect you from the #ZikaVirus? https://t.co/v8mehSP6sk via @FTC https://t.co/XxWuXAxez0
457,Don't blame sports for Zika's spread - Science Magazine https://t.co/A3FTNiN4qP
199,Have you heard about the Islamic Zika mosquitos on flakka. #histeria
775,Don't forget to dump rain water from outdoor containers to keep mosquitoes from breeding. #Zika https://t.co/Qcl33Ivmf7
271,are people not gonna realize Zika wasn't a problem until they released the gmo mosquito. hmmmmm
200,"Don't panic yet about getting Zika from mosquitoes, scientist say https://t.co/nKKdM42oJz"
216,Don't you just Love fishing for hours and all you catch is fucking Zika from all the mosquitoe bites
652,"Don't forget, free Zika Virus protection seminar tonight at @LSUHealthNO 5:30pm,  411 So. Prieur St. Expert doctors to answer your concerns."
41,Don't leave ur house without putting bug spray on. This #ZikaVirus is becoming bigger than #Ebola. Click on link: https://t.co/VhZEfnR2HM
34,Have to agree w the idea it won't stop #Zika spread https://t.co/H0kFTPe7jJ
735,"Don't have surgery,make babies,have sex.Zika now said to infect  blood supply and spread via sexual transmission - https://t.co/DVh2EKb7yc"
225,Have you heard ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ by Sylvio D'avila on #SoundCloud? #np https://t.co/LZ0l3trSTo
198,"Do you think pregnant women with Zika should be allowed to have an abortion? To vote, reply with: 'Yes' or 'No' [2/4]"
323,"Don't panic, but #Zika might not be the only #mosquito-borne threat on the horizon: https://t.co/aohVqGg2ax"
497,Are those dancing Zika mosquitos? #OpeningCeremony
638,"Don't have Surgery, Sex or make Babies because World Depopulation Agenda 21 Engaged. Thanks f/GMOing Misquitos, NOT! https://t.co/OLg4opEcGq"
724,Don't know why they just don't kill off mosquitoes there must be some way to do it #zika #malaria @UN
513,"Have you traveled to a country that has #ZikaVirus? If so, learn how to protect you &amp; your partner upon your return https://t.co/MAQzu6zZir"
676,Don't let mosquitoes ruin your holiday. Use repentant when outside. #zika #WestNile
407,Don't blame sports for Zika's spread https://t.co/9zyp8sWqCp
518,Do they not realize how important honey bees are? Millions of bees dead after S. Carolina sprays for Zika mosquitoes https://t.co/xdG519vx78
472,"Don't get 'STUCK' with the #ZikaVirus, Repel it with SalveTheWay Mosquito and Bug Salve @CBSThisMorning @TheDoctors @krqe @TheEllenShow :)"
31,Think it's that shit mosquitos carry RT @comup: Da Fuck is the Zika virus ?....
339,Have the #Zika Virus mosquitoes not boarded the free flight to India yet? https://t.co/c81MBbJIwX
132,"Do not put a fish bowl next to a pesticide can, fish will die. Spray pesticides over humans, nothing will happen #Zika #ZikaVirus #florida"
33,Don't worry travel to the #olympics will aid global spread of #zika - a drop in the ocean compared to usual activity https://t.co/SwZAlI9Tzx
359,Don't forget mosquito population explosion as standing water remains during cleanup. #Zika https://t.co/QpoJucwmiF
697,Are the common Culex mosquitoes also spreading #Zika?  https://t.co/7tSTyJXy2D
126,Have you seen a million mosquitos? How many of those are aedes &amp; perhaps Zika carrier?  Check out this Mosquito... https://t.co/1A8rITJGDw
408,Don't blame sports for #Zika's spread: Tahitian team plays in Recife “is a great story but who knows if it's true.” https://t.co/gPHApL3gM9
706,"Don't wait for virus to spread, #HRProfessionals &amp; employers take action now to better prepare for #Zika https://t.co/2vb6VugsWt"
45,Don't have #surgery or make babies or have #sex. #Zika now said to infect the blood and spread via #sexual contact https://t.co/CuuaVxUbjq
