,tweets_pronouns
20350,@politico I alone can get rid of the Zika;  with 20 foot mosquito net!
40732,omg theres a mosquito in the room i think i just got zika
11334,@MatthewTrotman @MorningBlend969 Zika.... Smt.... Our tourism product is unbreakable! #BahamianPrivilege
25045,I got 9 mosquito bites just from last night. hope I don't get the Zika virus. 🙄
14980,I added a video to a @YouTube playlist https://t.co/plJZkPz9OV Mutant Mosquitoes to Fight Zika Virus
32703,Just got bit by a mosquito in MD. I'm 89% sure I have Zika now.
25940,We do not promote any products. Do not solicit this account. #zika #zikavirus #viruszika
31242,the amount of mosquito bites i have on my body I'm genuinely shocked i don't have Zika
28556,Our reporter @AmyWalters goes looking for #Zika in Florida and gets bitten: https://t.co/eURTh7lFf2 @reveal
11948,@DanNBC6 I'm afraid that #Zika will spread across #SouthFlorida.
29232,I'm gonna get the damn Zika virus with all these mosquito bites I have 😕
43173,I got bit by like 379278203974738282.99 mosquitos Monday now I gotta worry about having Zika 🤔🙄
14971,Climate Change Could Tell Us Where Zika Virus Spread Next https://t.co/VIgFllvrRJ #ClimateHour https://t.co/TypW06MWFQ
21451,@richardbranson @MsValF I read an interesting article in Time about genetically eradicating mosquitos https://t.co/kycEux7wiC
36904,@imkevinquinn We'd love to talk with you about community mosquito education. #ZikaOutbreak dtouwsma@mosquitonix.com https://t.co/X3wH4nayrH
23975,Fighting Zika in the US: The Battle Over GMO Mosquitoes: How a Florida Keys island could change the way we fight mosquito-borne diseases.
40203,Jerry Colangelo -- We're Trying to Protect Team USA from Zika Virus (VIDEO) https://t.co/XLQPeABDPQ via @TMZ_Sports
4429,my sketch of a zika mosquito https://t.co/4rJZpqlyDK
44128,Traitors r tiwari INC &amp; kejriwal I req n patriotic mosquito to gift tham dengue chicken Guinea zica &amp; new wat thy have.They r paki agents
42956,"CDC plans to test U.S. athletes for Zika during Olympics in Rio, one many protective measures. My story. https://t.co/C5XoCL6fgt"
40357,We Have the Technology to Destroy All Zika Mosquitoes https://t.co/A0SLkCSDJZ
27381,I was too cool for bug spray; now I have #Zika @chicagotribune https://t.co/skHWOUxpey https://t.co/QbgYPpCKvZ
29950,@PressSec says Congress' #Zika bill doesn't do enough: 'It is a far cry from what our public health experts say is necessary'
8344,At this point I don't go anywhere without my Off spray &amp; mosquito bracelet.. We can't afford Zika..
13920,First in a long while a mosquito bit me ...i hope this is not zikv
43609,Soooooo now we have us a Zika emergency on Broward County. I still say Zika sounds like a club for hipsters.
28951,I'm down. Can Gin and Tonic Repel Zika Mosquitoes?  https://t.co/805Q2zr5lM
17731,Multiple emails from Carnival warning us about the Zika virus. My ability to attract mosquitoes is going to land me in a Mexican hospital 😂
