,keys,values
0,repel,1.0
1,spray,1.0
2,protect,1.0
3,mosquito,1.0
4,moisquito,0.9411764705882353
5,mosquitio,0.9411764705882353
6,mosquitod,0.9411764705882353
7,mosquitot,0.9411764705882353
8,mosqueito,0.9411764705882353
9,mosquinto,0.9411764705882353
10,mosquitgo,0.9411764705882353
11,amosquito,0.9411764705882353
12,dmosquito,0.9411764705882353
13,mosquitof,0.9411764705882353
14,mosqiuito,0.9411764705882353
15,gmosquito,0.9411764705882353
16,mosquitoo,0.9411764705882353
17,mosquioto,0.9411764705882353
18,mosquitor,0.9411764705882353
19,mostquito,0.9411764705882353
20,mmosquito,0.9411764705882353
21,mosquitno,0.9411764705882353
22,mossquito,0.9411764705882353
23,mosquitao,0.9411764705882353
24,mosiquito,0.9411764705882353
25,wmosquito,0.9411764705882353
26,mosquitou,0.9411764705882353
27,mospquito,0.9411764705882353
28,mosquitoy,0.9411764705882353
29,nmosquito,0.9411764705882353
30,mosquitoi,0.9411764705882353
31,mosquitto,0.9411764705882353
32,mosquitob,0.9411764705882353
33,mosquitoe,0.9411764705882353
34,mosquitos,0.9411764705882353
35,iprotect,0.9333333333333333
36,protecte,0.9333333333333333
37,mosquto,0.9333333333333333
38,protectb,0.9333333333333333
39,protectg,0.9333333333333333
40,protectn,0.9333333333333333
41,moquito,0.9333333333333333
42,mosqito,0.9333333333333333
43,protecti,0.9333333333333333
44,mosquit,0.9333333333333333
45,protects,0.9333333333333333
46,mosuito,0.9333333333333333
47,protct,0.9230769230769231
48,potect,0.9230769230769231
49,protec,0.9230769230769231
50,spraye,0.9090909090909091
51,sparay,0.9090909090909091
52,sprayu,0.9090909090909091
53,sprayg,0.9090909090909091
54,wspray,0.9090909090909091
55,repell,0.9090909090909091
56,sprayd,0.9090909090909091
57,sprayi,0.9090909090909091
58,sprayn,0.9090909090909091
59,repels,0.9090909090909091
60,repeal,0.9090909090909091
61,sprays,0.9090909090909091
62,mosquitomy,0.8888888888888888
63,ccmosquito,0.8888888888888888
64,moisquitos,0.8888888888888888
65,mosquitoam,0.8888888888888888
66,mosquitotd,0.8888888888888888
67,mosquitosa,0.8888888888888888
68,mosquitoya,0.8888888888888888
69,mosquitoin,0.8888888888888888
70,mosquitoit,0.8888888888888888
71,mosquitodo,0.8888888888888888
72,mousquitos,0.8888888888888888
73,mosquithoe,0.8888888888888888
74,mosquitoex,0.8888888888888888
75,mostiquito,0.8888888888888888
76,mosqiuitos,0.8888888888888888
77,sray,0.8888888888888888
78,mosquiteos,0.8888888888888888
79,mosquitotr,0.8888888888888888
80,mosquitoea,0.8888888888888888
81,mostaquito,0.8888888888888888
82,mosquitofi,0.8888888888888888
83,mosquitobe,0.8888888888888888
84,xmosquitos,0.8888888888888888
85,mosquitosi,0.8888888888888888
86,fmosquitos,0.8888888888888888
87,mosqueitos,0.8888888888888888
88,mosiquitos,0.8888888888888888
89,mosquitors,0.8888888888888888
90,emmosquito,0.8888888888888888
91,mosquitooo,0.8888888888888888
92,mosquitoey,0.8888888888888888
93,mosquitoor,0.8888888888888888
94,gemosquito,0.8888888888888888
95,mostquitos,0.8888888888888888
96,mosssquito,0.8888888888888888
97,mosquitoby,0.8888888888888888
98,mosquitoye,0.8888888888888888
99,usmosquito,0.8888888888888888
100,mosquitogt,0.8888888888888888
