,tweets_VBD
0,Was the Zika Outbreak a Product of Climate Change? https://t.co/jDO1l4mAw1 #carbon-news-feeds #feedly
1,Surprised he's not building a wall to keep the Zika Virus from spreading and that he's not making the mosquitos pay for it???  #debatenight
2,did no one see this coming? Millions of #bees dead after S. Carolina sprays for Zika - Washington Post https://t.co/F5WscCHbS2 #honeybee
3,got bit by so many mosquitos last night at least one of them probably had the zika virus ttyl
4,"saved a puppy from the drain, rewarded with mosquito bites, paranoid for Zika, so much emotions"
5,did you miss?New post: Aerial Pesticide Spray Adds to Fears #florida #miamibeach #zikavirus https://t.co/TE23wHdDdT https://t.co/VLqwDEIPSt
6,did U hear about this @FearDept ? Florida pple more afraid of GMO mosquitoes than Zika virus https://t.co/0r5lvy2Rco
7,Worried the Olympics spread Zika? W.H.O. says NO infections were reported https://t.co/NDQ3iBa0lg @stavernise
8,went outside for 4 minutes. 40 mosquito bites #zika
9,Stoked that Montana's first Zika case is in Missoula...not. 😑 yo RML you find a cure yet? #gtfomosquitos
10,Had the pleasure of illustrating @sydbrownstone's amazing feature on the UW scientists studying Zika and mosquitos! https://t.co/FrxMc9O9jw
11,Woke up to the headline: genetically modified mosquitos to be released to fight Zika virus in central Florida.... https://t.co/jjAJOum7JX
12,got attacked by mosquitos lowkey probably have Zika
13,"Visited a Mexican restaurant and they had some really authentic Mexican food, beer, tequila and Zika mosquitoes."
14,got mosquito bites in Miami. you know what that means #Zika
15,Spoke Out 7/14 #HouseRecess @RepAdams @RepPaulTonko @repmarkpocan @rosadelauro @RepEBJ  NO LEGISLATION PASSED #GunViolence #Zika #FlintWater
16,Was the Brazilian Zika virus outbreak centered in a place where GMO mosquitoes were released? https://t.co/U40DxasYWb
17,got any larger spray bottles? #Olympics2016 #USA #ZikaVirus #nothanks https://t.co/LsaZLE7EeB
18,Watched a rookie smack his FTO in the back of the head to kill a mosquito. That's either bad forethought or excellent officer safety. #zika
19,"got bitten by a mosquito today, better hope it ain't zika"
20,saw a public works guy collecting water from a puddle. asked him if he was looking for mosquito larvae and he said yes. Lookin for zika
21,got bit by a mosquito  have Zika
22,took a bath in 90% Deet bug spray inorder to not contract Zika
23,Was the Zika outbreak caused by release of genetically modified mosquitoes in Brazil?  https://t.co/dgwuGpILKW
24,"Woke up to the best news, got a protecting door against mosquitoes at home Zika eat your heart out lol"
25,Got a bad #mosquito bite?  Have your #bff slap you!! #zika https://t.co/GhXvQe6zmg
26,Predicted that zika virus will spread eastwards and it really did fml
27,"Spotted a mosquito in the house. Got @DanBaduk's attention and signed, ZIKA ZIKA ZIKA ZIKA!!! He slew it."
28,did u guys know the government is trying to make GMO mosquitoes for zika??? this is how the world ends: evil bugs
29,"Packed....off to Recife, Brazil in a few hours...two things to remember: 1) steer clear of mosquitos 2) don't get pregnant.....#Zika"
30,did abka say anything about zikv being here?
31,Predicted The ZiKA myth was not scary enough Now they say it attacks the immune system Is an Autoimmune disease Just about anything..  BULL!
32,Smushed a mosquito and yelled zika #sjw
33,was eaten alive by mosquitoes last night and probably have zika now (cue 'bad girls' by MIA)
34,"got bit by a mosquito on animal crossing, probably have Zika virus now"
35,got attacked by mosquitos at the baseball fields fml hopefully OK doesn't have zica virus
36,Woke up to the sound of a mosquito. Thought went to #zika.
37,didn't someone say once that deforestation would cause outbreaks of new diseases #ZikaVirus #hypothesis
38,Fielded many questions this week from worried pregnant patients re: #ZikaVirus #Microcephaly #Mosquitoes 😷🍼 https://t.co/sRnEqBlZy8
39,did you know that Zika virus is spread by mosquito frm person to person in a manner similar to malaria transmission https://t.co/bTISYD4Xvr
40,got the trucks out here spraying the mosquito shit so yuh girl don't catch zika. 🙄
41,did you miss?New post: How Doctors in Florida Are Protecting Pregnant Women From Zika  https://t.co/Jp5U0qvXVh
42,did you miss?New post: How Doctors in Florida Are Protecting Pregnant Women From Zika  https://t.co/Jp5U0qNzjR
