,tweets_VBN
0,Posted from #HealthNow - Common Culex Mosquitoes Don't Transmit #Zika Virus. https://t.co/0nviSTZe6B
1,Forced into funding Zika. Now that the weather is cooling down &amp; mosquito season is passing. Damage has been done. https://t.co/KPTuTbcjgr
2,Worried about the Zika virus this year?  Iceland has no mosquitoes!  You can travel worry free! https://t.co/46iqnxUzc2
3,"Retweeted Infectious Diseases (@InfectiousDz):  Mosquitoes that can carry Dengue, Chikungunya, Zika hitchhiked to... https://t.co/DP94yyprXv"
4,Worried about #Zika? Here's where the mosquito can be found in CA: https://t.co/dC0lGMKU1V @KQEDhealth https://t.co/5SNyVFRVEf
5,Retweeted Washington Post (@washingtonpost):  Researchers are releasing millions of mosquitoes to combat the Zika... https://t.co/wuQyfn6Dr2
6,Signed Sponsorship  deal with major mosquito repellent @Rio2016_en https://t.co/hddRCzLLwJ #Zika #Rio2016 https://t.co/c0VQ5KTn36
7,Worried about disease-carrying mosquitoes? Promote bats in your area.  https://t.co/KG5gMCY69K
8,"Documented Zika Count Tops 200, But Public Health Experts Say Actual Tally Is Even Higher https://t.co/iYcjuoCRMA"
9,Worried About Zika? These 12 Plants Naturally Repel Mosquitos&gt;https://t.co/8Q594QiHn8 #calgary #rentals
10,Worried about Zika virus? 5 Ways To Get Rid Of Mosquito Problems. @TheOrkinMan Ad #SummerWithOrkin https://t.co/DkZcZgLbPd
11,Concerned about Zika and Lyme Disease? Try these deterrents to protect yourself and family. https://t.co/LAtD5rMaNd https://t.co/KqdFHGSCxb
12,"Worried about #zika? Only Certain mosquitoes carry it, check out where they tend to live in the US. https://t.co/kaVUMKXRNL"
13,"Worried about Zika, West Nile? Expert advice to prevent mosquito bites https://t.co/N0Vo12FdUj"
14,Obsessed with this beautiful project from @washingtonpost on the Zika outbreak in Brazil. https://t.co/qQluFLDuAE
15,Caused by the same Aedes mosquito responsible for Zika &amp; Dengue. +150k severe cases &amp; 60k deaths a year. whaat?!!! https://t.co/9koOSlzfAV
16,Concerned about the #ZikaVirus? Learn the facts and protect yourself: https://t.co/j5W5pQkkC2
17,"Retweeted Hologic (@Hologic):  If you are traveling to an area with #ZikaVirus outbreak, follow steps to protect... https://t.co/g2YGn7fD9F"
18,"Planned Parenthood Impasse Holding Up CR, Zika, Democrats Say https://t.co/KmoMxAM5FN"
19,Retweeted Zika Virus Top News (@ZikaVirusTopNws):  South Park Residents Concerned Over Pesticide Spraying ...... https://t.co/7WMC04cepx
20,Retweeted VICE News (@vicenews):  Sex is causing Zika to spread more than scientists first realized... https://t.co/vippFMgOfm
21,"Planned Parenthood Impasse Holding Up CR, Zika, Democrats Say - Morning Consult https://t.co/v52HwmROjd"
22,Retweeted Daily Express (@Daily_Express):  ZIKA: Mosquitoes in Britain are being checked for virus which can... https://t.co/kpjIQjTAhI
23,Covered in mosquito bites &amp; probably have Zika
24,Heated discussion this morning regarding the aerial spraying of naled in Miami Beach City Hall #zika #miamibeach https://t.co/RsGryfOJU8
25,Naled protesters confront Miami Beach officials at meeting; FL governor continues fight for Zika bill https://t.co/C86HuZTtv3
26,Naled protesters confront Miami Beach officials at meeting https://t.co/SEuIkpWeyQ
27,'Naled protesters confront Miami Beach officials at meeting; FL governor continues fight for Zika bill - 7News - WSVN-TV' …
28,"Planned Parenthood Impasse Holding Up CR, Zika, Democrats Say - Morning Consult https://t.co/FhlD4Sqzlg"
