,tweets_VBZ
0,Does the Zika virus that persists in mosquito eggs remain infectious? @CDCgov #WellnessWed
1,Does a #hurricane help or hinder the spread of #Zika? https://t.co/tIacQ9zcqY #FIGHTtheBITE #zikavirus #mosquito
2,"Is OFF bug spray enough to combat #Zika in #Rio2016? Who knows, but #IOC happy to have another sponsor https://t.co/hr9vmxDxZx"
3,Is #Rio2016 part of your summer travel plans? Protect yourself and prevent #Zika https://t.co/F090RMfE7S https://t.co/QDh3m5Rop5
4,Is round up responsible for the zika virus babies and not mosqitos? https://t.co/ZUeioSVJF0
5,is #DisneyWorld using #Bats to fight off #Zika mosquitoes? Trading #rabies for #Zika?  https://t.co/bBXKDKeozx  #WDW #Orlando #MagicKingdom
6,"Is It Zika? Know The Signs - A disease spread through mosquito bites, it’s no wonder Zika virus is on everyone’... https://t.co/kjyT6EW74y"
7,Is there something about the zika virus carrying mosquitos that attracts them to golfers in particular? #droppingoutfasterthanbrexitleaders
8,Is there something about golfers that Zika carrying mosquitos find irresistible ? Must be the Pringle jumpers &amp; Plus Fours...
9,Is deet ineffective against the mosquitos in Rio? #Olympics2016 #Zika
10,"Is the chemical spray used to combat mosquitoes, Zika in #SWFL a threat to human health? Some are worried. @NDN https://t.co/jr4r9VWh5Y"
11,Is it right to launch mass chemical warfare on Zika mosquitoes? | Patrick Barkham https://t.co/E0ErLCaivx
12,Is there a need for #repellent apparel? https://t.co/atoZU3foOT #zika https://t.co/9NRqutz8j2
13,Is there a need for #repellent apparel? https://t.co/1IJuIXvhJE #zika https://t.co/MzG0AJppA2
14,Is that mosquitoes with the Zika virus? https://t.co/lYIimBPXtk
15,Is Zika spraying worth it? #sphpm https://t.co/PhLlOyi0z0
16,Is El Nino helping to spread Zika? https://t.co/moEQf6jZrO
17,"Is there still time for #GM mosquitoes to fight misinformation, #Zika virus outbreak? via @suresh_arvind https://t.co/eLMVARVEQ6 #GLPTop6"
18,Is El Nino helping to spread Zika? https://t.co/GfbM53FMUF
19,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/WF8SG6YRal - CNN https://t.co/2OtheacoDs
20,Is El Nino helping to spread Zika? https://t.co/J0j1qPaQk4 #Arogan #Arogansi | https://t.co/t2KbQLItY4 https://t.co/Os99qEJIuQ
21,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/5mlq0qH5Tc - CNN https://t.co/3vhbMPbsgJ
22,Is it possible to buy the #ZikaVirus online.  Then dump a vile in a pond infested with mosquitoes??? #NEWS @CNN @AP
23,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/UmQqwTBRva - CNN https://t.co/jznwvtH4J3
24,Is H.a.a.r.p out of control? Could be they're manipulating the weather to offer better environment to grow and reproduce Zika mosquito?
25,Is the U.S. prepared for the mosquito-borne Zika virus? https://t.co/IaQwK6yoQj #zika #zikavirus #mosquitovirus
26,Is the cure for #Zika near? | #Intrexon $XON effectively killing mosquitoes via genetic modification #WOW https://t.co/iBiKRNPKsp
27,seems Zika is being Guided how to act… Hopefully some writer/journo types have landed in Brazil to find victim  Nº1 and track the spread...
28,Is the U.S. prepared for the mosquito-borne Zika virus? A report from CNN: https://t.co/4hymf81wwX
29,Buys a lot of bug spray: White House to Request $1.8 Billion to Combat Zika     https://t.co/rKSkmEZoFi via @WSJ
30,Is the #ZikaVirus spreading from mosquitoes or threw contact🤔🔮🎬o_O
31,Is a perfect storm of Zika virus conditions coming to the Gulf Coast? https://t.co/Lo80LE3g4B Aedes mosquito plus poverty = Perfect storm😳😕
32,Is a perfect storm of Zika virus conditions coming to the Gulf Coast? https://t.co/HKYgKzyxbP via @NewsHour
33,Is Spraying for Zika A Health Risk? https://t.co/rmI40QPlTL via @davidperlmutter
34,Is It Time to Cancel the #Rio #Olympics? Health Experts Say #Zika Risk Is Too High https://t.co/NA9J0KyGxK via @YahooFinance
35,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High https://t.co/nkmHDzOeFe
36,has the zika virus been blamed on 'africanized mosquitos' yet for full panic or is attaching it to brasil enough to scare white people?
37,Is #Zika #Virus an #EPIDEMIC? #WHO call summit amid fears of genetically-modified #mosquitoes https://t.co/ZziId9qZue
38,Is it #Crazy to speculate that a chemical company like DuPont (mosquito spray) could have paid congress to not pass the funding4 Zika bill?
39,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High #fashion #shop #boutique #boutiqa #… https://t.co/3mTHFjr9Up
40,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High https://t.co/JBONSajKY4
41,"Is it time 2 build a beautiful, yuuuge blue light bug zapper &amp; make the mosquitos pay for? #ZikaVirus #Trump #FeelTheBern"
42,"comes the increased #risk from #mosquitoes. This year, the #Zika virus has been added to the mix. Find out how to... https://t.co/00p9f3ZpGW"
43,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High https://t.co/tFniEwNeVx
44,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High https://t.co/oOfHU0SDmc https://t.co/8XSYgLyKj8
45,Is It Time to Cancel the Rio Olympics? Health Experts Say Zika Risk Is Too High https://t.co/ySeSvllsHW
46,"makes no sense  to send millions to region, will exacerbate spread #zika #cancelolympics https://t.co/LD46DsJKMs"
47,Is it safe to #travel in the coming months to #galapagos and #machipicchu given the spread of #zika virus? #health
48,Does wanting to eliminate mosquitoes reflect a “militaristic mindset”? https://t.co/PAdLfl0dfg via @pollyp1
49,Does the mosquito have Zika or Malaria?  https://t.co/RycBMNRy29
50,Is there Zika there? Bring protection! :) https://t.co/3rpfVZsDas
51,"Is Microcephaly Blame On Zika A Hoax? Big Pharma, Vaccines, GM Mosquitos &amp; Govt's... https://t.co/8bS1tqLhCL https://t.co/3U7a1qizlO"
52,Is a mosquito-borne virus really causing microcephaly? Tune into Health Report @RadioNational now! #ZikaVirus
53,Does anyone think it strange that info about  ZIKA  NOT APPARENT BEFORE NOW?  MOSQUITO NOWN OF SINCE 1947  https://t.co/zYdoMZG79Q
54,Is the CIA selling the #ZikaVirus online. So for it to spread faster in the America's by third parties? #Anonymous
55,Is the Zika virus a threat to Malta? Health Department explains: The Zika virus is a mosquito-borne virus tran... https://t.co/qhpnetuM2F
56,Is there a link between Zika virus spread and Climate Change?
57,Is the cure for #Zika near? | #Intrexon $XON effectively killing mosquitoes via genetic modification #WOW https://t.co/iBiKRNPKsp
58,Is the Zika virus a threat to Malta? Health Department explains: The Zika virus is a mosquito-borne virus tran... https://t.co/zHDZvgMgKt
59,Is El Nino helping to spread Zika? - El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/10eFgGs18I
60,Is El Nino helping to spread Zika? https://t.co/oUc6KxmL2H
61,Is El Nino helping to spread Zika? https://t.co/XF4jDmamjs https://t.co/ucmtjuuBP0
62,Is El Nino helping to spread Zika? https://t.co/PUUurjoU4u #news
63,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/q1Me1519hF - CNN https://t.co/CBCVpF9rFX
64,Is El Nino helping to spread Zika? https://t.co/S5BEHcQC1B
65,Is El Nino helping to spread Zika? – breaking world news https://t.co/xk5Yn3mCX8
66,Is El Nino helping to spread Zika? https://t.co/RoeWAFrMq1 https://t.co/c2lKxumk06
67,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Central… https://t.co/SU3nt3ANUR
68,Is El Nino helping to spread Zika? #News #breaking #Is https://t.co/ayPX01Yv2Y https://t.co/bxPrfeXXsP
69,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/5H3HFFE4aa
70,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/K1RCE1AMZ5
71,Is El Nino helping to spread Zika? https://t.co/oKI37GAILE
72,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/udawClZHsC
73,Is El Nino helping to spread Zika?
74,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/OktN24aQJ2
75,Is El Nino helping to spread Zika? https://t.co/QQyC5zJXN8
76,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/JM1zRvjaGu
77,Is El Nino helping to spread Zika? https://t.co/mEqPis7Cvi
78,Is El Nino helping to spread Zika? - El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/lGhLBTxID3
79,Is El Nino helping to spread Zika? https://t.co/HS4dNb3llT https://t.co/KoOe887ABu
80,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/16DOHA9Jbb
81,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal weather to much of Centr... https://t.co/F6PU2A7cEk”
82,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/pjUh8gsduM #CNN
83,"Is El Nino helping to spread #ZikaVirus ? Unfortunately, yes, by creating warmth for mosquitoes.  https://t.co/nwzXfk0zTM via @NewsRepublic"
84,Is El Nino helping to spread Zika? https://t.co/gWYmRV9Onv
85,Is El Nino helping to spread Zika? https://t.co/BSYOmJWV3e #zinkavirus
86,Is the Zika virus a threat to Malta? Health Department explains: The Zika virus is a mosquito-borne virus tran... https://t.co/OhQvoSUPET
87,Is El Nino helping to spread Zika? https://t.co/Us3IVxXjR6
88,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/sfeNFB6CZu - CNN https://t.co/PxxgJ60wjD
89,Is El Nino helping to spread Zika? https://t.co/Ss7asCefcP
90,Is El Nino helping to spread Zika? #Worldnews https://t.co/ueVCkTgcAu
91,Is the Zika virus crisis from the release of genetically modified mosquitoes? You decide.... https://t.co/CxGIKmOMGV
92,Is it worth getting rid of all the mosquitos?  https://t.co/dCMnMKFP3c
93,Is the Tanzania MOH doing enough to prevent the spread of Zika Virus ?
94,Is El Nino helping to spread Zika?: El Nino is bringing wetter and warmer-than-normal… https://t.co/VKzM4KKUzn - CNN https://t.co/59RCg7TSp9
95,Is Co-Dx a product or a technology?  https://t.co/t4lxDiygPq #moleculardiagnostics #Zika #TB
96,Is #NTpol's using harmful #Naled(being used in #Florida for #Zika)#insecticide in mosquito spraying. https://t.co/3nxYNZxSik
97,Is #zika virus spreadable via air or saliva? air -borne? is it transmittable beyond mosquito bite? https://t.co/BBk114WKn7
98,Is there anything like an inocent nmosquito ?  Zika
99,"Is this spraying overkill? Zika is scary certainly, but the loss of MILLIONS of bees much more so! https://t.co/K5U1PMGOmi"
100,Is #Zika's spread in Singapore a warning of what lies ahead for Asia &amp; Africa? Experts can only theorize. https://t.co/phbh9K4i0c
101,Does a mosquito with Zika look different?
102,Is there a 'war on pollinators'?      Millions of bees dead after South Carolina sprays for Zika mosquitoes https://t.co/erBx6d0STf
103,Is there a possibility that #hurricanehermine blowes Zika infected Florida mosquitoes to other states?
104,Is IHAM the new NIMBY? Some FL Keys residents skeptical of GM mosquitos https://t.co/544QAPfogw https://t.co/ISR2E7lPOj
105,does hurricane #Hermine have a chance of spreading the #ZikaVirus mosquitos from Florida all across the east coast? @cnn #sitroom #msm ?
106,is it weird that zika symptoms seem like dengue and chikungunya? do all viral stuff spread by mosquitos seems alike? https://t.co/mWAEpLSHCO
107,Is Zika in Orlando too or do the mosquitoes in Miami don't like to fly long distance.
108,Is there a need for #repellent apparel? https://t.co/CkNe1c2h0l #zika https://t.co/sS08rbwfX3
109,Is he gonna stop the Visas of mosquitoes spreading Zika too? https://t.co/jt1tnTV4Lu
110,Is this causing the Flu epidemic in Miami Beach? More Naled Spraying for Zika Mosquitoes in Miami Beach https://t.co/gIjoApJWdH
111,Is the Zika virus spread via golf balls cos it only seems to be golfers withdrawing from the Olympics in fear!?!
112,Is this a joke?&gt; Rio 2016 Signs Insect Repellent Sponsor Amid Zika Concerns https://t.co/hTVmBmVHui via @business
113,"Is there any #irony in a state getting $ to fight #mosquitoes, while a city with un-drinkable #water gets none? #zika vs #FlintWaterCrisis"
114,Does this really work - Anti Zika? Perfumes That Are Also Mosquito Repellents https://t.co/JBJuHlCkLC
115,has zika virus mosquitoes been found yet on #PokemonGO  @Pokemon  maybe in Miami they could be found https://t.co/w7H1rNsQ7X
116,Does your bug spray protect you from #ZikaVirus? https://t.co/cSDspfeY9R
117,Is anyone else worried that the Olympics could spread the Zika virus internationally?
118,"gets mosquito bite, googles 'zika virus symptoms.' #sothisis30"
119,turns out spraying for zika mosquitoes will kill bees
120,Has the government ever done anything right! Poison spray killed Bees not Zika Mosquitoes! Well done! Not! https://t.co/zSqyZNv5Wh
121,does #zika show up later? Millions protected in Africa’s largest-ever emergency yellow fever vaccination campaign https://t.co/Uo2bvyvb4U
122,Has the spread of #Zika affected your summer travel plans? @CronkiteNews wants to hear from you. https://t.co/0TL41kahcg
123,Does this Puerto Rican (Zika) project need a Medical Director?
124,Is wiping out deadly mosquitos with sterilization or GMO solution best to combat Zika? - Genetic Literacy Project https://t.co/AEmZhJ15cP
125,Is Spraying for Zika A Health Risk? https://t.co/sQCx3HK8Ig via @davidperlmutter
126,Does your holiday insurance protect you against the Zika virus ?
127,Is protecting public health now a partisan issue? Law Prof. Farber on Berkeley Blog: https://t.co/WmRlnNE0UF #Zika #Ebola @BerkeleyLawNews
128,Is Spraying for Zika A Health Risk? https://t.co/mQEs9NjvdX via @davidperlmutter
129,Is Spraying for Zika A Health Risk? https://t.co/fllk1xyq8H via @davidperlmutter
130,Is spraying for #Zika a health risk? More about pesticides and #autism https://t.co/2IlleeoQWs @davidperlmutter #health
131,Is Spraying for Zika A Health Risk? | David Perlmutter M.D. #autism  https://t.co/WQ0JfcZBSM
132,Is Spraying for Zika A Health Risk? https://t.co/Y7lLkXvci0 via @davidperlmutter
133,Is controlling #Zika mosquitoes a lost cause? Read from @usatoday: https://t.co/9VBCsk8XNB
134,Is Spraying for Zika A Health Risk? https://t.co/tQ1hdzhVq9 via @davidperlmutter
135,Is microcephaly caused by Zika or pesticides? #ZikaVirus #Mosquitoes #Health #Pesticides #Microcephaly #TFT https://t.co/zMt9rQti6z
136,Is There A Spot Where God Is Not? https://t.co/VCGOV1ggNU @CSinTennessee @chattanoogancom #ZikaVirus #protection
137,Is it possible that you can have a repeat of zika???
138,Does your community have a high Aedes Aegypti mosquito breeding index? #ZIKV https://t.co/8hFRHq102t
139,Is the mosquito-borne #Zika virus causing birth defects? by @snolen @manuelaandreoni https://t.co/E5VuSVTDRb @globeandmail #Brazil
140,IS THE ZIKA VIRUS IN BRAZIL BEING SPREAD BY GENETICALLY MODIFIED MOSQUITOES FUNDED BY BILL GATES? https://t.co/d4YwWDdZvB
141,Does your landscape business offer mosquito control? With the Zika virus possibly spreading across the border... https://t.co/4H119JOspS
142,Is Spraying for Zika A Health Risk? https://t.co/eNvl7w1KuA via @davidperlmutter
143,Is it morally prudent to spray harmful poisons on people that do NOTHING to stop #Zika? https://t.co/9alerxiCqj @bobconfer @SenSchumer
144,Is 'don't get bitten by mosquitoes' the official @GOP plan to fight #Zika? GOP lawmaker backs Zika funding request https://t.co/ibLWLXcNd8
145,Is it safe to use nuclear radiations just to sterilize the zika causing male mosquitoes to control their population? https://t.co/j05NTDnwWS
146,Is RSA at risk for #ZikaVirus? Spread of virus linked to increase in #Microcephaly. Hear opinion of specialists on Day 1 of @RareX_2016
147,Is killing off mosquito species best way to fight #Zikavirus? via @undarkmag https://t.co/6Q2OXM5Xjv https://t.co/DBSoiIaLjN
148,Is mosquito specicide the answer to #Zikavirus? via @undarkmag https://t.co/6Q2OXM5Xjv https://t.co/PtNKtv1Y5g
