,tweets_VBD
2046,'Protect yourself and family from mosquitoes that spread viruses like Zika this summer. Use an EPA-registered... https://t.co/OxuIPFJRkp
4079,"Use a Condom to Avoid Zika, CDC Tells Travelers. (How do you get the mosquito to put it on?)"
2567,Stop these now with #MosquitoWater available now at  https://t.co/zMCpv1Rqbi #ZikaVirus https://t.co/WXjKrBvXOj
1793,Do Mosquitoes Favor Specific Blood Type Mosquitoes prefer type O secretors above all (Black &amp; Brown ppl) #ZikaVirus  https://t.co/uNI7IAit4Q
3987,go healthy: via @WebMD DEET Repellents Safe in Pregnancy to Prevent Zika https://t.co/zd4K9kHA5v
3177,Check out these unique #zika protective apparel!... https://t.co/BtpZ2H0etZ
2651,🤒😷🤕😵💀  A mosquito bit my forehead last night. Now I have an itchy bump and probably zika in the brain. Brb dying!
1396,Protect your family and your home from the #ZikaVirus. Call @GregoryPest! content://media/external/file/33019 https://t.co/CIAP4uaPny
2875,Check out this post by @ShellieDeringer on keeping mosquitoes &amp; Zika at bay! #AtoZika https://t.co/EdLKntwvPJ https://t.co/yMfUtnnU1k
3940,"@TheEllenShow @CDCgov @CBSThisMorning @TheDoctors @HillaryClinton PLS LOOK, #SalveTheWay Mosquito &amp; Bug Salve PROTECT Urself NO #ZikaVirus"
1938,Want to stop the dangerous Zika mosquitoes? Go right to the source and Genetically modify insects https://t.co/ZBaxL7w2zy
1990,"Learn how to prevent mosquito-borne diseases like Zika virus,  West Nile virus and others. https://t.co/4OWHP6P3a3 https://t.co/7lxzv1aknx"
3750,Protect your family from Zika #brunei dispose of containers that can collect water. Keep your home clean &amp; destroy Aedes mosquitoes.
83,"“How Brazilians are celebrating in spite of, or because of, the mosquito-born disease.” https://t.co/QGsLWgq7Rw https://t.co/83V0DegXad"
2077,"Check out these 9 plants that repel bugs, including mosquitoes &gt;&gt; https://t.co/wM4QlReMsQ #Zika"
2345,@JohnnyGWeir Have you prepared insect repellant?  Please prevent yourself from Zika fever. *worrying*
3775,Let’s not panic about Zika: We still don’t know how dangerous the mosquito-borne virus really is https://t.co/1Dwt6oXq1S
1606,Protect your baby from #zika https://t.co/qNKswwHHrs
1624,Do your part to prevent and protect against mosquito bites for the rest of the summer and fall. #Zika #FightTheBite https://t.co/jpAr4Jomak
198,Ruixen a tort i a dret i ho destrossen tot! 'Millions of bees dead after South Carolina sprays for Zika mosquitoes' https://t.co/IOor1OMIqD
958,Protect your loved ones from mosquitoes that may carry Dengue and Zika virus effectively with OFF! mosquito... https://t.co/qE1fvFjcAj
829,Need some longform in your Tuesday? Check out this cool project I worked on. Mosquitoes! Zika! Science! Voting! https://t.co/So7WdIStX5
2682,Watch this quick video from the CDC to learn about how you can help prevent mosquitoes and Zika! #ZapZika https://t.co/FkitUgstVw
1468,Protect Yourself from the Zika Virus - https://t.co/d2fqb0TvuW
2701,Got a million mosquito bites already...hopefully no zika
1137,Learn how to reduce the mosquito population in your neighborhood! #Zika https://t.co/npKt4rVkLc
2621,THERES A MOSQUITO IN THE BUS AND IM FUKCING GOING TO GET ZIKA VIRUS BYE
2407,Read The #Mosquito @Traposquitoes Weekly ▸  today's top stories via @dearmycareer @nachiketkapre @PortalRedeG #zika https://t.co/mE7G53uUSq
1100,Grab Your Bug Repellant: Zika Virus Poses Serious Health Threat https://t.co/r7D4IZOyt2 https://t.co/UyEfFazpQZ
1017,Help your kids learn how to protect themselves from #mosquito bites with the CDC’s #Zika activity book- https://t.co/KvmcBzuEH4
2158,"Check if the CDC has reported the one vaccine for Zika and the one spray to prevent West Nile, they always track the clusters."
3759,Wonder if H. Matthew will blow away all the Zika virus-infected mosquitoes fr Miami ? #PrayersForFlorida
2959,Build a wall &amp; make mosquitoes pay for it. Ban mosquito immigration from Zika infiltrated countries. #NeverTrump https://t.co/FwFvK20j4l
1615,"Get one NOW for Summer flies, Zika mosquitos and pests, or Mormon door knockers. ( €1 (one Euro) in Amstredam !) https://t.co/nNZVMo1DxG"
558,"Tell the FDA What You Fear More: Zika, or GMO Mosquitoes? - The public has until midnight Friday to weigh in on... https://t.co/rfs1uC8K9l"
439,"Let's talk about failure on Zika, opiods, infrastructure, education, healthcare, voting rights, access to the system and equal protection"
2851,Learn how to prevent mosquito bites and stop mosquitoes from even breeding. https://t.co/LC5CEqYBoC #Zika https://t.co/t7Wj9VnjGx
1069,Protect Yourself Against the Zika Virus with Homemade Essential Oil Mosquito Spray https://t.co/Al3S3iP9ru
3411,Do Zika carrying mosquitoes have a right to live in your version of morality?   @KoolMoJete @SPmilkshake @khuxford
928,Protect yourself against Zika Virus with natural repellent ideas https://t.co/5it2y82T0K #health #MUIDailyNews
559,"Tell the FDA What You Fear More: Zika, or GMO Mosquitoes? - https://t.co/4n2D35GPBZ"
1693,Learn how to prevent #Zika and other mosquito-borne diseases at https://t.co/dhNy7Zt6np. #AtoZika https://t.co/30gKUNsRxZ
4086,@NewsHour Zika virus is not new. Was microcephaly associated with Zika before the release of genetically modified mosquitos?
3310,Watch out for the zika virus come into a mosquito near you
2543,Think it might be time for mass mosquitocide. https://t.co/iGnAGIjx7N #ZikaVirus
4015,Protect yourself and your loved ones from mosquito borne diseases such as dengue fever and Zika. Fight the bite... https://t.co/CC8Oh2xpkh
3462,SEE IT: Rep. frustrated by Zika brings jar of mosquitos to House https://t.co/PisokXnamQ
187,"Let's all do our part to prevent mosquito breeding, to fight Zika &amp; dengue. – LHL https://t.co/FdsWsDsgHS https://t.co/1eWZO9b1GX"
3256,Check Out How This New Tool Detects #Mosquitoes That Spread #Zika - https://t.co/eSZfgk0tkg @CBS4Ted @CBSMiami https://t.co/7EvmsqDai5
2528,"Let the ;Technical committee' monitor and prevent the Zika mosquitoe carriers  from entering India, if not the mosquitoes! -"
2581,Leave it to a Minnesota-based company to find a test for a mosquito-based virus.   #zikavirus #zikaresearch https://t.co/Fcn4bPI4BG
2538,Let’s Kill All the Mosquitoes https://t.co/DTLeCivAWi #UniteBlue https://t.co/3ya6bPZZMM
2715,Learn how to avoid the zika virus with this homemade essential oil bug spray in this blog post! https://t.co/93onoSaEqV
3095,Be safe this summer! Use sunscreen &amp; bug repellent outdoors. Even when overcast UV rays are harmful. Zika virus in Florida too. #SafeSummer
3401,Enjoy the outdoors naturally and chemical free. #neemqueen #allaboutneem #mosquitoes #neem #zika #neemteam https://t.co/6X6jQfwZVA
2939,Protect yourself and loved ones from the Zika virus when traveling this spring. https://t.co/xlw7hyU2tY
430,Do your part to prevent and protect against mosquito bites for the rest of the summer and fall. #Zika #FightTheBite https://t.co/wGCDsfAsGS
1367,Reduce your risk of becoming infected with mosquito-borne viruses such as West Nile and Zika. https://t.co/pVFhmUflzm
3024,Keep the mosquitoes away with this homemade trap http://t.co/WOb2LJqAA7 #caribbean #zikv Please retweet http://t.co/PTxLA7Dg42
2941,Check out this Mayo Clinic 1 minute video on protecting yourself from the Zika virus. https://t.co/Np4sMKMmbE
3092,Want to stop mosquitoes biting? Ditch the gimmicks and stick to the sprays https://t.co/itSiGobw9q #ZikaVirus #Publichealth #HealthTips
4119,"@TakeThatChem no real research done yet, but plenty of reasons to see a connection. The year after #GMO mosquitos, #Zika spiked tremendously"
3277,Let god take care of seeds; let man clean up his mess and dirty water means mosquitoes unchecked #ZikaVirus #Zika  https://t.co/m63Bbz5wV5
1923,Protect yourself and your neighborhood from the spread of Zika: https://t.co/SJUvAwEkXK
1820,Check out our #blog to learn more about how to protect yourself from the #Zika #virus: https://t.co/LfiNAMnPzB
4098,Protect yourself against the #ZikaVirus with MoustiCare #Insect Repellent https://t.co/nk6lZSzjF4 🚫 #mosquitoes https://t.co/JvlF7FxxIZ
2276,Check out all that bright orange around Houston. A vector control emergency: Are we ready? #zika #wherestherepellant https://t.co/uVmeA9pGp4
3585,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus: A rapper acknowledges: 'Zik V is not in the Caribbean territor..."
30,Protect your family from Zika virus &amp; banish mosquitos from your yard with @TheOrkinMan. Ad #SummerWithOrkin https://t.co/DkZcZgLbPd
1527,"Get to know the 'small, black &amp; white' #mosquitoes everyone is talking about: #AEDES https://t.co/ELziuDjUPd https://t.co/AjtokFxM9g"
1119,Grab Your Bug Repellant: Zika Virus Poses Serious Health Threat https://t.co/r7D4J069kA https://t.co/If40Yn3wKT
657,"Tell the FDA What You Fear More: Zika, or GMO Mosquitoes? - ABC News - https://t.co/Oq1tTJazfU via @ABC"
8,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/5bDTKQ01Ya
2849,Watch out for these bogus Zika protection claims: https://t.co/sVbQkf3Tj1
1065,Learn how to protect yourself from Zika during #springbreak MT @CDCtravel Pack smart &amp; bring insect repellent. https://t.co/2qXCqulQNR
1242,Protect yourself and your family from mosquitoes that spread viruses like Zika this summer. https://t.co/CGevjVcrKv
2358,Protect yourself against #ZikaVirus. Cases have been seen in the Pacific since 2007. It is currently in Samoa. https://t.co/29GKcwHlO7
450,go healthy: via @WebMD Zika Drives Heightened Mosquito Fears: Survey https://t.co/ijjsza8yqw
1197,"Try our all natural, deet-free, alcohol-free insect repellent with FREE shipping. A best-seller https://t.co/MmXduy8OXk #ZikaVirus"
3367,WIN a FREE All #Natural No-Mo #Mosquito from Amazon! Kid &amp; Pet Safe 100% Essential Oils https://t.co/vqpw8cz3TU #Zika #virus #Dengue
866,Protect yourself from Zika virus and other mosquito-borne illnesses with the best bug sprays: https://t.co/UURN1qmG1a
3599,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus https://t.co/38vClwIW4t https://t.co/3riNdDIqMc"
3594,"Look Out, Mosquitoes: Reggae Tune Urges Jamaicans To Fight Zika Virus https://t.co/3moBPhISE7"
480,'Senate Zika'  Nothing to here: Weaponized Mosquitoes  https://t.co/J6zrx4MF3N
1504,@TODAYshow @DrNatalieTV  Could Isotec's test releases of GM mosquitoes in the last ten years have caused/contributed to the rise of Zika?
4216,Do you know what steps you should be taking to protect yourself from the #Zika virus? https://t.co/dyowiDDIIb https://t.co/AueXRsG3th
1577,Get away from me Zika mosquitoes!
98,Protect yourself from the Zika virus through natural repellent ideas #repellent #MUIDailyNews https://t.co/3CHRdykRDq
3000,Know your symptoms and protect yourself/family #Zika https://t.co/rronY2vNYX
173,Take just 2 teaspoons of 100% natural RepelZika and your entire body is protected from mosquitoes.   #RepelZika… https://t.co/WZkIwfO8Ll
3015,Sez a guy that truly believes n #FakeClimateChange #HonestDemocrats N Pelosis Kill the babies to protect frm #Zika https://t.co/RDNNg0YZi0
945,Take a look at our new post - Australian authorities spray Queensland hotel over Zika scare
586,"Tell the FDA what you fear more: Zika, or GMO mosquitoes?: MIAMI (AP) — What are you more afraid of, the Zika... https://t.co/wGKK580ETA"
831,Be prepared youts! Keep your community and your home free of mosquito breeding sites. Zika is coming! #talkupyout http://t.co/RrQlkAuOYq
3043,Protect your family from #mosquitoes #Zika https://t.co/CaluHjpFnr
3835,Get the bug spray out: US short on mosquito traps amid Zika fears https://t.co/xm0C23Ncqr #dallas https://t.co/EL0vs9ty58
3566,Check out Mercola's article snd 77 references on a new view of Zika? GM mosquitos a potential for Zika virus? https://t.co/8kaef8EVPm
3096,Get your skin so soft now to combat those pesky mosquitos #ZikaVirus  https://t.co/0vI6a2LDLd
3504,See All the Places Where the Zika Virus Has Spread by mosquitoes https://t.co/x6oIbItzNt Can be spread other ways #zika #mosquitoes
1797,Check out our #mosquito and #tick program video! here --&gt; https://t.co/IZTcSTzanq… #zika #pest #pestcontrol #dmv #dc #maryland #virginia
