,tweets_VBG
2672,Infecting Mosquitoes With Bacteria Could Help Stop Zika https://t.co/GzclQUmIDC
1991,Unsurprising but good result- #Wolbachia protects mosquitoes against Zika virus https://t.co/RYDdJKsskQ
7087,See more about Zika and microcephaly in our Mosquito Virus Slideshow. #Zika https://t.co/k7eyjNQmnH https://t.co/J4yOa7PtSQ
2728,@HeidiMurkoff what is expected as far as local transmission in the US when  mosquito season starts. Is there predictive modeling #Zika
6968,Let's hope that torch can repel all those #zika mosquitoes  https://t.co/3UVtnUiOvH
3244,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/RY1LqZli7y
7937,wondering should we be more afraid of the GM mosquito they have to fight it?  Zika virus 'scarier than thought' - US https://t.co/RE5qJPraeb
2761,Seeking Zika: Where and when will Zika-carrying mosquitoes strike next? | NSF - National Science Foundation https://t.co/J4dX8JGG6g
4174,Stopping Zika: The GMO mosquito that kills his own offspring @CNNI https://t.co/6Z1Op954JR
6493,"Boiling Soup Attack, Travel Advisory, Mosquitoes Blamed for More Zika Cases https://t.co/03Tt6RiAjS https://t.co/9el1FSN7dR"
6020,Using #bacteria to control #ZikaVirus spread- #ZIKV #virology #Wolbachia #infectiousdisease #mosquito #pregnancy https://t.co/0wnz5pxq9D
7814,"@BTWCelticShow that's why I said method of transmission. Zika is sexually transmitted as well, but mosquitos are biggest issue"
5048,Protecting from Zika and other viruses. https://t.co/dv39lLDEoo
1286,Protecting against the Zika virus - https://t.co/cIbPURYEAg: https://t.co/cIbPURYEAg Protecting… https://t.co/YpbQzHFmi7 #health #wellness
2401,"Amdist the #Zika panic, this guy has created mosquito-proof wearables &amp; looking for funding. https://t.co/pJkhlLxLfV https://t.co/4k8V5eiHWF"
2413,Spraying Banned Pesticide to Fight #ZikaVirus Just Killed Millions of Bees: https://t.co/yxuUwndQPz
8105,COMING UP:    Giving mosquitoes STDs to fight spread of the #ZikaVirus.  https://t.co/E18x6SgUcs 1000am/97.7fm https://t.co/3ePCfZqH5r
8270,Check out some tips for how to protect yourself from #Zika https://t.co/rMA8lv4c5l
944,Breaking... New Zika Case Suggests Virus Is More Aggressive Than We Thought #LiveOutsideAgain #MosquitoNix Source: https://t.co/D8I6DZSRL0
128,Coming up after the break: One month until Rio...but what about those pesky mosquitos? Turns out there may be a Zika vaccine on the way.
7198,Protect Yourself From The Zika Virus [Opinion] https://t.co/SwT2nwfWY0
4804,Thinking about a sunny vacation this winter? Protect yourself from #mosquitos. Use #DEET. #ZikaVirus #chikungunya https://t.co/cIjdyVoTAF
3442,Using Genetically Modified Mosquitoes To Fight Zika Is The ... https://t.co/QKFWs6YiOv | https://t.co/26fkHif3I0 https://t.co/LAlh28aBFs
7397,"Spraying by air for mosquitoes, Florida steps up Zika fight #opinions https://t.co/Bvrd6psleU"
5032,Mapping a city to detect Zika mosquito hotspots
8515,fucking mosquitos scare the shit outta me now- had to kill this one is seen cause the zika virus aint no joke
4445,"Remove standing water around a workplace, this is a common breeding ground for mosquitoes #zikachat #ZikaVirus #outdoorsafety #worksafety"
7563,Protect yourself from the Zika virus and protect yourself if you get… https://t.co/kqe794eNWN
8750,"Protect yourself and loved ones against the Zika Virus....good information on what works, does not and best... https://t.co/EX4DYIcd8J"
812,‘It looks like it’s been nuked'- MILLIONS of BEES DEAD after S.C. sprays for Zika mosquitoes - The Washington Post https://t.co/5g9NlQNyVP
2981,Heading to #Rio2016? Read our article on #Zika protection during #Olympics2016 right here: https://t.co/dljmpg7FPD
9927,Circulating Now #NLM @NIH Why me? by G. Roth https://t.co/KlpUycbxmE #summer #mosquitos #ZikaVirus #publichealth @IRPatNIH @FNLM @FAESorg
11058,Engineering a mosquito to help fight #ZikaVirus: https://t.co/4T00caYdFJ https://t.co/BFgKYCSmuQ
7833,Check out this post by @ShellieDeringer on keeping mosquitoes &amp; Zika at bay! #AtoZika https://t.co/U70DwhH57d https://t.co/8exAlP8FnX
10427,"Fighting Zika is important, but let’s consider the impact spraying insecticide in our communities will have… https://t.co/9X8p1Lj4sd"
5886,"Fascinating post on #zika: China's 'mosquito factory' aims to wipe out Zika, other diseases https://t.co/0mvFMYNwZ9 https://t.co/imQQ52f3fZ"
7461,Spraying Begins in Miami to Combat the Zika Virus - New York Times
1921,Investing $3M w/ @CIHR_IRSC to study #zika #health effects diagnostics &amp; mosquito control https://t.co/cbyBXiyAUR https://t.co/m7EJ4WONqA
10772,Do your part and help prevent mosquito breeding.. #zika #zikv #zikavirus #Jamaica https://t.co/OtNeOIKjiy
5638,Let's not forget that yellow fever is spread by Aedes aegypti mosquitoes - the same species that spreads #Zika. https://t.co/mBgsqsk6Wo
10231,Protect yourself from mosquito bites to ward off #ZikaVirus #chicungunya and #WestNileVirus https://t.co/PUrf37En5l
4874,Release the @Oxitec mosquitoes and the #Zika freakout will be over. #science
3503,Stop the use of GMO mosquitoes to get r9d of ZIKA. There are safer and better ways to deal with this.TSCF
7809,Protect your Family Zika is in Fort Bend County.  According to the Texas Department of State Health Services of... https://t.co/3dRSwe43I2
