,tweets_VBZ
2011,Let's put the health&amp;wellbeing of moms and babies before politics-&amp;protect our most vulnerable from #Zika https://t.co/2ZDnYfyO1v
2640,Do you know how to protect yourself from ZIKA? get your FREE training now: https://t.co/zEv4gKnL6n #zika #maritime https://t.co/E1am34XXpl
3488,Look out mosquitoes! Lots of budding entomologist have their eyes on you now! #ZikaVirus #Dengue #OneHealth  https://t.co/p3aOPQk9nT
4590,Read how to protect from #Zika @Health_Lantern @ardiente0 @PreventionInd #1mgToughLove Read https://t.co/EFKPGU5yB2 https://t.co/DwVY6535Hy
3119,Do your kids leave toys outside? Store them properly &amp; avoid #Zika-carrying mosquitoes! https://t.co/hpCCsIeEUH https://t.co/UUeMMU29s3
404,"Is U.S. ready for Zika fight?: If you're a mosquito and you value your life, stay away from Fort Myers, Florida. https://t.co/rHVMgVRKOk"
3759,wish a mosquito would bite me &amp; give me Zika
2181,Let’s build aWorld where everyChild canGrow upHealthyEducated &amp;Protected fromHarm #thisability #ZikaVirus via UNICEF https://t.co/umfMy9XKWA
2203,Does the Zika Virus have you concerned? Get a non-pesticide mosquito trap that works! One trap has a coverage of... https://t.co/uAxtf9PyGu
1139,Is it possible to get Zika virus if mosquito flys into ur eye?  Shit just really happened down here in fla.   Wtf
3114,Do u know how to protect against #Zika virus? We're dropping knowledge today 11:30a-12:30p in nursing bldg rm 2308. https://t.co/skIiU6TLkf
562,Protect yourself from mosquito bites with these tips from the @CDCgov. #ZikaVirus https://t.co/Kz8mF4f9Aq
926,"STOP THE SPRAYING FOR possible zica  mosquitoes! SAVE THE BEES!!! No shit this is now, here!#Bees #beeshapocalypse #Masterminds"
4433,Let’s protect #Texas' unborn #babies against #BrainDefects caused by #Zika. Learn the 3D defense now. @TexasDSHS https://t.co/DJ13ghpxw5
3348,🇬🇧 How @Oxitec's mutant mosquito can kill #Zika in Miami https://t.co/ECqRjqpbsp by @gedalyahreback https://t.co/I8nC5MSgxr
3710,Sounds a bit scary - mosquitoes designed to wipe themselves out!! #Zika #GMO  https://t.co/0mdDTRqOzF
5134,Protect yourself against #Zika with these 8 tips! https://t.co/GsFRiF99XS https://t.co/q3tmd7UDD7
1898,@OhMyGOFF Regarding the zika virus: What good purpose do mosquitoes serve on this planet? Why are they here?
3636,"Is insecticide sprayed to fight Zika a risk for people, wildlife? https://t.co/PlzA4F5yj0 https://t.co/yXDXiTF9uD… https://t.co/c69PCm7QqX"
4445,GUESS WHAT! Brazil confirms mosquito as Zika vector - Brazilian scientists said Monday they have found the firs... https://t.co/eSpDCi6WzR
1752,"Protect yourself from the newest mosquito carried threat, the Zika Virus: Tip #1 to fight the Zika virus: https://t.co/j3UQYcwVnA"
4108,"Save 15% and protect yourself from the Zika Virus and West Nile Virus this season with KG Pest Control, Inc.  | EZBZ https://t.co/3aUWl4Io3C"
2371,Promote the fight against #Zika with a DEET-FREE repellent that actually works! More info: https://t.co/XiqCk2RE34 https://t.co/Z55Lsh1oGr
4065,"Let's not wait until these Zika mosquitos spread about thy population then come with vaccines after many kid's,babies&amp;people is infected ETC"
3478,Know Your Mosquito Enemy https://t.co/ESjewjnbrc #Zika
3630,Is the solution to Zika more mosquitoes?
2115,Is zika virus spreading? Millions of mosquitos swarm car in frightening clip https://t.co/oDc4WYMVoZ
1283,Protect Yourself Against the Zika Virus with Homemade Essential Oil Mosquito Spray https://t.co/Al3S3iP9ru
2742,Keep your family safe and protected from ZikV with insect repellents. #KeepZikVFree.   https://t.co/FlYT9E8dXx https://t.co/3gENApUPny
938,Is it me or soon as you see a mosquito you think it got the zika in it lbvs #mediaisamutha #smh
2186,"Read a new sequence of my tweets: We 'domesticated' mosquitoes, and now our blood is in their 'menu'. #Zika  https://t.co/LQQ6NehteF"
4522,"Protect the world from future health epidemics, which might be more infectious than Ebola and more deadly than Zika. https://t.co/llEXcxKJQW"
1252,See which sections of eastern Queens will be sprayed against the Zika threat tonight - https://t.co/VnUofTiR4J https://t.co/KARc6E3x91
4194,Check out the Latest from The Mosquito Defense Store New Zika Case In Florida - https://t.co/Uq442hOQyl
97,Is the cure for #Zika near? | #Intrexon $XON effectively killing mosquitoes via genetic modification #WOW https://t.co/iBiKRNPKsp
247,Protect yourself from Zika! green beret spray fights against bugs of all kinds  #AllNatural #OrganicSeptember https://t.co/NinpeZynZ7
3204,Protect yourself from Zika here and abroad. https://t.co/T4rVUAE0pl
1334,Play your part to protect yourself and others from #Zika this summer. https://t.co/JbTghuUSBC #mondaymotivation https://t.co/eX00ribxn1
1079,"Learn how to protect yourself, friends and family from the #Zika #Virus. #ZikaRisk  #Video https://t.co/rSmYzpghQL"
2350,Protect yourself from mosquito bites to help prevent #Zika. Learn more at https://t.co/lzbSxTvJ2H #ReadyPANYNJ https://t.co/s5ClCUaUuQ
114,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? - San Jose Mercury News https://t.co/5dFj1TeBMj"
1113,Do you get that zika virus from mosquitos? Bc if so I'm pretty sure I'll have it with all my bites.
725,"Tell the FDA what you fear more: Zika, or GMO mosquitoes? (from @AP) https://t.co/3rPHIrAril"
3284,"Protect yourself: Mosquitos Expected to Begin Infecting Americans with #Zika Virus ....,' Say Experts https://t.co/MfJ8QvRvbt via @people"
3428,Love the new #ZIKA CDC tool kits! Understand &amp; Reduce your risk related to mosquitoes: https://t.co/D5BkGdX5YC  @AUCDNews @PHis4Everyone
726,"Tell the FDA What You Fear More: Zika, or GMO Mosquitoes?: The public has until midnight Friday to weigh in o... https://t.co/DdnCHEkU6d"
38,"Is It Zika? Know The Signs - A disease spread through mosquito bites, it’s no wonder Zika virus is on everyone’... https://t.co/kjyT6EW74y"
1820,Reduce your risk of becoming infected with mosquito-borne viruses such as West Nile and Zika. https://t.co/0Xl5q6i34Z
