,Unnamed: 0,tweets_pronouns,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies,id
0,13314,"COMMENTARY: Texas acting to protect unborn from Zika: Over the past month, my office has seen an increase in ... https://t.co/rwmhFkSBFC",,,,,,,,,,,,770436389015920640
1,8240,Bee-pocalypse: What lessons did we learn from Zika spraying? https://t.co/bOmf548Yvz,,,,,,,,,,,,772230111072575488
2,769,Get our free white paper on protecting your employees from the Zika virus - at home and when traveling.. https://t.co/XIWgQ0KMAz,,,,,,,,,,,,731550963748589568
3,14872,Zika is a mosquito born disease and we make repellent for that protected species. We should make DDT and eradicate the species.,,1.0,,,,,,,,,,688463842712526848
4,30020,"Y'all, this sh*t is for real. Wear bug spray this weekend &amp; read our #Zika Q&amp;A @austinwoman https://t.co/1dhwHnOYY3  https://t.co/0sU9f1sg9X",,1.0,,,,,,,,,,736237056901283840
5,4652,We're still learning more about the effects of #Zika. Make sure you are protected https://t.co/kfDTrykPqW @KHNews https://t.co/Nuvzq6lp6C,,,,,,,,,,,,773162921878618112
6,23179,@grist They can't spray me or my air in #TheOC #California USA. I can't breathe #pesticides.  Chemicals are not the answer to #Zika! @UF,,1.0,,,1.0,,,,,,,762293465447223298
7,16988,Not seeing as many Zika related insect repellents at Outdoor Retailer as I expected.,,1.0,,,,1.0,,,,,,760908349453905920
8,4029,"I understand the need to control mosquitoes, but blanket spraying poison from the air WILL have consequences. :( https://t.co/z8VFc036rg",,1.0,,,,,,,,,,771689248839925760
9,22955,#Summer is upon us &amp; #Zika is a growing concern. Watch @TODAYshow's segment on which mosquito #repellent works best https://t.co/ffgWzns53I,,,,,,,,,,,,738421046756429829
10,7140,Learn how you can protect you and your family from mosquitoes and Zika Virus with our mosquito treatment options: https://t.co/LVokmx83RM,,,,,,,,,,,,730475262413025286
11,29001,So is it wrong for me to buy stocks that make bug spray?  $SPB #ZIKA gonna be bad me thinks 😳 Anyone booking Caribbean trips this summer?,,1.0,,,,,,,,,,734871303061184513
12,28958,Watch @DrJayVarma talk about our efforts to protect NYC from #Zika on @ABC7NY’s Up Close: https://t.co/HH7bHsFdpO https://t.co/mo6ElKBovo,,,,,,,,,,,,734777213690761217
13,8737,"My grandma just called me and said, “Please don’t you girls have unprotected sex in Florida. The Zika virus is really bad down there.” ………ok",,1.0,,,,,,,,,,710164169421688832
14,783,Just had a @WhatsApp fight with some in my mommy group over #zika virus and use of mosquito repellent in kids. My #Brazil life.,,1.0,,,,1.0,,,,,,674951533201608704
15,29684,"To my friends in warmer climates: #1 Right now, I am jealous ..lol #2 Don't go unprotected from the #Zika virus!... https://t.co/5oOlBEIXvz",,1.0,,,,,,,,,,695991264467144704
16,6600,@elliehunterr no it does not. Well I hope that each athlete's 42 condoms protects them from Zika and that the swimmers don't die,,1.0,,,,,,,,,,758777696520396800
17,1675,would it help if i use insect repellent for zika virus cos im fuckin terrified 😕,,1.0,,,,1.0,,,,,,771270261492424704
18,6121,we can't have funding to protect us from the Zika virus. Why? Because the GOP is nothing but asses. #GOPObstructionists,,1.0,,,,,,,,,,773608154290458624
19,31517,"CDCgov: Learn how CDC is working to protect your health in our new video 'Zika Virus 101,' w. Dr. Anne Schuchat. https://t.co/pVxddUD73h",,,,,,,,,,,,697797945429794816
20,7135,Senate Republicans are refusing to deal w threat of the #ZikaVirus . We need funding now to protect public health... https://t.co/JfQOkbGboN,,1.0,,,,,,,,,,730473090178748417
21,29731,@Randiii__ I was thinking the same except change vodka for intravenous drugs and bbq for unprotected sex. Wait I might have zika...,,1.0,,,,,,,,,,696052686693609475
22,31167,"“We want to combat Zika,' an activist says, but not by spraying Naled. https://t.co/JvCNQgUcfH https://t.co/XqMmi3W4lI",,,,,,,,,,,,777563615599747073
23,4317,I might cry this is so horrible #SaveTheBees 😥🐝⚡️ “Millions of honeybees dead from Zika insecticide spray in S.C. ”  https://t.co/klvDKMuz3T,,1.0,,,,,,,,1.0,,771851950505791488
24,2766,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/UsYUK7bWA0 by @CNN via @c0nvey,,1.0,,,,,,,,1.0,,771928698643709952
25,32200,"@KeithLeventhal Also, once you get Zika you're likely protected from getting it again. Third, I only play one on TV!",,1.0,,,,,,,,,,737624760511692802
26,22989,@BoabAlmighty Some times the rules of the job change.. Zika is a threat we had not imagined. We must protect babies &amp; women from abuse,,1.0,,,,,,,,,,738488040939610115
27,5182,"Thanks UK, I penned letter to Ky Senators &amp; Reps urging them lead efforts to protect Kyians from growing Zika threat https://t.co/h8Qns9lPRb",,1.0,,,,,,,,,,730798014470717440
28,23204,First words my dad said to me when I got off the plane: Put on this mosquito repellent before you give us the Zika virus!!!!,,1.0,,,,,1.0,,,,,762318979025231872
29,32438,9 new Zika cases in Florida reported today. I sprayed on Skin So Soft. I'm going to use it daily. Mosquitoes hate... https://t.co/3THtGqaEqG,,1.0,,,,,1.0,,,,,695053366573961216
30,32049,@NBCNewsHealth Zika bug spray: I don't think it's enough. Not trying to scare anyone. Hoping for other meds &amp; possible vaccine.,,1.0,,,,,,,,,,735217280372596736
31,17451,Reducing or eliminating #mosquito breeding is something we can all do now to help protect ppl before local transmission of #Zika. #DSHSGR,,1.0,,,,,,,,,,726120228426387457
32,14009,The Zika virus: Let us spray https://t.co/EVHBdFoSNy via @TheEconomist,,,,,,,,,,,,692826892383207424
33,33257,Sucked up as much info as I could on a years-old mosquito spraying fight now latched onto Zika/CR deal: https://t.co/RK70hAoAYK @CQNow,,1.0,,,,,,,,,,777895048230924288
34,18379,"#ZIKA Thus the African, Asian, Arabic, ME Jewish populations with possible immunity to the 'old' Zika will not be protected against Zika+",,1.0,,,,,,,,,,760183694200074259
35,2260,I learned a couple things in the past couple weeks. 1) Fresh Catnip is a great mosquito repellent. Zika can kiss... https://t.co/9JdsHv0bgt,,1.0,,,1.0,,,,,,,750020310691352576
36,12586,@AdamNeira Here in SC we have been spraying since first Zika announce. Hasn't helped. We now have #Zika.,,1.0,,,,,,,,,,771104389083914241
37,7769,@ChrisMurphyCT you had a chance to protect us from #Zika but chose to vote the bill down #takeresponsibility,,,,,,,,,,,,748919879336689664
38,22673,Many have asked if our #Avon Bug Guard products protect against the Zika virus. The best way to prevent diseases... https://t.co/wKSM9LV1wr,,,,,,,,,,,,720332536325500928
39,20841,@Terminix how do we protect our children the zika virus? #MosquitoWeekChat,,,,,,,,,,,,748182301796884480
40,5076,"@clivecookson Hi Clive, are you interested in a briefing next wk Weds-Fri in London on a Zika repellent? Nootkatone... I will email!",,,,,,,,,,,,791690946496827392
41,4417,Can wearing perfume help ward off mosquitos and protect us from Zika? https://t.co/lEbaz4EYRC https://t.co/3lyMttv0K6,,,,,,,,,,,,751147697701134336
42,2987,Flavivirus news: Bee-pocalypse: What lessons did we learn from Zika spraying? - NBC2 News: NBC... https://t.co/aJEDtf0g9H #pathogenposse,,,,,,,,,,,,772110276418154496
43,31250,"UN and Permission from OBAMA to spray 4 global warming so, why R we sick in USA from weaponized ZIKA, Tuberculosis,… https://t.co/cRa0114GJ2",,,,,,,,,,,,785754737148776448
44,2337,"Our no-nonsense guide to Zika: How to protect yourself &amp; your crew on the jobsite, &amp; your partner at home. https://t.co/dMxuMS8I2x",,,,,,,,,,,,781487580479127553
45,3942,"As I was parking my car, the cops and health department had just started spraying for Zika in the neighborhood, all while blaring their horn",,1.0,,,,1.0,,,,,,771574140767657984
46,3853,"So, mosquito killer spray also kills HONEYBEES??  You know, those POLLINATORS of our FOOD PLANTS?!?!  https://t.co/nyW4cU1Rym",,1.0,,,,,,,,1.0,,771506452888297472
47,4012,@LisaSalvadorini we spray pesticides to kill mosquitos in fear of Zika what about collateral damage of all other insects? Not best solution,,1.0,,,,,,,,1.0,,771677237837983745
48,20798,"@SenJeffMerkley Not certain cause is from Zika mosquitoes. Linked to pesticides, GMO, etc. Big pharma wants tax $, protect us from them 1st!",,1.0,,,,,,,,,1.0,748012814153940993
49,18032,Nervous about this Zika virus because of my upcoming trip Saturday to the Caribbean . I'll be doused with bug spray,,1.0,,,,,1.0,,,,,693821925609639936
50,2579,I mean....hasn't EVERY summer olympics had an official bug spray? #Zika #Rio2016 #WelcomeToHell https://t.co/kVuuc4wYOu,,1.0,,,,,,,,,,750810840610140160
51,21212,"MT @LizSzabo https://t.co/VM0k3EQT7F what I did 2 reduce Zika in neighborhood, protect pregnant friend https://t.co/ivnScvWpfW  #zikachat",,,,,,,,,,,,761249680525238281
52,14442,".@WhiteHouse urges swift action on a #Zika emergency supplemental to protect Americans. We must act, @SpeakerRyan. https://t.co/bm1UOPa49v",,,,,,,,,,,,725087935197003776
53,14360,@SueByrneHealth I saw your story on best repellants for Zika. Do u know any orgs providing to women in affected area that I can donate to?,,,,,,,,,,,,726483706668421121
54,15103,"Zika doesn’t take a vacation. @RoyBlunt, act NOW to approve the emergency funding we need to protect our health! #StopZika",,,,,,,,,,,,745647518529163264
55,28441,"That's why I thought it strange that the great @gordonkeith said #Zika couldn't touch him, even in unprotected sex. https://t.co/YuYL70DET1",,1.0,,,,,,,,,,694325083263754241
56,15683,@MO_MIAMI I am staying in sept. I have been hearing Zika virus warnings. Do the hotel take any steps to repel insects in the grounds? TIA,,1.0,,,,,,,,,,760563576218189824
57,3211,"Knock out mosquitoes and Zika naturally!  No Deet.  With our Bug Off! spray, stick, or soap.  Now-noon make the... https://t.co/6173UchDmm",,,,,,,,,,,,789820754770681857
58,7541,I made it the whole entire ass summer without a single solitary bite. I was spraying OFF every damn day. No Zika for me.,,1.0,,,,,1.0,,,,,788718356681678848
59,3044,@CDCgov tweeted at me months ago saying aerial spraying is safe. I call bullshit once more. https://t.co/DnDoFbbJKn,,1.0,,,,,,,,,,772166523624443904
60,3834,Aahhhh so spraying to kill zika mosquitos has killed millions of honey bees we are BAD shame on us and what we've become,,1.0,,,,,,,,,1.0,771500376260481024
61,32728,Leave to Fla in 10 days and with Zika virus guess I'll be lathering both sunscreen and Off repellent before heading out. Should smell great.,,1.0,,,,,1.0,,,,,695321452690612225
62,16327,i need bug spray I'm not tryna get the zika virus,,1.0,,,,,1.0,,,,,739640380396736513
63,14480,"From Zika and malaria to cancer, how wearables can protect and even treat us https://t.co/QfD7dtqQnm",,,,,,,,,,,,706924540786376704
64,20497,And the poison is being sprayed! #Zika #Hoax @acls9_9 @TriciasFamily Mosquito control just passed my house...,,1.0,,,1.0,,,,,,,763198768904679426
65,25749,#MosquitoesMustFall The Zika virus: Let us spray https://t.co/pAj1fegD3j via @TheEconomist,,,,,,,,,,,,694112613760892928
66,6330,"since the cases of Zika virus,everywhere i go i smell insect repellent .",,1.0,,,1.0,,,,,,,772620842148569089
67,2759,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/jUsZBN8Kwh by @CNN via @c0nvey,,,,,,,,,,,,771924648300797952
68,2992,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/3TQLgzKnyL by @CNN via @c0nvey,,,,,,,,,,,,772112728362221568
69,14498,"@Maxinflation I'm not sold on #zika either, but at start of #mosquito season in #Texas, I'm planning to protect preg friends just in case.",,1.0,,,,,,,,,,708808549124546560
70,8378,mum making me put insect repellent everywhere i go bc of zika,,1.0,,,,,1.0,,,,,772460493055275008
71,2807,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/rYpVH45tj6 by @CNN via @c0nvey,,,,,,,,,,,,771962974500229120
72,15085,@1BoMania lmao I just heard that It repels mosquitos I'm tryna cop some to avoid this Zika thing lol,,1.0,,,,,1.0,,,,,745606416958885888
73,18542,Pretty sure I am spending my entire night getting repeatedly bit by mosquitoes pumping more &amp; more zika virus into me,,1.0,1.0,1.0,,,,,,,,738973198948012032
74,18462,I'm much more confident in the US constitution protecting us from either presidential candidate than the US Gov't protecting us from Zika.,,1.0,,,,,,,,,,760230050348150784
75,4097,Yikes! Mkes me appreciate Carlisle's resistance to spraying. Zika spraying kills millions of honeybees @CNN https://t.co/FgYFVgjK9S,,1.0,,,,,,,,,1.0,771730490818691072
76,27355,"I got 'bitten' by mozzies THREE times today. So if y'all don't hear from me, it's the #Zika. Or the Skintastic I sprayed all over my body.",,1.0,,1.0,,,,,,,,788102944327626752
77,1002,Pray for me I forgot to put on mosquito repellent and we got Zika out here 😳😭,,1.0,,,,,,,,,,736968759915610112
78,22677,I know they seem like a good idea but mosquito repellent wrist bands just don't work https://t.co/bWa4QR7CZG #ZikaVirus,,1.0,,,,,,,1.0,,,720344476468666368
79,25858,@jk_rowling I hope the protection against insects on Castelobruxo is a strong one. Because we are suffering a lot because of the Zica Virus.,,1.0,,,,,,,,,,694230485376090112
80,10574,Is there truly a way to protect from Zika? Unless you close all borders I don't believe you can prevent the spread of the virus.,,1.0,,,,,,,,,,748649720759750656
81,28708,@DhesiMD i guess they should start spraying aerosol at the countries badly affected by zika or planting the plants that shoo away mosquitoes,,1.0,,,,1.0,,,,,,694581311508361218
82,27509,In other news if anyone's concerned about getting zika or dengue just take me around with you. 27 bites. On my left leg alone. And I sprayed,,1.0,1.0,1.0,,,1.0,,,,,734520523498094592
83,6225,@Zika_News I pray that the country gets all the help they need to protect the people who lives there. God bless you'll !,,1.0,,,,,,,,,,774808957110157312
84,25162,We can protect ourselves from Zika: Most people with the Zika virus have either no symptoms or mild disease. ... https://t.co/6B4sPAj1Y7,,,,,,,,,,,,755017459132878849
85,4228,South Carolina killed millions of bees while spraying for Zika mosquitos. My state is so trash it's ridiculous.,,1.0,,,,,,,,,1.0,771821568699666432
86,4850,#Zika  I live in So. Florida . We have a bad breakout. They are spraying right now. Contacted the CDC. Actually got immediate response.💐🌸🌟,,1.0,,,1.0,,,,,,,775310901624737792
87,30261,I had to spray bug repellent on my underwear (and every other article of clothing I have) so I won't get Zika or Dengue. 🙃,,1.0,,,,,1.0,,,,,698468365925539841
88,23158,Zika virus~conquer your fear with a good mosquito repellant. But no deet~I use a great herbal spray~Deet makes my lips numb~,,1.0,,,,,1.0,,,,,762266376795021313
89,2227,@captrgutz Mosquito repellant for days! I'm legitimately concerned about zika; going to be taking every precaution.,,1.0,,,,,1.0,,,,,749823448042573825
90,8545,#AceNewsReport More Mosquitoes With Zika Found in Miami Beach: Aerial insecticide spraying i... https://t.co/CqO6igVatf @AceNewsServices,,,,,,,,,,,,774517916607709184
91,14687,Did u say Mr. Pres. has the floor? He is hoping lots will die from ZIKA virus. He's protected doesn't care about us https://t.co/coLAUILBUS,,1.0,,,,,,,,,,768964433234145281
92,8633,@EricTrump. Foul odor coming from the direction of Pensacola last night. And I thought it was from the Zika spraying. #BasketOfDeplorables,,1.0,,,,,,,,,,774687794744717312
93,9569,Do you know all the ways #Zika virus can be transmitted? Listen to our webcast to learn how to protect employees https://t.co/XEKANy1zA1,,,,,,,,,,,,705509336735469568
94,10359,If you suspect a product is being falsely marketed as mosquito repellent/protection against Zika contact my office:  https://t.co/fVO85BMLlA,,,,,,,,,,,,762735986287767552
95,18798,Zika virus: Will condoms and repellent be enough to protect our athletes in Rio?: As the World Health Organis... https://t.co/azi32hUtKG,,,,,,,,,,,,741148863986323456
96,20925,I was too cool for bug spray; now I have Zika - https://t.co/RLxIa1gAA7 via https://t.co/biZt0qCKpI,,,,,,,,,,,,748297652450693120
97,4128,We must protect pregnant women from the Zika virus https://t.co/NHAnYNMv7m,,,,,,,,,,,,771755626162638848
98,22975,It takes everyone to protect our next generation. Please help to control mosquitoes and stop the spread of Zika. https://t.co/8g2lZjuB7n,,,,,,,,,,,,738455657209204736
99,16127,Zika FAQ: I'm pregnant. What steps should I take to protect myself? https://t.co/oFN0VLkW4G https://t.co/iyCWATCf6d,,,,,,,,,,,,742416362379739136
100,9364,How you gonna invite me to a bbq and not have mosquito repellent like zica out her that shit not playing,,1.0,,,,1.0,,,,,,767844576606453760
101,24734,DDT why are we neglecting something that protects us from infected mosquitos like malaria zika west nile  etc. #DDT #Zika @GOP,,1.0,,,,1.0,,,,,,774262426867032066
102,20043,Got this f**ker  I am NOT getting Zika tooooday Nope  I guess I'll be spraying repellant before every shift from now on  Ugh,,1.0,1.0,,,,1.0,,,,,711116059638534145
103,26018,If Zika and Guillian-barre syndrome are related  Tomorrow self I buying a bottle of insect repellant and a insect lamp,,1.0,,,,,1.0,,,,,694299528896221184
104,2585,Help us #ZAPzika by signing our petition to Congress. Just a minute of your time can help protect moms &amp; babies https://t.co/HZqTlivLCr,,,,,,,,,,,,750820890930057216
105,16474,That Zika virus. Shower in holy water and get dipped in bug repellent and I'll be over there hooping too  https://t.co/5wRzGmCoBj,,1.0,,,,,,,,,,741893474337710084
106,27052,"@PatrickGregry Thus African, Arabic, Persian, ME Jewish populations with possible immunity to 'old' Zika will not be protected against Zika+",,,,,,,,,,,,773891307303501824
107,29659,"Spraying for Zika worries me some. We have had 1sthand experience of house spraying and although we will never know,had 2 very sick children",,1.0,,,,,,,,,,695948405235957760
108,6810,"I better bring my mosquito repellent, for my coming trip to Chile, Argentina, and Uruguay. Better safe than sorry with the Zika virus!",,1.0,,,,,1.0,,,,,702311496789798912
109,1905,I haven't seen any tweets about this but S. Carolina sprayed for mosquitos w/ Zika but ended up killing millions of bees in the process,,1.0,,,,,,,,1.0,,771443436985647104
110,2729,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/dhAYnZ31eP by @CNN via @c0nvey,,,,,,,,,,,,771910012545499136
111,21956,"Sportando: DeMarcus Cousins on Zika virus: 'I feel protected by God, I'm not going to run around in fear': Co... https://t.co/U1zdTGeb8t",,,,,,,,,,,,747866630470787072
112,949,If @blackkhannah goes to the Olympics I'm going to go with her and be in charge of spraying her with bug spray #ZikaVirus,,1.0,,,,,,1?,,,,736727034018201600
113,27454,@tradeshowwendy I sure hope my state sprays this year to kill them .. I'm worried about the  Zika virus,,1.0,,,,1.0,,,,,,734250992548466693
114,4613,Bee-pocalypse: What lessons did we learn from Zika spraying? - https://t.co/69fg2nJI0S #GoogleAlerts,,,,,,,,,,,,773080636571656192
115,6141,"The talk of Zika treatments, Zika funding, Zika mosquito spraying has us beekeepers all… https://t.co/K3uPh3f0x4",,,,,,,,,,,,773622830994894849
116,11346,"Our #Bodybutter is packed w/ 5 moisturizers, essential oils and CDC recommended all natural non toxic #Zika protect https://t.co/EZK4OA0rtP",,,,,,,,,,,,709289241507930112
117,24191,How will this be handled @SpeakerRyan @realDonaldTrump to protect our Country from #Zika??  https://t.co/nfftor3fb5,,1.0,,,,,,,,,,738761112620011520
118,21249,@jimcramer @aptedjb1 We've had a noticeable lack of bees and butterflies in ATL this yr. I think it has to do w/ Zika-related spraying.,,1.0,,,,,,,,1.0,,761278906183843840
119,5610,This week I urged @DeptofDefense to use the @910AW and its aerial spray capability to combat the spread of #Zika. https://t.co/I5Id2NKAxI,,1.0,,,,,,,,,,749355237484351488
120,3961,"Sedihnya tengok video baby yang kena Zika tu. May Allah protects all of us, especially the preggers 😞",,1.0,,,,,,,,,,771592783219953665
121,2276,I just combatted #ZikaVirus with 8 cents worth of bug spray.,,1.0,,,,,1.0,,,,,750059522513928192
122,18057,"@SenSchumer has a 3-Point plan to attack #ZikaVirus; Build a firewall to protect U.S w. help of #NIH, #CDC &amp; #USAID https://t.co/SS3O1oJRKM",,,,,,,,,,,,693861898664681472
123,5970,Our founder added #Natural #Zika repellent to #haircare #skincare products https://t.co/PgnFI4HlWp  #jazz #model https://t.co/6NU5kPQ2D3,,,,,,,,,,,,773484214037643264
124,14662,"Zika doesn’t take a vacation. @RepKayGranger, act NOW to approve the emergency funding we need to protect our health! #StopZika",,,,,,,,,,,,746064485190934528
125,2209,Make sure you have protection from Zika - we have products that will keep mosquitoes away. https://t.co/4wNtVuZjSl,,,,,,,,,,,,749772265462566913
126,20886,@YourAnonNews i wish you could spread some awareness on how Monsanto wants to spray chemicals to stop ZIKA without our consent.   help?,,1.0,,,,,,,,,1.0,748237125343031296
127,9440,"'We cannot spray our way out of #Zika. We have to engage our community and partners,' @ushahmd. #BakerHealth",,,,,,,,,,,,723530473914273793
128,18609,my mother is terrified that I'll get the Zika virus and so she made me wear a mosquito repellent patch,,1.0,,,,,,,1.0,,,770083454054764547
129,21916,McConnell: Today Senate Dems chose partisan politics over protecting the health of pregnant women &amp; babies &amp; supporting our veterans.  #Zika,,,,,,,,,,,,747815378152267776
130,8394,"As a mom, I know how important it is to wear repellent. Prevent #Zika by preventing mosquito bites. #AtoZika  https://t.co/qrLORHizbf",,1.0,,,,,,,,,,772475904958226432
131,569,Worried about mosquitoes but not sure what insect repellent to pick? I shared some tips with @tarahaelle https://t.co/87Pc2cFMnn #ZikaVirus,,,,,,,,,,,,696965459032190976
132,14955,How much damage to the environment are we currently causing due to the excessive Zika mosquito spraying ? https://t.co/XK4FZY5Pu8,,1.0,,,,,,,,1.0,,769543383161380864
133,24106,People in Brazil screaming zika at Hope Solo? WTF? How you blame someone for not wanting zika? I'd have a suitcase full of insect repellant,,1.0,,,,,1.0,,,,,762057535104966656
134,3862,I just saw the video of those babies which infected with Zika virus. Mashaa Allah. May Allah protect us 😢,,1.0,,,,,,,,,,771511707533402112
135,5434,Glad to making a difference with our mosquito repellent fabrics #zika #ZikaVirus,,,,,,,,,,,,703061687394414593
136,29421,#Pregnant? Worried about being bitten by #mosquitos? Follow us to find the perfect answer. #insectrepellentclothing #insectrepellent #zika,,,,,,,,,,,,756596659052621824
137,23419,"@Maverick_SS_49 @timkaine I'd much prefer we protect women and children,ya know from Zika,than legislate your faux morality.",,1.0,,,,,,,,,,764545764467040258
138,20778,"@JonFeere @FriendlyJMC Plague, Zika, when are our leaders going to protect us from these viral &amp; bacterial invaders? https://t.co/KW75GlUaC9",,1.0,,,,,,,,,,747977115069456384
139,26530,I introduced legislation to provide our troops with additional protections from #Zika. Congress must act now. https://t.co/CRfR6Nw0hb,,,,,,,,,,,,778236900754743296
140,21386,I seriously have the most over protective coworkers of all time 😂 #zika #dexter #miami,,1.0,,,,,,,,,,761347123329765376
141,4673,"@beneaped I don't know, but if they are already spraying for Zika, maybe they can swing by Trump HQ to spray before they lay eggs",,1.0,,,,,,,,,,773179509852008448
142,1766,The beginning of us being dependent on GMO food?: Millions of bees dead after S. Carolina sprays for Zika mosquitoes https://t.co/lVbWsKQoIF,,1.0,,,,,,,,1.0,,771375126571089920
143,24226,"@BobHarig I just got back from Rio. Zika issue seems little overblown. Its winter there, very few mosquitos. Bug spray and they will be fine",,1.0,,,,,,,,,,738847406633033728
144,20487,I'm sure she didn't say Rick Scott has the spraying down pat so it's under control. Smh https://t.co/wqubS2xu6t,,1.0,,,,,,,,,,763188162457894912
145,10293,"We must do more to ensure the US is fighting #Zika and protecting women's health, in particular https://t.co/eCDvMvW5RP",,,,,,,,,,,,762676543055421440
146,19934,Protecting the deep forest habitat of local bats (aka not logging) may be our best protection against #ZikaVirus ! https://t.co/2GVcyTc61i,,1.0,,,,,,,,1.0,,725684423929122817
147,2326,#Zika funding from Congress will help our #publichealth experts continue vital work to protect the American people from this virus.,,,,,,,,,,,,781464619806232577
148,29561,I really hope the authorities are protecting us against the influx of Zika. Tighten our border security pls.,,1.0,,,,,,,,,,695772468158599168
149,19907,Do not spray zika repellant on skin under clothes. I don't understand this @CDCgov #health #Rio2016 #ZikaVirus,,1.0,,,,,,,,,,725476572531142656
150,3105,And then I feel and itch and j remember the Zika virus is in Florida so I run into her house and grab bug spray. I spray myself all up in it,,1.0,,,,,1.0,,,,,776958715995959296
151,12163,"The Cost of Agrochemicals.  Take a look   Zika, Brazil, spraying...GMO mosquitos.  Some weirdo today told me that... https://t.co/RqGvZ6MS79",,1.0,,,,,,,,,,766444876737093632
152,8669,DENGUE ALERT IS ON!! ZIKA VIRUS IS DEFINITELY WORRYING...   OUR MUST HAVE to ensure protection for our precious... https://t.co/iPOkGIEyrf,,,,,,,,,,,,704850753589002240
153,24430,"@WhiteHouse educating Americans? how hard is it to tell ppl to wear bug repellant? How about we bring back DDT, reducing Zika AND Malaria?",,1.0,,,,,,,,,,717825605497184256
154,10885,People who go to Rio Games should wear mosquito repellent for 3 wks after so they don't give our mosquitos #Zika: Schuchat #SpotlightHealth,,,,,,,,,,,,746169498215059459
155,15388,.@DrFriedenCDC: #Zika is coming. To fully protect Americans we must have the funds we need → https://t.co/ChW3bxEQ7j,,,,,,,,,,,,716323816956268544
156,13468,.@gmleu We have to invest in protecting everyone from Zika. #atozika https://t.co/3tU7D5rloR,,,,,,,,,,,,770720284768886784
157,10568,We need to put our political differences aside &amp; finally pass #Zika response plan that will help protect Americans from this growing crisis.,,,,,,,,,,,,748645472693276672
158,4223,Let us protect we of the Virus #Zika,,1.0,,,,,,,,,,771815785371144192
159,20335,"Candidly, I'm surprised liberals haven't tried to make the Zika mosquito a protected insect.",,1.0,,,,,,,,,,738105984699240449
160,18748,"Off to buy my repellant, bug spray, mosquito net and electric mosquito swatter *skips off* #zikavirus #nopeaintgettinit",,1.0,,,,,1.0,,1.0,,,689494891911471104
161,2699,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/WU1rjHHmN8 by @CNN via @c0nvey,,,,,,,,,,,,771890952134922245
162,2853,"Not that I'm denying that it's necessary during the Zika outbreak, it's just that spraying neighborhoods with poison is always complicated.",,1.0,,,,,,,,1.0,,772006089474703360
163,7676,I thought he was spraying for bugs. #Zika https://t.co/Bcd91EM1IM,,1.0,,,,,,,,,,753970149598822404
