Unnamed: 0,tweets_VBG,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
7602,Protect yourself from Zika! Wear protective clothing &amp; use approved repellents when outside. #Zika #ProtectYourself https://t.co/hqgiNmK6uo,,,,,,,,,,,
2782,Protect yourself from Zika by growing natural mosquito repellent https://t.co/HTlaRlWGLi,,,,,,,,,,,
4423,"Relay the facts about #Zika prevention; share &amp; tag a friend. Wear insect repellent &amp; long sleeves/pants, and use condoms. #ZikaFactRelay",,,,,,,,,,,
10629,Coming up at 6: What steps is Bell County taking to protect the area from viruses like Zika... https://t.co/KdufPr2Nzc,,,,,,,,,,,
4111,Call the Commander #zika #protect #yeahTHATgreenville https://t.co/MiP6pEkpTa,,,,,,,,,,,
8671,Suspending a chicken over your bed could protect against Zika virus and malaria https://t.co/cinA6oojHj #ZikaVirus,,,,,,,,,,,
10323,Do you know how to protect yourself from the #Zika virus? You may want to look at your options. https://t.co/HjI8G1idxA,,,,,,,,,,,
8718,"Be careful Miami, Zika. Long sleeves, no standing water, repellent, some measures... https://t.co/kq4lssR5XC",,,,,,,,,,,
2377,Being bitten by a blood filled mosquito is like having unprotected sex #ZikaVirus,,1,,,,,,,,,
8825,Learn about the best ways to spray for #Zika #Mosquitoes while still protecting bees and pollinators #BeeAware https://t.co/DCSn9Pd5Qo,,,,,,,,,,,
1490,Spraying and its aftermat...how can we protect against the Zika virus and keep bees alive too? https://t.co/xl1mi9luRz,,,,,,,,,,,
7849,Preparing for a Zika summer? Don't forget to bring us bug spray!!!! https://t.co/6oGJSjvPX6,,,,,,,,,,,
10847,Staying Safe from Zika Virus in Costa Rica: New article posted today! Read the full article &amp; protect yourself.... https://t.co/Icp9BmG57f,,,,,,,,,,,
6898,Using repellent to fight the mosquitos that carry the Zika virus. Which work best?Watch  Consumer Reports #nbc7 @ 4:45pm,,,,,,,,,,,
4629,Warning...mosquitos that transmit Zika is now in our neck of the woods. Be proactive and protect yourselves as... https://t.co/1xBYGpnNt1,,,,,,,,,,,
223,Learn about microcephaly and how you can protect yourself against #Zika during #pregnancy on the Pregnancy Podcast! https://t.co/I1Tb2uKdvv,,,,,,,,,,,
6924,See our website or see you on Sunday at tamborine mountains markets with amazing Zika repelling… https://t.co/NPMrurqAlX,,,,,,,,,,,
1358,POTUS the WALL will not protect Americans from mosquitos. Could it detour even 1 individual infected with ZIKA?,,1,,,,,,,,,
5640,Fighting Zika - Mosquito repellent is now available as a Medicaid benefit! https://t.co/97OeyPNaHP,,,,,,,,,,,
5309,"“The focus is clear, put women at the center of the response and protect them and their children from Zika virus' https://t.co/GRwGZp52oY",,,,,,,,,,,
6486,Learn about the Zika virus and ways to protect you and your family. https://t.co/0hpJAZE7uB,,,,,,,,,,,
9866,Celebrating! Our stock is ready! #zika #insectrepellent #clothing #nobugs https://t.co/r0syk0Y1k0,,,,,,,,,,,
1800,Keep in mind ALL #essentialoils can build up as toxic in ur #Liver #doterra #youngliving #bugs #bugspray #zika https://t.co/phcGg66yeT,,,,,,,,,,,
10358,Controlling mosquitoes will protect against Zika virus https://t.co/Wi38lhafll,,,,,,,,,,,
647,Battling Zika virus by repelling the mosquito menace https://t.co/I04uY6B18V via @ABCNews,,,,,,,,,,,
7999,Grab the bug spray! Here's where all the Zika-carrying mosquitoes live https://t.co/5KXMfFlyLK https://t.co/EC3C6XZTYu,,,,,,,,,,,
1125,Working outside today wear repellent - fall mosquito crop is out today. @UCHD  @UtahPage @UtahCountyGov #zikaconcerns #Zika,,,,,,,,,,,
8673,Suspending a chicken over your bed could protect against Zika virus and malaria - The Telegraph https://t.co/B7d3T8L3Jt,,,,,,,,,,,
8430,"Watch this CDC video to know how to protect yourself, your family, &amp; your community from #Zika. https://t.co/hLXhaAQi0I",,,,,,,,,,,
7643,Get the facts on what employers should do to protect RNs from #Zika: https://t.co/g1MsEFifaT https://t.co/SIY5gt8Ipg,,,,,,,,,,,
7733,Let our Bug Baffler suits help protect yourself from Zika &amp; other insect diseases! #Olympics2016 #ZikaVirus #protect https://t.co/tSsGSRVWvM,,,,,,,,,,,
10263,Check out this video from @PestWorld about using repellent to protect yourself from pests &amp; #ZikaVirus this summer! https://t.co/Sv6vmi65bf,,,,,,,,,,,
4589,Fucking idiots.  'NY sprays the Dominicans and Puerto Ricans for “Zika prevention”:   https://t.co/STI1cxN4lG https://t.co/ElqQsXrORO,,,,,,,,,,,
8267,Check out the repellents that best protect against Zika https://t.co/S56CHwp7AM by @consumerreports #Safety https://t.co/QhnfaA1ZMO,,,,,,,,,,,
2563,educate yourself and protect yourself.  Not necessarily from Zika... https://t.co/ps05VvbiJz,,,,,,,,,,,
5408,Traveling to an area where Zika is transmitted? Pack your long sleeves and insect repellent! https://t.co/CMFEra3zxr,,,,,,,,,,,
4195,Going outside -- protect yourself from mosquitoes.  https://t.co/c0VQBLrRAs #4AM #Zika #Avon https://t.co/kjY2kDI6IY,,,,,,,,,,,
9992,Get the latest on #Zika here in Houston and how to protect yourself.  https://t.co/oDWXbUjmWl,,,,,,,,,,,
1318,Coming up on @NY1Newsat11: 'Zika Watch: A City on Guard.' In part 1 @ErinEBillups looks at the $21M effort to protect #nyc from #zika,,,,,,,,,,,
2055,Heading outdoors this weekend? Don't forget the insect protection #zika https://t.co/Goc1qbIBBu https://t.co/1wCnpKLjhd,,,,,,,,,,,
11349,Be sure to use an EFFECTIVE spray vs #Zika @scopedbylarry @HelenBranswell @BiteOfAMosquito https://t.co/SweCzdmZ5H https://t.co/nwng03OysC,,,,,,,,,,,
9550,Forget the bug spray... gene editing could be the solution to mosquito-borne diseases like Zika... https://t.co/oiCdhtDSRX #mosquito #zika,,,,,,,,,,,
11398,Camping this weekend? Remember to pack EPA-registered insect repellent! #FightTheBite https://t.co/WWA8J12KBO. https://t.co/CSxZhPMOiq,,,,,,,,,,,
8277,Let's talk to our children about #zika @Cityofdoral together we can protect our city #luigiboria #fromgoodtogreat https://t.co/4leoCnLiHi,,,,,,,,,,,
6910,"Battling Zika, Brazil’s Jews turn to bug repellent and indoor activities -   https://t.co/uqNYh3mvlP vía @timesofisrael",,,,,,,,,,,
1715,"Bring out Armani hazmat suits, NALED to be sprayed in #miamibeach after all, in spite of citizen opposition #zika  https://t.co/7TT3Wpjbdq",,,,,,,,,,,
7333,Get the latest Zika protection tips here: https://t.co/jYCjL1fJmv #ZikaChat #Zika360 https://t.co/br3IeQhHwY,,,,,,,,,,,
4148,Coming up on NBC5- Some spring breakers urged to wear mosquito repellent after returning home to prevent spreading #ZikaVirus @NBCDFW 10pm,,,,,,,,,,,
3170,Appalling that our Senators and Reps could not bring a clean bill to fund Zika protection efforts #gapol https://t.co/2ilXQmpkZT,,,,,,,,,,,
9117,"Do me a favor: read this article and protect yourselves from it. This is most likely what I have, and it sucks. https://t.co/8ywRl2KA36",,1,,,,,,,,,
3128,Keep spraying and kill all the bees good move @B911Weather: WHO: Zika virus is spreading and (cont) https://t.co/aRKE9omSra,,,,,,,,,,,
1823,Smoking cigarettes will keep Muslims away and help protect you from Zika mosquitos in a covert way until you reach safety.,,1,,,,,,,,,
10938,Launching a range of mosquito repellent and water purifying products soon!! Watch the space...,,,,,,,,,,,
271,Check the page for developments that can protect your patients as the virus spreads: https://t.co/tkDW2XMxuj https://t.co/FKuiHIUswW,,,,,,,,,,,
5324,Avoiding the risk of Zika involves more than bug spray. We need policies that protect reproductive health: https://t.co/Jd8Tf1hlOp,,,,,,,,,,,
931,'Allowing the crusade against Planned Parenthood to get in the way of protecting the public is inexcusable' #Zika  https://t.co/KQE5jcHcXk,,,,,,,,,,,
6107,Speaking of Zika:  Some repellants work better than others.  Here are Consumer Reports' recommendations. https://t.co/YL6PZO6336,,,,,,,,,,,
2540,Talking about Zika at funeral directors OSHA training. Never heard the term unprotected sex so many x in my professional training before.,,1,,,,,,,,,
9821,"Assuming Zika is real (it’s debatable), remember when trucks used to drive around spraying for mosquitoes?  https://t.co/EE4NGAOKM1",,1,,,,,,,,,1
2964,Allowing the crusade against Planned Parenthood to get in the way of protecting the public is inexcusable https://t.co/82GGan15SW #Zika,,,,,,,,,,,
