Unnamed: 0,tweets_VBP,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
3772,Find out what led up to the first female-to-male sexual transmission of Zika virus and how you can protect yourself: https://t.co/Teo7k2JjXq,,,,,,,,,,,
420,Be wise this Spring and Summer. Check out the CDC Zika virus website for links to EPA-APPROVED insect repellants. https://t.co/lZm7jpWGFV,,,,,,,,,,,
1171,Learn how to protect yourself from Zika during #springbreak MT @CDCtravel Pack smart &amp; bring insect repellent. https://t.co/2qXCqulQNR,,,,,,,,,,,
4331,@Genclik27onTour Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb,,,,,,,,,,,
2666,"Keep the Zika Virus under control, drain standing water &amp; use mesquite repellent; Zika mosquitos are day biters! https://t.co/P4Zh5JFSLD",,,,,,,,,,,
1421,"Wake up people! Testing does not prevent Zika! Prevention is bug spray, long sleeves and pants and staying indoors when possible.#florida",,,,,,,,,,,
3243,Tell the Ministry of Health of Trinidad and Tobago: Thank you for protecting #life! SIGN: https://t.co/rKU7KLuChf https://t.co/aULyqaRbQy,,,,,,,,,,,
452,See the safest ways to spray for zika-carring mosquitoes and still keep bees safe. #UFIFAS https://t.co/ZXkCHUAfa1 https://t.co/bEXAPRMoXk,,,,,,,,,,,
1577,Check out HCHD'S new Zika pages filled with info and resources to protect against and prevent the spread of the mosquitoes that carry Zika,,,,,,,,,,,
416,Educate yourself to protect yourself #Zika: https://t.co/ja1akdojZT,,,,,,,,,,,
938,Read our guidance on proper #Zika virus protection as well: https://t.co/ITO5KE8VFo https://t.co/UX22YizllZ #PPE,,,,,,,,,,,
1026,"Take precautions, use repellents. Cases of Zika, Dengue and Chikungunya Increase to 35.000 in #Honduras https://t.co/sEbjvvXunL #dengue",,,,,,,,,,,
222,Do not allow UR local authority 2 spray 4 mosquitos! They will kill UR bees!!!! #Zika #ZikaHoax,,1,,,,,,,,1,1
