,tweets_VB
165,Protege a niñas y niños de la picadura de mosquito portador de #Zika #Dengue y Chikunguya #EsSuDerecho https://t.co/XueKo8S7Na
317,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika https://t.co/C1f9phfusV
193,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/Cf54hwwIQf
220,"Ya me picaron tantas veces los mosquitos que no me sorprendería que me diagnostiquen dengue, zika o chikungunya. 😩"
190,Ya me dio Zika de tanto mosquito que me picó
24,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/9JJPgIFpx4
52,Protegerán a embarazadas con repelente contra el #Zika en #Morelos   https://t.co/tPRFnGnsfy
184,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/bImqUrAzA8
39,"EXHORTAN A PARTICIPAR EN EL COMBATE DEL MOSQUITO DEL DENGUE, CHIKUNGUNYA Y ZIKA https://t.co/c1RwTB9Pea vía @El+https://t.co/C0qgGQpLsr"
304,"Todos a prevenir el virus del ZIKA, mejor es prevenir y no creerse intocable por el mosquito que no diferenciamos. https://t.co/eLsBK2X6uJ"
181,Llamado a protegerse del zika en Semana Santa - El Nuevo Día https://t.co/judH7Eq7B8
28,"Si a usted le da zika, dengue, o chikungunya puede culparse a usted mismo a los vecinos que dejaron criaderos de mosquitos."
63,Catch 22 Zika Mosquitos #CurrentEventAStory
155,"TODOS A ERRADICAR A LOS MOSQUITOS... El virus Zika, para el que no existe tratamiento ni vacuna -sólo se pueden... https://t.co/TYR4BRfKap"
245,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
116,Llega a Chile mosquito que transmite el zika https://t.co/efNRMronuE | https://t.co/43jxVu5tsZ https://t.co/PZHhr4YJSq
334,Piden a viajeros de #EEUU evitar picaduras de mosquitos ante propagación del #Zika https://t.co/FmSdGUGA94
45,si me pica el mosquito del zika voy a estar todo el dia cantando  rasca  zika  rasca zika zika  nanananananaaaaaaa
127,"Si a una embarazada la pica un mosquito infectado con el virus del Zika, el bebé puede nacer Sietecase. https://t.co/vlxlZlqMyR"
20,'Conmigo a tu lado ni el mosquito del zika se te acercará' 😂😂😂 #3VecesAna https://t.co/cCylYn0U7h
191,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
76,Ya me jodi si los mosquitos tienen zika en la uni
279,"¿Viajáis a un país con riesgo de malaria, dengue o zika este verano? ¡Resolvemos vuestras dudas! #mosquito #viajeros https://t.co/n22m2YmpFy"
