,tweets_VBN
536,Retweeted Aristegui Noticias (@AristeguiOnline):  Descubren otro tipo de mosquito transmisor del zika... https://t.co/tMlMyKophm
467,Retweeted Noticias SIN (@SIN24Horas):  Químico dice haber creado repelente contra mosquito portador del Zika.... https://t.co/2SI7NOJOSS
33,"Retweeted Univision Salud (@UnivisionSalud):  Mosquitos en Miami Beach dan positivo de #zika, lo que ratifica que... https://t.co/Uj6PDthWDR"
198,Y a las 6pm se ponen los mosquitos intensos y supuestamente hay alerta por el zika @MINSA_Panama @CastaliaPascual @tvnnoticias
221,Retweeted H Teófilo Dávila (@HTDMACHALA):  #Machala | Los mosquitos que transmiten el virus del #Zika también... https://t.co/nlupMw4lrr
249,¡Protege a toda la familia de los mosquitos de manera 100% natural! De venta en @PlazaLama. #Prevención #ZikaVirus https://t.co/GqVnFVM4Fr
392,Retweeted MUY Interesante (@muyinteresante):  El virus #Zika nos ha puesto en alerta. ¿Cuántos tipos de mosquitos... https://t.co/u1xcH08Lqq
465,Recomiendan a quienes viajen a Brasil tomar medidas para evitar el virus Zika https://t.co/MKTrYW0GAr trasmitido por un mosquito
238,Salí a fumar al patio y me picaron como mil mosquitos. Ojalá que algunos sean Aedes Aegypti y mañana despierte con Zika o Dengue (?
341,"Ya me está costando creer q el zika,  sea producto de un mosquito..."
69,"Exhortan a participar en el combate del mosquito transmisor del dengue, chikungunya y zika https://t.co/LYn7Ty6IoT @Dimaxtv"
272,"Debido a que el mosquito Aedes que propaga el Zika se encuentra en todo el mundo, es probable que los brotes se extenderán a otros países."
457,Retweeted Roberto Borge (@betoborge):  Para evitar las picaduras del mosquito transmisor del #Zika sigue estas... https://t.co/3avzfqt4oG
506,"mano me pico un mosquito, ahorita me da zika y bueno"
227,Protege a tu familia! Usa repelentes con DEET para + protección contra mosquitos portadores d Zika #ProtégelosconOFF https://t.co/JThFdq5ntr
460,Retweeted Deslengua2.pe (@deslengua_2):  Ello explica microcefalia: mosquito del Zika picó a fujimoristas y... https://t.co/wtAauBYbV8
35,Voy a dormir a ver si me pica un mosquito de esos con el zika o algo y me muero
574,"Ya me ha dado dengue, chikungunya y zika. Los cabrones mosquitos me aman."
7,"¿Extinguir a los mosquitos del #Zika para frenarlo? #CRISPR podría, pero ¿se llegaría a un consenso para ello? https://t.co/xzT07iEFMy"
411,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
557,"Cuida a tu familia, evita criaderos de mosquitos y únete a la lucha contra el Zika, Dengue y Chikungunya. La Patria nos necesita."
548,Retweeted OPS/OMS Ecuador (@OPSECU):  Recuerde: Sin mosquito no hay enfermedad #Zika #Chikungunya #Dengue... https://t.co/mpGXUMcfW1
220,"Protejan a sus familias de los mosquitos para evitar contagiarnos de dengue, chikungunya y zika. La salud es primero https://t.co/4wMMWmyoMu"
73,Retweeted Capital México (@CapitalMexico):  #Gráficos El ataque de mosquitos. El virus de zika continúa... https://t.co/88kGHdU73D
415,¡Atentos a los mosquitos! Combatamos la propagación de enfermedades #Zika https://t.co/VS8rfjIbnU https://t.co/5i2bKtuy05
573,"Ya me picaron un chingo de mosquitos en solo segundo ya debo de tener dengue, zika y chincunguya"
340,"Usted sabia que el mismo mosquito que transmite el Zika es el mismo del dengue ? Pues si, es el mismo"
405,"Ya me picaron mosquitos, dengue, zika todo por ahi"
191,Llega a Chile mosquito que transmite el zika https://t.co/FAJtO6kCzi | https://t.co/9pvinTW680 https://t.co/eQn9rgBxND
91,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/1634cALnob
504,Retweeted Noticia al Día (@noticiaaldia):  El calor ayudaría a los mosquitos a extender más el zika... https://t.co/0gxHgoh8yM
484,Y a mi qué me importa que el virus del Zika se transmita vía sexual? Ni que me gustara coger con mosquitos.
514,Retweeted OPS/OMS (@opsoms):  #Zika: Mira nuestros consejos para evitar los criaderos de mosquitos en el patio de... https://t.co/qgiyvhY9ak
556,hoy me picaron un monton de mosquitos seguro me encuentran que tengo zika
475,"¿Viajáis a un país con riesgo de malaria, dengue o zika este verano? ¡Resolvemos vuestras dudas! #mosquito #viajeros https://t.co/n22m2YmpFy"
185,Llega a Chile mosquito que transmite el zika https://t.co/s7KVKLAJvX | https://t.co/5fuGwutcC3 https://t.co/sbpCfxvxIO
293,Retweeted La Tercera (@latercera):  El gran arma contra el virus zika: un mosquito transgénico... https://t.co/HZ0byxVxbH
54,Venezolanos a merced de un mosquito y algo mas... https://t.co/9kyj1PwpqH ademas de un gobierno fracasado #Zika https://t.co/8aIe4J8xEN
283,Voy a tirar raid por que hay un mosquito y con la suerte que tengo de seguro tiene el zika el dengue y la fiebre chicunguña #Todo
414,Ya me picaron los mosquitos... 😱 espero no sea ZIKA 😱 #FelizSabado #SabadoDeGanarSeguidores
542,Llegando a @C5N para mostrar cómo es el contagio que genera el mosquito. Y actualizamos la información sobre el virus zika.
599,Protege a tu familia de las picaduras de mosquitos. #Olimpia es tu aliado en la lucha contra el zika. https://t.co/ErPBjg8G3s
146,"Retweeted MinSalud (@MinSaludCol):  Ensayos de control biológico al Aedes aegypti, mosquito transmisor de zika,... https://t.co/6QEXRuEKC1"
385,Retweeted Diario Crítica (@CriticaPa):  OPS: Zika llegará a toda A.Latina y piden controlar mosquito... https://t.co/gqcVH4HB2r
195,Llega a Chile mosquito que transmite el zika https://t.co/KnjgnnCECB | https://t.co/6sRfXwlGkK https://t.co/q1P7yAQiVD
299,"Protége a tu familia de enfermedades como el dengue, zika y chikungunya, ¡elimina criaderos de mosquitos! https://t.co/EHfX7ZqvCF"
63,Protege a tu familia del mosquito transmisor del #Zika con @Radarcan https://t.co/LRPsefwYYA https://t.co/HgCfZJ6rPL
401,Entré a un almacén que estaba cubierto de humo porque la señora estaba quemando trapos para matar mosquitos ZIKA STOP IT LIKE FOR REAL STOP
23,"Retweeted Interesante GM (@InteresanteGM):  Así es el mosquito Aedes aegypti, causante del zika, dengue y... https://t.co/5Lgo6y5NCQ"
223,"Retweeted SSalud Tabasco (@SSalud_Tab):  ¡Sin criaderos no hay mosquitos! ¡Lava, tapa, voltea y tira! #Zika... https://t.co/IEUsuiFIBK"
572,Retweeted SSalud Tabasco (@SSalud_Tab):  Protégete del Zika: Elimina los lugares que pueden atraer mosquitos.... https://t.co/W6RWYnoJOG
510,Ya me pico el zica y todos los mosquitos habidos por haber
171,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
266,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya. Instalamos cedazos fijos y corredizos para... https://t.co/jDAsCEjvFK"
327,"Protege a tu familia de las enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/mGwTIMmEz6"
82,Retweeted SEGOB México (@SEGOB_mx):  ¡Protégete! El mosquito transmisor del #Dengue #Chikungunya y #Zika vive en... https://t.co/rWMmzVhqy4
384,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika. Vía @CDCgov https://t.co/GSEFIa0gzX"
477,Retweeted Los Tiempos (@LosTiemposBol):  Descartan que mosquito común transmita el zika https://t.co/q7K84omJNx... https://t.co/eCRBbUIq1x
226,"Volvemos a lo mismo, el Zika no es un mosquito @elcircodelamega @pamelanoa @FunkyJoeElCirco @cheboricua"
16,Retweeted UNICEF en español (@UNICEFenEspanol):  Controlar los mosquitos para detener el #Zika... https://t.co/OZeAESA5b6
243,Retweeted CePre Salud (@CePreSalud):  El virus zika se transmite tras la picadura de un mosquito del género... https://t.co/Q5iFZdbOjR
215,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
259,Enseña a niñas y niños como evitar la propagación de mosquitos transmisores de virus #Zika #Chikungunya y #Dengue https://t.co/OngiEhwjwC
535,"¿Viajás a los JJOO #Río2016? Evitá las picaduras de mosquitos que transmiten #dengue, #zika y #chikungunya. https://t.co/dJf81AG9nl"
76,"Retweeted MinSalud (@MinSaludCol):  Ensayos de control biológico al Aedes aegypti, mosquito transmisor de zika,... https://t.co/PHbWzyzF2V"
