,tweets_VBP
285,Y a mi qué me importa que el virus del Zika se transmita vía sexual? Ni que me gustara coger con mosquitos.
261,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/9vuuEKHMfB
162,Llegó a Chile el mosquito que contiene el virus del zika. Ahí tenis OMS.
304,"think outside the box: un grupo de cientificos encontró la forma de matar mosquitos transmisores de Zika, usando OTROS MOSQUITOS."
263,Salve a fede de qr le pique un mosquito y se enojo onda lo salve del zika.
150,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
109,"Pese a hallazgo de mosquito, Virus Zika no representa aún un riesgo en Chile Continental https://t.co/H9QK1L1my1 https://t.co/2RtuPz1pVK"
154,Gracias a @Lachacharaco por compartir mi punto de vista sobre el manejo que se le ha dado al Zika y al mosquito https://t.co/tN1JRoJkGW
62,Vengo a contar que tengo una roncha del tamaño de mi dedo pulgar y seguro me pico un mosquito con zika.
179,"Convocamos a toda la población a eliminar los criaderos de #mosquitos y de esta manera evitar la propagación del dengue, chikungunya y zika."
305,Viajeros a zonas con #Zika deben estar bien informados sobre riesgos y conocer cómo evitar picaduras de mosquitos https://t.co/iFwHIX3p1c
114,Llega a Chile mosquito que transmite el zika https://t.co/1M4qcGiQa9
355,Súmate a la guerra contra el mosquito transmisor del #Zika #Honduras https://t.co/6Vbyc3STZz
327,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/C5SgMt2zLA
258,"¡Alto a los mosquitos!, alto a la propagación de enfermedades #Zika #ZikaVirus https://t.co/aDum0XFx7J"
242,"Ya me picaron mosquitos, dengue, zika todo por ahi"
193,Ya me dio Zika de tanto mosquito que me picó
202,"salí a tomar mates y me acribillaron los mosquitos! Hola dengue, Zika y chikungunya"
282,"¿Viajáis a un país con riesgo de malaria, dengue o zika este verano? ¡Resolvemos vuestras dudas! #mosquito #viajeros https://t.co/n22m2YmpFy"
184,Llamado a protegerse del zika en Semana Santa - El Nuevo Día https://t.co/judH7Eq7B8
181,Exhortan a protegerse contra el Zika en la Semana Mayor  Por: Diario de Puerto Rico  3/23/2016  La epidemióloga... https://t.co/XMpSG2xHNQ
131,"Echan a todos de sus puestos de trabajo pero ojo, cuidemosnos del mosquito matapobres. #AedesAegypti #ZikaVirus  #JuevesIntratable"
112,Llego a Arica escapando del temporal en stgo y ahora encuentran al mosquito del Zika
232,Convocan a limpieza masiva para eliminar criaderos de mosquitos. #zika - https://t.co/CCof5ZXmeF https://t.co/8gQMKEI9pN
54,"Empiezo a creer que tengo la cura del zika, mil mosquitos me pican y solo para romperme los huevos"
80,"Si a mi esposa la pica el mosquito del zika, me sale un hijo zikario?"
126,Llega a Chile mosquito que transmite el zika https://t.co/3q1j8Xrxhl
249,Ya me picaron los mosquitos... 😱 espero no sea ZIKA 😱 #FelizSabado #SabadoDeGanarSeguidores
102,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya https://t.co/pzymWPysCX
284,"Protege a tu familia del dengue, zika y chikungunya, ¡limpia tu patio y elimina criaderos de mosquitos! https://t.co/p1kGF8FQei"
287,"Salí a caminar y volví con dos picaduras de dengue,  veinte de zika y ochenta de otros mosquitos."
152,Ver a Boca me da ganas de que me pique un mosquito todo lleno de Zika.
363,Unete a @ReproRights en su peticion para proteger los #derechosreproductivos para enfrentar el #Zika https://t.co/yRcE6qmIrt
201,Ya me picaron los mosquitos. ¿Y el zika?
372,"Voy a rezar para que no me de zica, chikungunya o dengue en los próximos días por tanta picazón de mosquitos en Jalcomulco. 🙏"
342,"Ya me harte de la boludes del zika, que venga el invierno así se van los mosquitos y paramos con la gilada"
333,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/9vuuEKHMfB
182,Llamado a protegerse del zika en Semana Santa - https://t.co/4N0w9sqQLv https://t.co/lpo6UiHYmM
176,Advierten a estadounidenses no viajar a Venezuela por el virus zika: La infección la transmiten los mosquitos ... https://t.co/G5I1wzfaXW
292,Ya me picó uno de esos pinches mosquitos que puede portar el virus de zika 😰 tengo miedo
98,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/awVZk8GwQ8
241,"¡Alto a los mosquitos!, alto a la propagación de enfermedades  #ZikaVirus  https://t.co/2orLfY0VcC https://t.co/gLzZQgGEUv"
219,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya.  Instalamos cedazos fijos y corredizos para... https://t.co/odiUpyqdZg"
68,—¿Qué me harías si estuviera desnuda en tu cama? 😏  —Te cubriría con mi mantita para que no te pique un mosquito y te de Zika princesa.  - 😒
97,Don't let Zika infected mosquitos  bite you! #thanksTSA https://t.co/BfFcnzuZbF
93,exhorta a continuar eliminando criaderos de mosquitos https://t.co/JoDw845APE https://t.co/A4jgDUTxSk
343,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y zika. ¡Protéjase!... https://t.co/iTIQQmNW24"
65,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
185,Enseñe a su familia a mantenerse a salvo contra el mosquito que transmite enfermedades como Zika!  https://t.co/F9EqAHpsuQ
280,Protegerán a mexicanos de zika en JO
149,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/GBS3nKtPt3
337,Piden a viajeros de #EEUU evitar picaduras de mosquitos ante propagación del #Zika https://t.co/FmSdGUGA94
246,Vamos a cuidarnos todas y todos del virus #Zika. Y enseñemos a nuestros hijos e hijas que si el mosquito no te... https://t.co/bGbi6SD6lx
221,"Cuida a niñas y niños, adultos mayores y mujeres embarazadas de la picadura del mosquito #Zika #Dengue #Chikungunya https://t.co/j6lKfiPtat"
195,"'Si a Gasol le pica un mosquito con Zika solo estaría 3 días con gripe', dice el... - https://t.co/2g3fd5iw6w"
71,Van a liberar mosquitos modif genéticamente para combatir el zika en los Estados Unidos https://t.co/PgujBdeXop
10,'Van a seguir los mosquitos siendo los vectores más importantes de la enfermedad' Ministro Barrios s/ #Dengue #Zika y #Chikungunya #730AM
223,"Ya me picaron tantas veces los mosquitos que no me sorprendería que me diagnostiquen dengue, zika o chikungunya. 😩"
254,cuando me pica un mosquito siento que ya tengo zika
303,Volverán a hacer pruebas con mosquitos modificados para erradicar el virus zika https://t.co/xDL6lyz4T9 https://t.co/v5HX7zIcf5
159,"Voy a comprarme un repelente, porque con la suerte que tengo me va a picar un mosquito con zika y voy a ser el primer caso en Chile"
174,"Salí a caminar y me tope con un enjambre de mosquitos. Si despues me ven con dengue, zika o chucungunya (o como sea) no se impacten jajaja😂"
64,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales"
227,THELUSONAUTA a spot4US: CNN: AERIAL SPRAYING &amp; MILLIONS OF GMO MOSQUITOS IN FLORIDA TO FIGHT 'ZIKA'... | @scoopit https://t.co/VZpwV55t0j
90,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
