,tweets_pronouns
3735,los mosquitos de mierda me estan acribillando mal a estas alturas ya debo contraer zika y dengue
5773,Me estoy intoxicando con el coso de los mosquitos ojalá me pique un zika y me muera
946,Me gustó un video de @YouTube de @terrazocultor https://t.co/VjLjyLyMw4 Trampa casera mosquitos 2.0 #Zika #DIY
2747,#Oaxaca Visita nuestra página y ve el video: 10 formas de protegerte del virus del zika https://t.co/Ltg8jA5mFc
3185,Me estan comiendo viva los mosquitooos me voy a agarrar dengue zika y chicungurunganga
3206,"Me comieron los mosquitos, me habrán picado el dengue, zika y chuculum ese todos juntos"
1828,"Me zumbó 200 veces un mosquito en la oreja, bueno igual no quería seguir escapando de vos @zika"
4007,"Cada vez que me pica un mosquito flasheo dengue y zika,  porque pelotuda siempre"
3738,Con tantos mosquitos q me picaron seguro ya tengo zika dengue o algo de eso
5747,"Ahora me siento culpable por descuartizar tantos sapos en mi infancia, alguno podría estar comiendo algún mosquito de dengue o zika ahora 😟"
175,"@caraboboinsalud Todavía inundados de MOSQUITOS dándonos a todos los de mi familia ZIKA, y bueno se reconoce FUMIG, pero tiene que ser segui"
1105,"Me picaron 80 mosquitos la puta que me pario seguro tengo dengue, zika y todos los derivados"
5004,Me han culiao tanto los mosquitos que ya tengo dengue zika hepatitis gripe porcina fiebre amarilla y otras enfermedades aun no descubiertas
2521,A veces siento mucho frio...  Luego los mosquitos me hacen acuerdo q deje la ventana abierta  ---- se jodio todo zika a la vista!!!
1575,En FB Estado: Me voy a dormir con la ventana abierta  *A 24 mosquitos le gusto esto *Dengue y zika te enviaron una solicitud #FrasesSabias
472,Me va a dar zika dengue o algo de tantos mosquitos que me picaron ya 😭😭
4172,"Oigan amigos me acaba de picar un mosquito, como pinches sé si ya valió verga con esa mamada del #Zika #SeanSerios"
2387,"Salí a caminar y me tope con un enjambre de mosquitos. Si despues me ven con dengue, zika o chucungunya (o como sea) no se impacten jajaja😂"
835,"Llegó el virus Zica a nuestro país. Hay 3 personas infectadas en Ustupu, Comarca Guna Yala. Lo transmite un mosquito"
2051,"Con todo lo que me pican los mosquitos no puedo creer que todavía no me agarre Dengue, Zika o el otro con el nombre raro."
789,"Yo ya no se si son mosquitos , moscas , o un dengue y el zika .. Esta lleno de todo Mañana muero"
5311,Me doy cuenta y me dieron follow un poco de mosquitos . Zika
3112,"Estoy traumada mal, me pica un mosquito y para mi ya tengo dengue, zika y chikungunya"
5204,"Si me da dengue, zika o chikungunya en estos dias demando a esa ijueputa rara que me pide mosquitos"
1203,"A mi ver pasará lo mismo con el zika q con el chikungunya, cada quien se protegerá como pueda sin recibir ningún tipo de ayuda del gobierno."
2614,"Ya jiminian, el zika y el mosquito negro con pinticas blancas me tienen BIEN JARTO!"
3706,"Yo acabo de matar un mosquito, un potencial portador del Zika. ¿Vos qué hiciste por tu patria aparte de tener una pancarta por horas?"
3502,"Me picaron tanto los mosquitos que ya tengo dengue, zika y chinkungunya"
700,"Chanfle, ya le dio zica a mi sobrina. Me dan miedo los mosquitos."
5369,"Me pica un mosquito y enseguida flasheo que es el Zika, dengue .. Todo"
5780,"Si con todos los mosquitos que me picaron en la playa no me da Zika, soy el anticristo."
3470,"Me pican tantos mosquitos diariamente que por probabilidad ya debió haberme dado dengue, chikungunya y zika."
3026,Padre esta re traumado con el mosquito del zika y hoy antes de dormir me trajo una tableta raid y me dijo 'usala por las dudas D:' lo tkm
3462,"Me pico un mosquito en el pié, me va a dar zika"
5140,"Tengo dengue, zika y fiebre chikunguña solo de ver la cantidad de mosquitos que hay en mi patio. Invierno volvé"
1708,11. Mosquitos. YALL I SWEAR TO THE LORDT I HATE THESE BLOODSUCKING CUNT LICKING ZIKA DADDIES. OWES ME FOR BUGS SPRAY https://t.co/YdnT5BGlIF
3547,"Ni quería ir a Jacó, porque soy tan salada que me pica el mosquito y me da Zika!"
897,Ahora cada vez que veo un mosquito me pregunto: que traera? Dengue? Chikungunya? Zika?
2112,"Sí estoy en MIami. Sí me han picado 300 mosquitos. Sí, it might be Zika. Sí, atencion MInsa."
1638,"había un mosquito molestando, y alcance a matarlo y era horrible, me imagine de todo, demás que era el zika #KCA #VotaSebastianVillalobos"
2752,"Me pica un mosquito y ya me imagino con dengue, zika y chugunguñia todo junto"
1749,No espanto a los mosquitos para que me peguen el zika y muera.
3025,Me ha gustado un vídeo de @YouTube de @larutaverde (https://t.co/BmzjOA3QkE - El conspiración de los Mosquitos y el Zika).
4196,@FFQuakeProject me pregunto porque no crean una cura al zika y gastan dinero en mosquitos modificados con los cuales no se sabe que pasara
738,"@AM_Escucha cientos de mosquitos en nuestro avión Guadalajara - S. Francisco, AMX662 y retrasado.. #Zika #chikungunya bien por @Aeromexico"
4553,"algo muy sospechoso existe con toda esa alharaca por el virus zica,, el mosquito convive con nosotros hace años, la microcefalia tambien"
4329,"5 personas a mi alrededor tienen varios de los síntomas de dengue, chikungunya y zika.  ATRÁS MOSQUITOS DEL DEMONIO. NO OS ACERQUEIS."
1692,"Los mosquitos que hay en la puerta del Parro de Morón.. Sino me agarra zika acá, estoy salvada."
2304,"Acabo de ver cómo me picaba un mosquito del dengue-zika-chikungunya 😓 Ya no siento el brazo, me lo voy a cortar por las dudas."
4202,me han picado mosquitos cc pero si el zika me pica creo que se muere el hahah
3838,"Se me acerca un mosquito y ya flasheo dengue, zika y embarazo."
1919,MOSQUITOS ARE FUCKING EVERYWHERE IN ITALY THANK GOD THE ZIKA VIRUS ISNT HERE WE'D BE FUCKED
4899,"Me picó un mosquito, no sé si será el mosquito del zika o el mosquito del amor."
5602,¡No sé si esto es ZIKA pero parece me atacaron MOSQUITOS ZIKARIOS!!
1194,gente me pico un mosquito en EL MEDIO DE LA FRENTE ya 100to el zika fluyendo por mis venas
1839,Unos de mosquitos. A esta altura ya me pico el dengue el zika todos
2979,Cada vez que me pica un mosquito rezo 5 padre nuestro y 2 ave María que no sea zika
1312,No empecemos con eso de 'caza cero' a mí me matan a balazos los mosquitos o se pudre todo en el verano. Dengue y zica mata cualquier kilombo
1210,"Me picaron 30 mosquitos, y si me llegó a picar un zika, dengue o el otro que ni se, mi mamá me mata antes que me mate el virus!"
5782,@paliasia TRÁMITES 8am=  uhhh naa seguro hay mucha gente y hace calor debe haber mosquitos uh mira si hay zika mejor cuido mi vida *duerme*
2805,Hay un mosquito en mi habitación ya estoy flasheando dengue + zika
3103,"Confirman que el zika también se contagia por via sexual. ahora digo yo, que mente retorcida se cogería a un mosquito? #NoEntendiaNada"
4687,"Los mosquitos me tienen LOCO. Ya debo tener Zika, Dengue y Malaria. ¿Por donde viene el avión ese con insecticida? Que avance ya."
4720,con todos los mosquitos que me picaron si no me agarra el zika le pegan el palo
4089,Raza que pasa si me pica el mosquito del zika ?? Si dicen qud morire ya estoy bailendo madres: me siento muriendo lentamente
382,"Con la cantidad de mosquitos que me picaron ya tengo zika, dengue, sida, gripe porsina y maas. Me pica todooooo jebuuus 😲😲"
4044,Es imprescindible nuestro #Raid para acabar con esos mosquitos que nos transmiten enfermedades como el zika. ¿Ya ti… https://t.co/2NFsBypZXZ
5674,Dije 'uy hay mosquitos' y d repente apareció mi madre gritando 'MIRA SI ES ZICA O DENGUE'y me roció cn DOS off y me puso un espiral al lado.
4693,"El mosquito Aedes Aegypti transmite dengue, chikungunya y zika ¡Evitemos los criaderos de mosquitos en nuestra casa… https://t.co/GnJO3fQQ9j"
1714,Confirman cinco casos de zika en Miami Beach: 'Estamos en medio de la temporada de mosquitos y prevemos más i... https://t.co/bUKekAKHn7
