,tweets_VBN
0,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/gQOQYFGEm9
1,Retweeted RT en Español (@ActualidadRT):  Estos mosquitos mutantes combatirán virus del Zika... https://t.co/Dt7rJDCSCP
2,¿Va a viajar al exterior con los niños este verano? Sepa cómo protegerlos del #Zika. https://t.co/rlN4dhHa9c https://t.co/zZHmRwTF1Y
3,Retweeted RT en Español (@ActualidadRT):  El secreto de la isla sin casos de zika a pesar de albergar al mosquito... https://t.co/QI8tZQnKDS
4,Retweeted VTV CANAL 8 (@VTVcanal8):  El secreto de la isla sin casos de zika a pesar de albergar al mosquito... https://t.co/vX9pIxdFoj
5,Retweeted NTN24 (@NTN24):  Este mosquito sería considerado la 'máquina perfecta de transmitir virus' del zika -&gt;... https://t.co/noKiuAIamL
6,"Retweeted Grandes Medios (@GrandesMedios):  Así es el mosquito Aedes aegypti, causante del zika, dengue y... https://t.co/HjPNy1bGEp"
7,"¿Extinguir a los mosquitos del #Zika para frenarlo? #CRISPR podría, pero ¿se llegaría a un consenso para ello? https://t.co/xzT07iEFMy"
8,Liked on YouTube: Trampa para capturar El Mosquito del ZIKA https://t.co/N4ZXowQHSX
9,"Voy a mandar un DM a Bill Gates para q me cree un  mosquito genéticamente alterado, como el del Zika, para combatir Ks"
10,Estoy a una picada de mosquito que me de zika
11,"Retweeted BERTHA MORA (@BRTIMV):  @romandelcampo @geopolytica Y QUE LOS CUIDARAN,  DEL... MALVADO, MOSQUITO, DEL..ZIKA..POBRES..COMO SUFREN."
12,Retweeted Revista Bohemia (@bohemiaonline):  A propósito del #zika: #Finlay y el mosquito #Aedesaegypti... https://t.co/8uhHay4IT1
13,Retweeted IFRC en español (@IFRC_es):  Pocos mosquitos infectados por #ZikaVirus pueden producir grandes brotes.... https://t.co/XKtUNPjSCp
14,Retweeted Primer Impacto (@PrimerImpacto):  Entérate cómo protegerte del virus del #Zika https://t.co/fwAzjEXgUc https://t.co/r9Pqk1a8mK
15,Voy a morir me trague un mosquito y después me entro uno por la nariz. Muerte por zika yate100to
16,Retweeted UNICEF en español (@UNICEFenEspanol):  Controlar los mosquitos para detener el #Zika... https://t.co/OZeAESA5b6
17,Retweeted Cadena Agramonte (@cadenagramonte):  Científicos sugieren infectar a mosquitos transmisores del zika... https://t.co/ZjJu1o3Yoe
18,"Advierten a los turistas que viajen a #Brasil por la proliferación del virus zika, que es transmitido por mosquitos."
19,"Advierten a turistas que viajen a Brasil por el virus zika, del mosquito aedes https://t.co/U0q1k2hNxI"
20,Recomiendan a quienes viajen a Brasil tomar medidas para evitar el virus Zika transmitido por el mosquito del dengue https://t.co/LqaPYQb229
21,Vacunarán a mosquito del #Zika para evitar que propague la enfermedad https://t.co/yZBeljA1Nf https://t.co/yHfqG7VJQA
22,"Retweeted UNICEF México (@UNICEFMexico):  El #Zika es un virus que transmite el mosquito Aedes, el mismo que... https://t.co/jtWK8DVMSw"
23,"Retweeted Interesante GM (@InteresanteGM):  Así es el mosquito Aedes aegypti, causante del zika, dengue y... https://t.co/5Lgo6y5NCQ"
24,Retweeted VTV CANAL 8 (@VTVcanal8):  El secreto de la isla sin casos de zika a pesar de albergar al mosquito... https://t.co/FAjK8UoH6p
25,'Van a seguir los mosquitos siendo los vectores más importantes de la enfermedad' Ministro Barrios s/ #Dengue #Zika y #Chikungunya #730AM
26,"'Protegerán a Papa del zika' 'inicia fumigación aérea y en casas.' Ah, qué bueno que es por él. Pffffff. https://t.co/zrhoSS2Ngv"
27,¡Ayudadnos a acabar con el mosquito tigre! https://t.co/aYqnZdRANB #Zika https://t.co/ERqDpDiMwt
28,Retweeted Alberto Correa (@albertojcorrea):  Labores para exterminar al mosquito del zika https://t.co/iHmcKYD5Lv https://t.co/QMx40P4Msj
29,"Ya me picaron como 10 mosquitos, como eran los efectos del zica?"
30,"Retweeted UNICEF Venezuela (@unicefvenezuela):  El #Zika es un virus que transmite el mosquito Aedes, el mismo... https://t.co/X02ROByx46"
31,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales."
32,Retweeted Darío González (@DarioGonz):  Google está criando mosquitos para acabar con el virus del zika y el... https://t.co/dyPt2Rc1tl
