,tweets_VERB
803,"@seca Ayudar con seguridad.  El virus del @Zika, el cual se transmite a través de los mosquitos, provoca... https://t.co/cCUTOGccHh"
3008,Recomendamos Eliminar todas las posibles fuentes de criaderos de mosquitos. #ZikaVirus  FUL PREVENCIÓN @trafficLARA https://t.co/Jbb6dO3GRt
4746,"Crean un método, a base de neumáticos, para combatir el mosquito que transmite el zika https://t.co/85dAfhdbBh"
4997,Confirman 4 casos de zika en Florida contraídos por el mosquito https://t.co/6y67aUeKqW
224,Esterilizan con radiación a mosquitos machos para erradicar el zika:  https://t.co/xezYeFaH3H https://t.co/8L2i4BSSTB
2824,"Elimina los creaderos del mosquito,sin mosquito no hay #Zika https://t.co/5WwnXw0XTR"
4189,Evite la picadura del mosquito Aedes aegypti transmisor del virus Zika; ingrese a: https://t.co/CoKAml9GMi https://t.co/lSZsSFYKYh
3865,Vea ud aquí como repeler al ZIKA y dele Rt colaboremos #buenfindesemana https://t.co/WQ9jJkEjFe
1528,"Evita picaduras de mosquitos, usa repelente de insectos. Puedes prevenir el #ZIKA https://t.co/mAHQBGG0wf https://t.co/KGi0RpvP99"
4330,"Esperaban hacerse de oro con el Zika pero... Dificultades para Oxitec, la empresa de los mosquitos transgénicos https://t.co/iLDf4iaBED"
6757,Hacer un buen uso dl agua almacenada para evitar la propagación dl mosquito q causa el Zika y el Chicungunya hizo @MirianFebres @sggtachira
1505,Aparece un nuevo mosquito que propaga el #Zika conocido como el 'Tigre asiático' ----&gt;https://t.co/C7TtvYvCJe https://t.co/TWCUsO4EQs
6915,"Combaten el zika, vigilan a mosquito por visita del Papa https://t.co/b7zGeuobAo"
2605,"Echan a todos de sus puestos de trabajo pero ojo, cuidemosnos del mosquito matapobres. #AedesAegypti #ZikaVirus  #JuevesIntratable"
5199,Toman medidas para combatir a mosquito portador de Zika:El área de salud @SSalud_mx https://t.co/JV7nKB9F3S #Puebla https://t.co/g9ZiyBjA9T
66,Intensifica Vietnam campaña contra el mosquito para prevenir el zika  https://t.co/YFNRXvgcXc
2433,"Erradicar al mosquito de zika en Brasil, una meta improbable: Entre las décadas de 1940 y… https://t.co/WmhvcTKDEW"
3080,"Volvió el Aedes a #Chile. El mosquito ya sobrevive en agua sucia y clima frío. Porta dengue, zika, chicunguña...  https://t.co/UHn7LjMSUT"
1736,Hallan mosquito transmisor de zika en Chile por primera vez en seis décadas https://t.co/7bSPVJ5eLO
4399,Maté a un mosquito enorme en mi cuarto así que me puse a investigar de tipos de mosquitos por si me daba zika. Me v a dar zika.
766,Identifican a mosquito del zika en cuatro municipios ► https://t.co/wykAhFZCZQ https://t.co/NnRvZD01QR
1830,"Recomiendan reforzar control de #mosquitos en los hogares, luego del monitoreo aédico https://t.co/Ffi7166v0K #dengue #chikungunya #zika"
1954,@AJCortezD La preocupante resistencia del mosquito de zika a los insecticidas https://t.co/5POlMaYKB8
5823,"Creo que con todos los mosquitos que me picaron, si no me agarra dengue o zika, voy a ser inmune toda la vida"
1245,Elimina Ayuntamiento 60 toneladas de criaderos del mosquito transmisor del dengue zika y chikungunya.… https://t.co/Wgk98XgLJi
5791,Sepa cómo protegerse del Zika con este repelente casero y fácil de preparar (+receta) https://t.co/4XGWlGaA6K
6899,Mierda ahí un mosquito molestándo mi 👂🏿 😒🙄 lo apodare como ZIKA😅
1563,Proponen usar murciélagos para acabar con mosquitos que transmiten el zika en Miami Beach https://t.co/GlMmYn4VhY https://t.co/5nZos9LqoU
2834,"Sé más inteligente que el mosquito y dile NO al Zika, siguiendo las recomendaciones de la imagen https://t.co/hqlsGrOWy0"
1375,Controlar a los mosquitos para detener el virus del Zika: Más de la mitad de la población mundial vive en zona... https://t.co/wHPUyEySek
6205,"@super_enid ninguna es una buena razón, ahí hay mosquitos y me da zika."
743,"Protege a tu bebé de cualquier picadura de mosquitos, Dengue o Zika, con las Toallitas Anti-mosquitos de #Pigeon. https://t.co/FAL8ZWcMFd"
6071,Hallan presencia del virus del Zika en mosquitos comunes en Brasil - https://t.co/2Flkc5PZo6 https://t.co/r4CppbtNgo #Brasil
3456,Evitemos la reproducción del mosquito ZIKA. #GNBGarantesDelOrden https://t.co/0B4q4jie9Z
1963,"Ampliarán en Antioquia proyecto que controla el mosquito que transmite el Dengue, Chikunguña y el Zika https://t.co/cA7y1l48eK"
4784,Alertan del riesgo 'real' de contagio del virus zika en las áreas con mosquito tigre https://t.co/IIBGvZQXUo
6429,Vi un mosquito que se parecía a los que te dan Dengue y Zika y me tuve que bañar en repelente y fumigar la casa.
2858,"Traigo toda la cara llena de piquetes de mosquito, ojalá y me dé zika o chicungunya y me muera alv de una vez."
3623,"vieron que estoy enferma? bueno me picó un mosquito, seguro tengo el virus zika y voy a fallecer"
1988,Desarrollan un método para combatir el mosquito 'Aedes' que podría reducir el zika https://t.co/TG3KyGkOuW vía @antena3com
2382,Hallan el mosquito transmisor de zika en Chile por primera vez en 60 años https://t.co/UY8dIuYlPw via @NewsRepublic
5621,"Dejen de meter miedo con el mosquito, si @mauriciomacri es mas peligroso q el zica, el dengue y la chimoltriufia juntas!!!"
