,tweets_pronouns
2486,Me pico un mosquito ojala sea el dengue o el zika y ojala sea mentira el dicho de yerba mala nunca muere
844,"Con la cantidad de mosquitos que me picaron, si no tengo el dengue o el zika pega en el palo."
5268,Recién me entero que los mosquitos transmiten la enfermedad Zika
2117,Me picó un mosquito en un dedo del pie. 😠 ojalá sea Zika alv
4854,Me pica un mosquito y flasheo zika dengue internacion sufrimiento muerte y así
5525,Consha su madre con el zika... y a mi q me están comiendo los mosquitos
2375,La cumbia boliviana para matar al mosquito del Zika (y a nosotros de la risa) https://t.co/0A9vT4jN0c https://t.co/PJo57eemfP
2903,"Dios mio, hoy he visto tantos mosquitos y zancudos que me estoy volviendo paranoica con el zika (╥﹏╥)"
3712,Ayer dormi tapada y ahora tengo calor pero igual tengo frio seguro me pico el mosquito del Zika o algo
3058,"Una vez me pico un mosquito del zika,  y pasó con fiebre,  dolores y vómitos,  tres semanas.  Luego murió."
1359,"Me picaron alrededor de un millar de mosquitos creó que agarre dengue, zika y chikunguña al instante"
4541,Lo único seguro es que en el carnaval me va a picar el mosquito del zika y podré estar en la onda mundial
3016,'No me apagues el ventilador que andan mosquito y a ver si me agarra el zika boluda' yo hablándole a mi vieja.
2761,"Me pico un mosquito, tengo tanta suerte que me agarro zika y dengue"
4244,Tengo mas probabilidades de que me pique un mosquito con zika ¡de que vos me des bola!
2279,"En el futuro, científicos dinosaurios extraerán ADN humano de mosquitos del zika atrapados en ámbar, y harán un parque con nosotros."
3064,@Eldivo23 Mi prima le dio share a una noticia de que esos mosquitos están modificados genéticamente y por eso transmiten Zika........
4373,Infelizmente tuve que ir al depósito y los mosquitos me llevaban en andas. Si tengo Zika los contagio a todos el sábado en el Bidegain.
2842,@gabycrystal_ me dio zika y la elemental esta llena de mosquitos y ninos pequenos so no es buena idea. ya para el martes o miercoles vuelvo!
1452,"Así es el mosquito que causa el zika, el dengue y la chikungunya https://t.co/SaB2UAXotr vía @RevistaSemana A mí ya me dio chikungunya yzika"
5343,Tengo varias picaduras de mosquitos y estoy re paranoico con lo del dengue y el zika. A lo mejor son mosquitos comunes pero me da miedo.
4027,En un Zika roulette party con 10 mosquitos a mi alrededor. Rogando que los que me piquen no estén infectados.
5396,me picaron 854 mosquitos ya tengo el zika asegurado
2857,"a todo el mundo le dio chikungunya o ahora el zika, miren a mi nunca me ha dado ninguna enfermedad de las que pegan los mosquitos"
5650,"#JPInforma Cra. Rosario: Virus de Zika es leve en comparación con el dengue, nuestra lucha es contra el mosquito transmisor"
564,"Me acaban d picar DOS mosquitos y ya toy buscando sintomas de dengue, zika y chinku nose q, asi a soy bsote"
