,tweets_VERB
0,Protégete contra los #mosquitos que puedan causar el #virus del #Zika con los tips de OFF! #repelente #salud https://t.co/hjmMNShgz6
1,"Recuerda, el mosquito Aedes puede transmitir -al picar a un humano- la fiebre Dengue , Chikungunya o Zika"
2,"Elimine los criaderos del mosquito Aedes Aegypti. Sin Sarapicos no hay Dengue, Ni Chikungunya, Ni Zika #SaludBAQ https://t.co/qFElLJlP8L"
3,Conozca la Isla que tiene el mosquito transmisor y no tiene casos de zika  https://t.co/jC2KPrHbVh
4,"Revelarán dónde hallaron mosquitos con zika en Miami-Dade: AP Las autoridades de Miami-Dade, Florida, darán a conocer el miércoles lo..."
5,Revelarán dónde hallaron mosquitos con zika en Miami-Dade: El gobernador de Florida Rick Scott y la directora... https://t.co/pC4PEpAEco
6,"Lanzamos un plan d control y monitoreo d huevos, larvas y mosquitos de AEDES AEGYPTI, q transmiten dengue zika chikungunya y fiebre amarilla"
7,Protégete contra los #mosquitos que puedan causar el #virus del #Zika con los tips de OFF! #repelente #salud https://t.co/km726COHsZ
8,"Evite que los mosquitos entren a su hogar. Use telas metálicas en puertas y ventanas, y mosquiteros para la cama. #WellnessWed #ZikaVirus"
9,"Vacíe agua de macetas, cubetas, recipientes de agua para mascotas y piscinas , para evitar criaderos de mosquitos #WellnessWed #ZikaVirus"
10,"Evita las enfermedades transmitidas por los #mosquitos como el #Zika, usa ropa gruesa de colores, así como mangas y… https://t.co/Xv1b4aTFQR"
11,Revelan dónde hallaron mosquitos con zika en el condado Miami-Dade https://t.co/HVuffhp0mv https://t.co/wRW51QFmjm
12,Revelan dónde hallaron mosquitos con zika en el condado Miami-Dade: Casi todos los lugares en Miami... https://t.co/pK5cDdqMBD @jatirado
13,Revelan dónde hallaron mosquitos con zika en el condado… https://t.co/c0DpO8IAPp #Florida Tomás Manrique Miami https://t.co/yLd6vuNjEV
14,"Sigue estos consejos y acaba con los criaderos del mosquito del Zika, Dengue y Chikungunya #TodosSomosBrigadistas https://t.co/3gfrj5Nd1S"
15,Realizan primera Reunión Científica Internacional de Uso de Mosquitos Estériles para el Control del Zika: https://t.co/PNM4iD3PLO
16,"Evita enfermedades transmitidas por mosquitos, di no al  #zika #chikungunya y #dengue https://t.co/Fo0NfXcvel"
17,Realizan primera Reunión Científica  Internacional  de Uso de Mosquitos  Estériles para el Control del Zika https://t.co/yFwHeNRJSj
18,Realizarán experimentos nucleares con mosquitos en el país para contrarestar zika https://t.co/kd8WuIXx2d
19,"Sigue estos consejos y acaba con los criaderos del mosquito del Zika, Dengue y Chikungunya #TodosSomosBrigadistas https://t.co/2Imk0cAmw4"
20,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/gQOQYFGEm9
21,"Fumigar con #Naled ataca a mosquitos adultos. Si no se atacan los criaderos de larvas, fumigarán por $iempre. ¿Exterminio? ¿Negocio? #Zika"
22,Soltarán mosquitos transgénicos contra zika en Islas Caimán https://t.co/PKp50NONOS
23,@ActualidadRT el zika se.produjo por los mosquitos mutantes que ibab a controlar la chicungunya o el dengue.. cuidado con lo que sale ahora
24,Liberan mosquitos mutantes en las Islas Caimán para combatir el virus del Zika https://t.co/riBf5d8F7T  ... https://t.co/z1pWhDdDrW
25,Soltarán mosquitos transgénicos contra el zika en Islas Caimán https://t.co/Nue73Aym6z https://t.co/rWf1fpXfri
26,Realizarán experimentos nucleares con mosquitos en el país para contrarestar zika https://t.co/kd8WuIXx2d
27,Soltarán mosquito contra el Zika en Islas Caimán -  https://t.co/HUkPQJWNot https://t.co/rkM6ldcCci
28,Fabrican ropa en Brasil que repele el mosquito del zika  https://t.co/8K3n3H9XrB
29,Liberan mosquitos mutantes en las Islas Caimán para combatir el virus del Zika https://t.co/sd0tLimqBl  Vía VTVcanal8
30,Descubren bacteria que bloquea transmisión del Zika en mosquitos https://t.co/uJVh5g17qy
31,"Evita enfermedades transmitidas por mosquitos, di no al  #zika #chikungunya y #dengue https://t.co/S9v3y0o0H7"
32,"Odiooo los mosquitos, estoy llena de piquete 😡💆🏽 me va dar ZIKA 🙄"
33,Soltarán mosquitos transgénicos contra el zika en Islas Caimán https://t.co/qbgu2q5PUz
34,Liberarán mosquitos transgénicos contra el zika en Islas Caimán --&gt; https://t.co/cYpGo11Pzv https://t.co/bd3V3gye49
35,Fabrican ropa en Brasil que repele el mosquito del zika https://t.co/VBlVWEomFF vía @agencia_sinc
36,"Liberan mosquitos mutantes en las Islas Caimán para combatir virus del Zika, https://t.co/L0VevBbNKR,"
37,Sigue esta recomendación para evitar estar expuesto al mosquito del virus zika. https://t.co/PLrZQW9jbi
38,Liberan mosquitos mutantes en las Islas Caimán para combatir el virus del Zika https://t.co/5pOCKBXQqq https://t.co/Qw6bBHKEc2
39,Liberarán mosquitos transgénicos contra el zika en Islas Caimán --&gt; https://t.co/cYpGo11Pzv https://t.co/FIeXoiGQyd
40,Liberan mosquitos mutantes en las Islas Caimán para combatir el virus del Zika https://t.co/kLyn2Wfkz0 https://t.co/WuN12f1Mx0
41,Sabéis que Brasil para eliminar al mosquito del Zica ha contratado una empresa para que libere millones de mosquitos por las calles con un+
42,"Evita los criaderos del mosquito transmisor de Zika, Dengue y Chikungunya, no dejas agua estancada https://t.co/E363WEfMM4"
43,Liberan mosquitos mutantes en las Islas Caimán para combatir virus del Zika https://t.co/FIh2PNBpD6
44,"Evitar la picadura de mosquitos para prevenir la infección por #Zika, #Dengue o #Chikungunya #SiNoTePicaNoTeDaZika https://t.co/N73Ds538pX"
45,"Recuerda, el mosquito Aedes puede transmitir -al picar a un humano- la fiebre Dengue , Chikungunya o Zika"
46,"Elimine los criaderos del mosquito Aedes Aegypti. Sin Sarapicos no hay Dengue, Ni Chikungunya, Ni Zika #SaludBAQ https://t.co/QutDnogjiw"
47,Saben que es innecesario? El zika. Maldito mosquito😤
48,Quisiera ser él mosquito del zika para picarte😳
49,Conozca cómo protegerse del virus del Zika durante el embarazo #DeténElZika https://t.co/NNoC7IfnNC
50,Prevén el zika: ponte camisas de manga larga y repelentes de insectos registrados en la EPA contra los mosquitos. https://t.co/u8j8CU4GfH
51,Piden más compromiso social para combatir enfermedades como el zika: Notimex Los mosquitos transmisores de vi... https://t.co/g6RlD5uuxz
52,Atiende las recomendaciones para prevenir enfermedades transmitidas por mosquitos #Zika #FiestasPatriasSLP https://t.co/xY7Fw6D4d7
53,Alertan sobre el virus #zika. Se transmite por los mismos mosquitos del #dengue y #chikungunya http://t.co/Ji1G7QHP1M http://t.co/08NPco4H80
54,#PorTiYoPodría Dormir en trusa! Aunque me piquen los mosquitos y me de Zika!
55,Hallan mosquitos portadores del zika en Miami Beach https://t.co/OYbmOmwkWA
56,"@hernandezmack ¿CÓMO la EIS ayuda a combatir el ZIKA?¡AH!Según la flamante Ministra,la niña podrá suspender la violación si mira un mosquito"
57,Realizarán experimentos nucleares con mosquitos en el país para contrarestar zika https://t.co/kd8WuIXx2d
58,Lanzan en Argentina semanas de acción contra mosquito vector de dengue y zika https://t.co/sMP0VN2PAt :Auto pickup by wikyou
59,"Recuerda, el mosquito Aedes puede transmitir -al picar a un humano- la fiebre Dengue , Chikungunya o Zika"
60,Espero que no sea ese sida (zica) que transmiten los mosquitos
61,Deteniendo el virus del Zika: el caso de los mosquitos mutantes https://t.co/1xW3iwaLp4
62,Proponen usar murciélagos para acabar con mosquitos que transmiten el zika en Miami Beach - #OxigenoCD https://t.co/2jfzMshqvT
63,Lanzan campaña contra mosquito tras 4 casos de zika y 2 de dengue: El Ministerio de Salud Pública (MSP) lanzó... https://t.co/S9yEHYJ9sc
64,Intensifica Vietnam campaña contra el mosquito para prevenir el zika https://t.co/0FpuWbgYCK
65,Proponen usar murciélagos para acabar con mosquitos que transmiten el zika en Miami Beach - #OxigenoCD https://t.co/9CeO6Z7AIg
66,Intensifica Vietnam campaña contra el mosquito para prevenir el zika  https://t.co/YFNRXvgcXc
67,"Resulto promiscuo el mosquito Aedes aegypti. Ademas d transmitir Dengue y #Chikungunya, detectan en Brasil q tambien transmite el Virus Zika"
68,Alertan sobre nuevo virus transmitido por el mosquito Aedes denominado #Zika http://t.co/dJacA045lm http://t.co/NmAUWMxxos
69,Ensayan en México radiación nuclear contra mosquito del #Zika. https://t.co/md9jsHEyGx  https://t.co/wv2wYCw0d3  @drakers46
70,*Mira fijamente un mosquito* *agarra el raid* PUEDE SE ZIKA JAJAJAJAJAJAJ
71,Combatir el zika requiere más que luchar contra un mosquito. Una conversación sobre salud y derechos de la mujer https://t.co/6RaTNpABO9
72,"Dicen que el mosquito del zika resiste las fumigaciones, pero es el mismo del dengue y chikungunya.Entonces ¿para qué fumigan? #AedesAegypty"
73,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/CKTSQ8Cjr6 vía @el_pais
74,Estudian comportamiento de los mosquitos para combatir el Zika - Periodico a.m.
75,Estudian comportamiento de mosquitos para combatir el zika https://t.co/XMXSwCJAFp
76,"Estudian comportamiento de mosquitos para combatir el zika - La investigación comprende aspectos faunísticos, t... https://t.co/kau3hFOmYv"
77,mate un mosquito con mucha bronca como si fuera gotze despues de hacernos el gol en la final no mas zika no mas alemania campeon del mundo
78,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/RWs1lS2lvP via @el_pais
79,"Estudian comportamiento de mosquitos para combatir el zika - La investigación comprende aspectos faunísticos, t... https://t.co/wXquBYmqoQ"
80,"@DSalaberria a estos los pico el mosquito que transmite el zika, y les achico el cerebro. No hay otra explicación"
81,@hector_gay terrible la cantidad de mosquitos y moscas nada de fumigacion en los barrios sobre todo en esta epoca con dengue zika y demas
82,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/IRLZJbP8Dz via @el_pais
83,matando todos los mosquitos posibles para evitar el zika
84,Desplegarán operativo especial para proteger al Papa del #Zika  https://t.co/236mR4IwLI https://t.co/KCT6PkWV76
85,"maté tres mosquitos en menos de un minuto, zika te 100to"
86,"Utiliza manga larga, pantalón y repelente para evitar que el mosquito que transmite #Zika te pique #PrevenirEsVivir https://t.co/di5Noi2WJU"
87,@alba_tv El negocio del zika y los mosquitos transgénicos: Por Silvia Riveiro* Los datos en… https://t.co/UW6Q5pTWQP
88,Estudian comportamiento de mosquitos para combatir el zika https://t.co/SGG09vSrHf
89,"Tengo 300 picaduras de mosquitos, espero que ninguno sea del mosquito que transmite el zika"
90,"Prefiero que me pique el zika ,antes de que los mosquitos me sigan rompiendo las pelotas."
91,Creo que a mi ex lo picó el mosquito del Zika porque tiene microcefalia EN EL PENE.
92,"Apagaron la luz y me atacaron 50 mosquitos, todo bien, aguante el zika"
