,tweets_pronouns
0,Me va a dar zika de tantos mosquitos y no llegan.
1,Yo personalmente prefiero la compañía de un mosquito que transmite zika que la de un trapo preñado.
2,"Me imagino que Narnia sin mosquitos no es Narnia, hay una fiesta de Zika con Chikungunya y su amigo el Dengue #baasta #unafumigacionporfavor"
3,"@co_keysa el zika es un virus. Si un mosquito me pica puede infectarse de zika y picar a otro, pero yo tengo el virus primero luego lo paso"
4,"Mujer: me violó mi papá, me pegó VIH y ahora hasta un mosquito con Zika ¿qué hago?  Iglesia católica: en 5 años me lo mandas bien bañado."
5,"Cooperación universitaria para frenar el mosquito transmisor del zika y el dengue, en nuestro portal... https://t.co/2Opv5mHrQG"
6,"A los mosquitos del Zika un condón y a las abejas respiradores,muy bien pensado.Ese es mi gobierno, siempre asertivo https://t.co/8xzhdMU6Nm"
7,"Me dan ganas de tomar una siesta, aquí en la sala, pero con tanto mosquito voy a terminar con Zika."
8,"@chanchosUY me acaban de confiscar mi moto Mosquito, los inspectores me dicen que están previniendo el zika"
9,"Acabo de ver un mosquito en mi oficina. Como Rihanna, renunciaré por miedo al Zika."
10,"—Doctor, ¿que me recomienda para protegerme contra el Zika?  —Sexo anal —¿usted habló con mi marido, verdad?  —¡Que Mosta, ni que Mosta!..."
11,"Me picó un mosquito, por favor que no sea el del dengue o zika 🙏"
12,Un mosquito me acaba de dejar como un colador.... tengo ya el zika ése?
13,"Me picó un mosquito en la frente, ZIKA TE VEO VENIR"
14,"#Infografía ¿Qué puedo hacer en mi escuela para evitar los mosquitos del #Chikungunya, #Dengue y #Zika? https://t.co/ZlwJx9yxvT"
15,"Odiooo los mosquitos, estoy llena de piquete 😡💆🏽 me va dar ZIKA 🙄"
16,¡CUIDADO! En nuestra propia casa podemos estar permitiendo que el mosquito transmisor del dengue y Zika se reproduzca #DileNOalDengue #Zika
17,Me empapé de off porque no quiero que ningun de los otros putos mosquitos me pique! Con el zika ya bastó
18,"Puta madre con los mosquitos, que ya me de zika ya ya a la verga"
19,"Sr. Mosquitos no tengo drama de que me piquen, violen ,trasmitan dengue, zika, chikungulla etc etc pero POR FAVOR NO ME VUELEN EN EL OIDO!!"
20,"No encuentro mi repelente de mosquitos, me voy a morir de zika alv"
21,"@crunchyroll_es Con mi suerte, caballero de bronce de mosquito. Ataques: Dengue, Chiconguya y Zika"
