,tweets_VB
115,Do que adianta fazer um tinder de zika vírus se o mosquito VOA????
119,"se a zika for transmitida pelo mosquito comum, acho que finalmente o brasil vai ser exterminado"
92,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
205,"Sobre a microcefalia causada por Zika Virus, parece que os governos têm uma leve tendência de preferir matar bebês a matar os mosquitos."
113,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
166,"Esqueci a janela do quarto aberta, fui picada por uns 492843 mosquitos. Tenho certeza que já to com dengue, zika e chikungunya"
185,Do onde veio o #zika vírus? Mosquitos geneticamente modificados sob suspeita:  https://t.co/9nnMC86qTa - via greenMe
51,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
15,Esqueci a janela aberta agora meu quarto tá cheio de mosquito se eu n pego zica hj não pego nunca mais
222,ai a vacina do zika sai e o mosquito ja canso de passa zika pros serumano ai vem outro ser enviado pelo demonio pra deixa td mundo louco
194,E a louca falando q zica ? enviado por satan?s kkkkkkkkk vira mosquito e possui seu corpo ???
25,Cadê a Izabella  Teixeira Ministra do Meio Ambiente  está atrás do mosquito Zica  e esqueceu de ver isso? Isso não pode acontecer.
102,"Que a zika é uma doença que se espalhou recentemente pelo mundo, todo mundo sabe. Que o mosquito Aedes aegypti é... https://t.co/jXWpTkZexm"
131,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/HUv7D2s1z8
63,mosquito me pica já fico DENGUE ZIKA VO MORRE
160,"Se a solução para a Zika é vacinar,também é bom começar a estudar a colocação de redomas futuristas sobre as cidades para evitar o mosquito."
161,'Combate ao VÍRUS do MOSQUITO ZIKA'!!!!!!!!!!  https://t.co/y1PmhXn7cR
169,"Se a minha zica viesse do mosquito, eu tava feito. PQP."
37,"Sabe a zika gente, então, não deixem o mosquito picar vocês"
142,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
236,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
2,"Para a médica infectologista Dimentira, ovo do mosquito Aedes aegypti contém o virus da Zica. Vai estuar, governANTA https://t.co/DBUQY6mw5A"
104,mosquito me pica eu já fico adeus mundo foi bom estar aqui aqui jazz zika helle vírus
203,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
71,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
190,"É a doença do momento, conheça alguns cuidados a ter para se proteger do virus Zika. - https://t.co/5A30FVhAI8 #travel #saude"
175,Com a skin do mosquitão zika eu não saio dos mil de score...bem triste mesmo uduhasdhsau https://t.co/KHkqg3tZcx
99,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
226,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/166ZX9xZss via @bol
28,Com a epidemia da Zika o pessoal vai manter a foto para afugentar os mosquitos... https://t.co/oqFpp4e9we
11,"Confira a “Ovillanta”, uma engenhoca simples que promete combater a proliferação dos mosquitos causadores da Zika https://t.co/S1CwvGk2eu"
