,tweets_VBD
54,'Estudam a possibilidade de mosquitos comuns transmitirem o Zika vírus' gente fudeu
83,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
131,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
231,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
159,ql a lógica do nme ser zika vírus dve q foi tipo o bb saiu bugado aí os cara foi e falo nossa esse mosquito é zika msm vai chama zika vírus
191,"É a doença do momento, conheça alguns cuidados a ter para se proteger do virus Zika. - https://t.co/5A30FVhAI8 #travel #saude"
57,"Sobre a Saúde Vamos pôr o mosquito da Dengue, Zika e Chikungunya na Cadeia - Mj. Olímpio. #DebateDaBand"
113,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
122,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
215,"Se a porra do zika vírus se passa pelo beijo , axo meio difícil alguém beijar o mosquito"
222,é a cooperação do 'Estado' ao mosquito..Parceria Zica e/ou Zika! #vergonha pouca. https://t.co/kSZE0TuKm5
207,E a Zika tá virada na Porra !!!! Bora cuidar.... se não o mosquito pega...
217,"'Aqui a zika nao samba'  Ainda se vao fuder todos a pala da merda dum mosquito, eu é que nao ia pa rua de certeza"
43,agora  a Zika virus pega belo beijo mais em que pessoa em si consiencia vai beija um mosquito?
230,"Com a suspeita da possibilidade de transmissão do zika vírus pela saliva e pelo sêmen, que tal mudar o nome do mosquito para AIDS Aegypti?!"
120,rose usa o mundo inteiro no tornozelo pra proteger e ainda consegue vira o pe ê zika
175,Como a gestante deve se proteger do Zika Vírus? - https://t.co/J4qSHvVS5F Via @_hypenews #Saúde
30,"Se a Dilma ficar até 2016,  o mosquito da zika vai chegar em todo Brasil. Praga da Dilma Ramses https://t.co/OQPelDUXa6"
74,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
59,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
60,"@RicaPerrone festa encerramento linda! Foi tudo bom demais!Nem a Zica do mosquito, nem a Zica da @folha atrapalharam a Rio 2016"
37,"Sabe a zika gente, então, não deixem o mosquito picar vocês"
3,"prevenir a Zika e a Dengue  • Evite deixar água parada em locais propícios para a multiplicação dos mosquitos como: latas,, pneus, vasos"
118,Com a fome de 3.400.258 mosquitos zika
41,Ajude a rastrear focos do mosquito Aedes aegypt usando o celular.  https://t.co/ZgO1BfOjxI  #ZikaVirus #zika #zikazero #AedesAegypti
88,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
15,Esqueci a janela aberta agora meu quarto tá cheio de mosquito se eu n pego zica hj não pego nunca mais
161,"Se a solução para a Zika é vacinar,também é bom começar a estudar a colocação de redomas futuristas sobre as cidades para evitar o mosquito."
203,do mosquitos in NY have Zika?
237,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
139,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
75,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
185,"Devido a esse virus do mosquito, essa zika😂"
233,"Com a quantidade de mosquitos que tem aqui em casa vou ficar com dengue,zica vírus,osteoporose,ebola,aids,tétano,hemorroida,poliomielite."
205,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
174,Como a gestante deve se proteger do Zika Vírus? https://t.co/whMZPlcB1U
198,'Combate ao mosquito zika.' Kkk tá certo 😂
68,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
238,É a coisa mais certa a se fazer.O Ministério da saúde está voando mais q o mosquito aedes.Pouco sabem sôbre o Zika. https://t.co/oI1siOQNGB
127,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/SQJ5gfOMWF https://t.co/OE1FxfhnaY"
188,"abri a janela e entrou uma REVOADA de mosquito, zica dengue chikungunya 3 por 10 na minha mão é mais barato tia."
96,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
156,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgA3u1 https://t.co/LkFllgccte
206,"Sobre a microcefalia causada por Zika Virus, parece que os governos têm uma leve tendência de preferir matar bebês a matar os mosquitos."
138,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
153,"Conscientize estudantes para combater o mosquito transmissor da dengue, zika e chikungunya! https://t.co/usY78Ub9tZ https://t.co/vHx4e1t0h0"
242,"Vamos a ver carajo..  Este país INFESTADO DE DENGUE, ZIKA Y TODAS LAS M DEL MOSQUITO Y EL SEGURO NO CUBRE PRUEBAS DE Esto???! Q PAIS DE M😠😠"
150,Cai a verba federal de combate ao mosquito da dengue e zika. https://t.co/7aylqD0Vr0
189,graças a deus a dilma aprendeu q zika é o vírus e não o mosquito
117,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/to8ZdopEjS
157,Então a Dilma criou o mosquito Zika? Pqp em...
204,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
141,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
169,👉 A websérie 'Que Zika!' mostra cuidados de gestantes para se proteger do Aedes. Confira: https://t.co/AqIB6lLDwx #ZikaZero #CombateAedes
223,ai a vacina do zika sai e o mosquito ja canso de passa zika pros serumano ai vem outro ser enviado pelo demonio pra deixa td mundo louco
209,"Cabe a toda a comunidade se mobilizar para impedir o avanço do mosquito transmissor de dengue, zika e... https://t.co/tsTuMlKRyL"
28,Com a epidemia da Zika o pessoal vai manter a foto para afugentar os mosquitos... https://t.co/oqFpp4e9we
90,"Se a gente for picado pelo mosquito da dengue, pegar zika vírus, a gente vira mano?"
10,'Fecha a janela que um mosquito Zika pode ti morde.'
136,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
1,"Caiu a verba para combate ao mosquito Aedes Aegypti,Zika Vírus e Chikungunya, mais tem para ver liga de futebol... https://t.co/cPGVZVSxqP"
240,"Chegou a hora de combater o mosquito da dengue, zica e cjikungunya. Faça sua parte!... https://t.co/f5AQzGyjir"
184,"Tive a sequencia dengue, zica e depois chicungunha, um tiro nesses mosquitos do capeta"
146,Vaiar a Hope Solo por se proteger do zika vírus é similar a vaiar alguém que passa protetor solar.
228,entao a dengue olhou para ele disse levante a cabeça e acredite no seu potencial..  esse mosquito era nada mais nada menos que o zika virus
19,Ajude a proteger o Maranhão do mosquito da dengue e da zika. Veja o vídeo. https://t.co/rjUIRE8V5b
16,Com a sorte que eu tenho pego zika vírus e tétano no mesmo mosquito
151,Cai a verba  federal de combate ao mosquito da dengue e zika https://t.co/7aylqD0Vr0
112,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
155,"Com a importante colaboração da população, vamos intensificar as ações na luta contra o mosquito transmissor da dengue, chikungunya e o zica"
97,Se a presidenta já mudou o nome do mosquito pra mosquito Zica e disse que o ovo transmite a doença! Estamos fudidos e mal pagos kkkkkkkk
183,"Com a confirmação que o Aedes Aegypti transmite dengue, chikungunya e agora zika, cientistas estudam usar o mosquito para transmitir wifi"
38,"Livre a sua casa do mosquito transmissor da Dengue, Chikungunya e Zika Vírus! https://t.co/fDnOqHVMPB https://t.co/JfQF5QLDKJ"
241,perdendo  a guerra e torrado milhões de reais no combate ao mosquito. https://t.co/MFkZhmT865 via @CartaCampinas
46,Tão a profetizar Zika assim😩. Nós sempre convivemos com mosquitos 😂
130,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
164,"segundo a filosofa ti Dri se um mosquito picar ela, certamente ele ja deve ta com zika, pq a vida dela ta tão zikada q quem pega zika é ele"
194,"@wictorshow nesse caso do zica ai.. tao culpando o mosquito sendo que o culpado ? o governo! Deram vacina vencida sei la, q deu errado..."
26,afffff a mia cancelou a viagem no brasil por causa da zika mosquito desgraçado
196,É a favor de projetos que são contra o mosquito transmissor do Zika vírus? Então ajude o Colégio Adventista de... https://t.co/ZGBtCxhOQZ
168,e a quantidade de mosquito é impressionante ainda bem que meus anti corpos sao muito bons senao eu ja tava com zika dengue e as porra tudo
167,"Esqueci a janela do quarto aberta, fui picada por uns 492843 mosquitos. Tenho certeza que já to com dengue, zika e chikungunya"
22,"ZIKA A culpa é de todo mundo,décadas sabemos o que tem que ser feito para combater o mosquito e não fazemos. https://t.co/8lgP7nBTqO"
72,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
35,"Esqueci a janela aberta e o teto tá forrado de mosquito,só falta um Zika vírus  msm pra completar a minha desgraça"
49,É a primeira vez que os mosquitos portadores da zika estão presentes na zona continental dos EUA. https://t.co/DsNLY6d2Mb
63,mosquito me pica já fico DENGUE ZIKA VO MORRE
148,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/QLQTdkm3K3
65,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika - https://t.co/lXVEQBg9P8 https://t.co/L3LXPLTXpP
98,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
56,Gastei a onda no snap eu mano mosquito da zica
95,"Conheça a rede Zika, força-tarefa de 42 laboratórios contra o mosquito Aedes Aegypti - https://t.co/uWepM5Nttw https://t.co/YzTjrc5G0n"
99,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
172,"Com a Wanheda no Brasil fico até tranquila pq ela vai exterminar Dengue, Zika e Chikungunya O que é um mosquito pra quem matou geral né non?"
170,"Se a minha zica viesse do mosquito, eu tava feito. PQP."
40,Chamar a pessoa de zika era elogio.... Agora com esse mosquito virou doença... Kkkkkkkkkk
82,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
4,Com a Convivência tão próxima com o ebola estou reparando que o Zika e e o tal são muito parecidos em forma de transmissão fora do mosquito
199,"Se a mosquita é a mulher do mosquito, o Zico é o marido da Zika."
144,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
