,tweets_VBG
20,Ajude a proteger o Maranhão do mosquito da dengue e da zika. Veja o vídeo. https://t.co/rjUIRE8V5b
110,*tava a tirar uma foto* *aparecem mosquitos* 'Ai o zika' *ele começa a correr*  AHAHAHAHAHAHA FODA-SE
48,Tão a profetizar Zika assim😩. Nós sempre convivemos com mosquitos 😂
195,"Com a proliferação das larvas do mosquito Aedes aegypti, transmissor da Dengue, Zika Vírus e Chikungunya, a... https://t.co/FYcsXPTWY5"
160,"Com a chegada do verão americano, o mosquito do zika vai fazer a festa por lá?"
125,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
161,"Com a importante colaboração da população, vamos intensificar as ações na luta contra o mosquito transmissor da dengue, chikungunya e o zica"
235,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/166ZX9xZss via @bol
131,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/SQJ5gfOMWF https://t.co/OE1FxfhnaY"
172,"segundo a filosofa ti Dri se um mosquito picar ela, certamente ele ja deve ta com zika, pq a vida dela ta tão zikada q quem pega zika é ele"
166,"Getting ready to run... no #mosquitos no zika.... #repelent #nozika @ Ojus, Florida https://t.co/v6Y3PviMeo"
207,"Se a mosquita é a mulher do mosquito, o Zico é o marido da Zika."
134,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
104,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
113,"pq a doença do mosquito chama zika cara, acho tao ble"
15,Velho a porra de um mosquito me picou Sera o zika
36,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
94,"Se a gente for picado pelo mosquito da dengue, pegar zika vírus, a gente vira mano?"
200,"Com a ajuda de aplicativos, viajantes podem contribuir para eliminar os focos do mosquito: https://t.co/Gdru9U0Xkr #CombateAedes #ZikaVirus"
7,toda a vez que entro nos sites do M.Saúde tem esses mosquitos voando devido a campanha conta Zika e afins
25,Aceite a dengue eo mosquito mais foda e é o mais zika tbm 🙇 - Ashuashuaa   https://t.co/Y1qWUlMLB4
232,se a beyonce pensar em cancelar por causa do zika virus eu mando o mosquito pra casa dela
117,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
126,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
146,daqui a pouco eu pego zika c esses mosquito
87,"Porra a menina que trabalha do meu lado na empresa tá com zika, agora qualquer mosquito que me picar lá vai ser meu fim."
230,é a cooperação do 'Estado' ao mosquito..Parceria Zica e/ou Zika! #vergonha pouca. https://t.co/kSZE0TuKm5
73,"Se a nicki não vem pro brasil por causa desse zika virus,ah mas eu vou dar tanto na cara desse mosquito"
8,começo a pensar seriamente que o bruno foi picado pelo mosquito zica
68,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika - https://t.co/lXVEQBg9P8 https://t.co/L3LXPLTXpP
221,Recebi a informação de que tomando 5 gotas de própolis por dia nosso cheiro afastaria o mosquito da zika. Alguém... https://t.co/xE2F8Q4DjO
27,afffff a mia cancelou a viagem no brasil por causa da zika mosquito desgraçado
233,"Vi a pesquisa que passou na tv falando que roupa preta atrai o mosquito da dengue e do zika, menino vai ser o fim dos góticos"
92,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
187,"Legal a iniciativa da unirio de conscientização sobre dengue/zika, mas não aguento mais os mosquitos voando toda vez que entro no site."
236,entao a dengue olhou para ele disse levante a cabeça e acredite no seu potencial..  esse mosquito era nada mais nada menos que o zika virus
251,Pq a Dilma chamou líderes cristãos p discutir estratégias d combate ao aedes aegypti? Eles vão exorcizar o espírito Zika Virus nos mosquito?
14,se a marina cancela por causa de zika eu viro mosquito e vo la na casa dessa desgraçada
220,@gshow Pode haver relação entre o mosquito geneticamente modificado solto recentemente e a explosão dos casos de Zika?
249,perdendo  a guerra e torrado milhões de reais no combate ao mosquito. https://t.co/MFkZhmT865 via @CartaCampinas
31,"desculpem a revolta, mas é o cúmulo do ridiculo falar zap ou zapzap, nossa que coisa mais fui picado pelo mosquito zika"
50,"Qnd a Anitta mandou fazer o vestido dela de ontem, ela estava pensando em se proteger do Zica"
140,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
96,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
66,mosquito me pica já fico DENGUE ZIKA VO MORRE
13,Com a quantidade de mosquito que tem na minha casa não sei como ainda não peguei zika
201,dai a gente concluiu que a solução era pegar um mosquito zika e jogar neles que eles iam morrer...
49,"Breaking news: O mosquito transmissor do troca user, conhecido como zika bianca, picou metade da TL"
158,"fui me coçar e tinha outro mosquito me picando, ai fica a duvida: n basta zica ainda querem dengue? olha n da"
153,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/QLQTdkm3K3
206,'Combate ao mosquito zika.' Kkk tá certo 😂
90,Fucking mosquitos #ZikaVirus
100,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
144,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
91,"Do tanto de mosquito q me picou hj vai ser um milagre nos dias de hj se eu n tiver pego uma zika, dengue ou algo do tipo"
179,"E a Zika, hein? 220 mil homens do exército contra o mosquito Aedes Egypti. Os canhões não matam o bicho. Mas o governo faz marketing. Arghh!"
184,Com a skin do mosquitão zika eu não saio dos mil de score...bem triste mesmo uduhasdhsau https://t.co/KHkqg3tZcx
85,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
86,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
224,"Se a pessoa leva picadura do mosquito do zika e ela não tá grávida, o que acontece??"
28,Meeting Brasil.Josy Tavares Tavares...ISSO E NORMAL O DOENÇA DE DA ZIKA MOSQUITO?...O BLOQUEIO E COISAS DE PESSOA... https://t.co/gWqU3L7qJy
32,"Se a Dilma ficar até 2016,  o mosquito da zika vai chegar em todo Brasil. Praga da Dilma Ramses https://t.co/OQPelDUXa6"
74,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
139,Let me go inside before a mosquito gives me freaking zika 😩😩😩
