,tweets_VBN
185,"Se a solução para a Zika é vacinar,também é bom começar a estudar a colocação de redomas futuristas sobre as cidades para evitar o mosquito."
238,E a Zika tá virada na Porra !!!! Bora cuidar.... se não o mosquito pega...
257,ai a vacina do zika sai e o mosquito ja canso de passa zika pros serumano ai vem outro ser enviado pelo demonio pra deixa td mundo louco
196,"E a Zika, hein? 220 mil homens do exército contra o mosquito Aedes Egypti. Os canhões não matam o bicho. Mas o governo faz marketing. Arghh!"
146,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
180,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgA3u1 https://t.co/LkFllgccte
242,Retweeted José Simão (@jose_simao):  Zika! Triplex do mosquito! https://t.co/4aFEdY4yB4 https://t.co/t8uJXoQr2i
140,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
119,"Parabéns a Escola Luis Eduardo Magalhães que junto com o NRS N iniciam ação de combate ao mosquito da Dengue, Zika e Chicungunha."
115,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
165,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
99,@kharalhow e depois que saiu que o mosquito normal tbm passa zica eu fiquei foi doida
29,Aceite a dengue eo mosquito mais foda e é o mais zika tbm 🙇 - Ashuashuaa   https://t.co/Y1qWUlMLB4
73,Chegou a coleção completa de Citronela da Perfubrasil ! Repelente Natural do mosquito que pode transmitir zika... https://t.co/ogsWVA58uS
245,@gshow Pode haver relação entre o mosquito geneticamente modificado solto recentemente e a explosão dos casos de Zika?
6,"Convido a população e entidades pra unirmos forças em ações de combate ao mosquito Aedes Aegypti transmissor da Dengue, Zika e febre Chik..."
38,gente me ajuda aqui um mosquito me picou e eu acho q eh o zica o q eu faço ???? https://t.co/y81ve0uL75
222,É a favor de projetos que são contra o mosquito transmissor do Zika vírus? Então ajude o Colégio Adventista de... https://t.co/ZGBtCxhOQZ
264,"Com a suspeita da possibilidade de transmissão do zika vírus pela saliva e pelo sêmen, que tal mudar o nome do mosquito para AIDS Aegypti?!"
175,Cai a verba  federal de combate ao mosquito da dengue e zika https://t.co/7aylqD0Vr0
216,E A LIVIA É BAILE DE FAVELA! SCRR EU FUI PICADA PELO MOSQUITO ZICA pq essa msk n sai da cabeça mais
209,"Tive a sequencia dengue, zica e depois chicungunha, um tiro nesses mosquitos do capeta"
279,Pq a Dilma chamou líderes cristãos p discutir estratégias d combate ao aedes aegypti? Eles vão exorcizar o espírito Zika Virus nos mosquito?
102,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
248,"Se a porra do zika vírus se passa pelo beijo , axo meio difícil alguém beijar o mosquito"
100,"Cheguei a uma fase na vida em que tenho mais medo de mosquito que de gente. Me chama pra passear na cracolandia, mas não me chama pra zika.😔"
61,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
86,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
155,Começo a crer que funkeiros são os progenitores dos mosquitos que transmitem o zika vírus
90,"É a zika pegou a Hope Solo mas não a do mosquito, que a do frango, tadinha da mina kkk dalhe Colômbia #tipoColombia #COL #COLxEUA #FutFem"
262,entao a dengue olhou para ele disse levante a cabeça e acredite no seu potencial..  esse mosquito era nada mais nada menos que o zika virus
167,do jeito q esses gringos agem parece que qnd eles pisarem no brasil vao ser atacado por 500 mosquitos vao pegar zika dengue e chikungunya
204,"Legal a iniciativa da unirio de conscientização sobre dengue/zika, mas não aguento mais os mosquitos voando toda vez que entro no site."
170,Retweeted Olhar Digital (@olhardigital):  Empresa usa mosquito geneticamente modificado para combater Zika vírus:... https://t.co/LloPBcVZ1o
265,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
159,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/vADU3BQk2Q
45,"Com a intenção de mostrar que o mosquito que transmite a dengue, zica e chicungunha pode s… https://t.co/jy0OcVkpyN https://t.co/2ooWVCUV5z"
198,"Com a proliferação dos mosquitos, depois da dengue, da chikungunya e da zika, só falta agora um surto de febre amarela. Já há caso suspeito."
144,"Estou a louca do mosquito,tudo acho que é Zika."
78,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika https://t.co/y52yxgV1LG via @tvconexao33
138,Com a fome de 3.400.258 mosquitos zika
139,"se a zika for transmitida pelo mosquito comum, acho que finalmente o brasil vai ser exterminado"
53,"Evite a proliferação do mosquito causador da Dengue, Zika e Chikungunya. Água parada aqui não! https://t.co/afimdx9DiV"
65,"Siga a @InsetChaves e conheca nossa empresa, estrategias e participe ativamente conosco do combate ao mosquito da zika.#VemConosco"
153,Retweeted Fábio O. Ribeiro (@FabioORibeiro):  A zika foi soltar mosquitos geneticamente modificados no Brasil?... https://t.co/ijFvMNDNTn
7,toda a vez que entro nos sites do M.Saúde tem esses mosquitos voando devido a campanha conta Zika e afins
