,tweets_VBP
71,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
73,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
61,😮 How mosquitos drink blood. #MosquitoDay #mosquito #Zika #Malaria #insect #nature #wow   https://t.co/A4eph2kRV9
106,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
225,"Vi a pesquisa que passou na tv falando que roupa preta atrai o mosquito da dengue e do zika, menino vai ser o fim dos góticos"
154,"Com a importante colaboração da população, vamos intensificar as ações na luta contra o mosquito transmissor da dengue, chikungunya e o zica"
77,daqui a pouco vou pegar um zica de tanto mosquito
208,Prevenir a proliferação do mosquito é fundamental para manter a Zika longe  de nós. Faça sua parte: https://t.co/tKob1WMjxC
80,deus me libre cheio dos mosquito aki pode se o zika querendo me mata nao vai consegui deus eh mais
54,'Estudam a possibilidade de mosquitos comuns transmitirem o Zika vírus' gente fudeu
48,Revogaram a autorização do mosquito. Agora ele está proibido de transmitir Zika e Dengue. @ThaisaRadin @SirMuenster https://t.co/ux1bE9MvgA
222,é a cooperação do 'Estado' ao mosquito..Parceria Zica e/ou Zika! #vergonha pouca. https://t.co/kSZE0TuKm5
98,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
159,"'Só a Jessyka não pegou zika. A bicha é tão ruim que eu acho que foi ela que passou zika pra o primeiro mosquito.' VÓ, Minha."
153,"Com a chegada do verão americano, o mosquito do zika vai fazer a festa por lá?"
101,ai a gente sai do escritório e tá um mormaço do carai misturado com uns mosquitos transmissores de zika/dengue/chico/etc e tal
114,deus me libre num posso ve um mosquito ja penso q eh o zika
228,entao a dengue olhou para ele disse levante a cabeça e acredite no seu potencial..  esse mosquito era nada mais nada menos que o zika virus
141,daqui a pouco eu pego zika c esses mosquito
74,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
84,"Porra a menina que trabalha do meu lado na empresa tá com zika, agora qualquer mosquito que me picar lá vai ser meu fim."
104,mosquito me pica eu já fico adeus mundo foi bom estar aqui aqui jazz zika helle vírus
28,Com a epidemia da Zika o pessoal vai manter a foto para afugentar os mosquitos... https://t.co/oqFpp4e9we
79,do tanto que ja fui picada por mosquito hoje certeza que peguei zika virus
157,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/cqDwymWIKj
205,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
120,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
95,"Conheça a rede Zika, força-tarefa de 42 laboratórios contra o mosquito Aedes Aegypti - https://t.co/uWepM5Nttw https://t.co/YzTjrc5G0n"
132,Começo a crer que funkeiros são os progenitores dos mosquitos que transmitem o zika vírus
156,Então a Dilma criou o mosquito Zika? Pqp em...
13,se a marina cancela por causa de zika eu viro mosquito e vo la na casa dessa desgraçada
202,"E a @RedeGlobo resolve mudar o nome do mosquito transmissor da Zica, agora é EDSEGIPTI. Foi ideia sua @realwbonner?"
168,e a quantidade de mosquito é impressionante ainda bem que meus anti corpos sao muito bons senao eu ja tava com zika dengue e as porra tudo
36,"ri a beça, mas to morta e fiquei mais de uma hr perdida no meio do mato e provavelmente peguei zika pq oq tinha d mosquito nql lugar GZUIS"
229,Sou a favor do governo distribuir bolhas anti contato com o ar que o mosquito do Zika respira pq até isso deve ser contagioso
18,Sou a favor da extinção dos mosquitos todos Acaba com dengue zika etc
197,"Com a atual epidemia causada pelo mosquito Aedes aegypti, transmissor da dengue, zika e febre chicungunya,... https://t.co/dtZRWUzzeQ"
194,"@wictorshow nesse caso do zica ai.. tao culpando o mosquito sendo que o culpado ? o governo! Deram vacina vencida sei la, q deu errado..."
20,"@drangelocarbone distribui onde tem.mais zica ,para espantar mosquito"
53,G1 A facilidade de disseminação do vírus da zika em mosquitos culex contaminados em laboratório foi confirmada... https://t.co/ehBlzdoKw2
161,'Combate ao VÍRUS do MOSQUITO ZIKA'!!!!!!!!!!  https://t.co/y1PmhXn7cR
224,se a beyonce pensar em cancelar por causa do zika virus eu mando o mosquito pra casa dela
46,Tão a profetizar Zika assim😩. Nós sempre convivemos com mosquitos 😂
213,Recebi a informação de que tomando 5 gotas de própolis por dia nosso cheiro afastaria o mosquito da zika. Alguém... https://t.co/xE2F8Q4DjO
170,"Se a minha zica viesse do mosquito, eu tava feito. PQP."
192,"Com a ajuda de aplicativos, viajantes podem contribuir para eliminar os focos do mosquito: https://t.co/Gdru9U0Xkr #CombateAedes #ZikaVirus"
5,"Convido a população e entidades pra unirmos forças em ações de combate ao mosquito Aedes Aegypti transmissor da Dengue, Zika e febre Chik..."
221,do jeito que passam a notícia não pode ver um mosquito que ja pega zika e se estiver gravida fodeu pq teu filho vai nascer com microcefalia
238,É a coisa mais certa a se fazer.O Ministério da saúde está voando mais q o mosquito aedes.Pouco sabem sôbre o Zika. https://t.co/oI1siOQNGB
70,"Se a nicki não vem pro brasil por causa desse zika virus,ah mas eu vou dar tanto na cara desse mosquito"
231,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
206,"Sobre a microcefalia causada por Zika Virus, parece que os governos têm uma leve tendência de preferir matar bebês a matar os mosquitos."
67,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika https://t.co/y52yxgV1LG via @tvconexao33
118,Com a fome de 3.400.258 mosquitos zika
93,"E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados Liberados aos Milhões, inclusive no Brasil https://t.co/8hdDjJxisi"
124,"Consulte a cartilha sobre o vírus Zika. Se o mosquito pode matar, ele não pode nascer!... https://t.co/Mb4IHbcI13"
30,"Se a Dilma ficar até 2016,  o mosquito da zika vai chegar em todo Brasil. Praga da Dilma Ramses https://t.co/OQPelDUXa6"
