,tweets_pronouns
604,Só zika na minha vida e nem é culpa do mosquito
1843,"Já n basta eu ter pego essa porra de zika agora eu peguei essa chicunguinha tbm, mosquito maldito 😦😦"
1002,@dmansucks  - melhor sagitariana do site  (depois de mim pq né) - best person  - amo e vou proteger  - menina zika - preciosa
732,"Minha casa tá cheio de mosquito. Assim fica difícil desviar das zika, Deus"
3150,"espero não ⭐️ com zika dnv, só hoje uns 10 mosquitos me morderam"
4399,Aqui o mosquito não tem vez #zika #dengue #chikungunya Eu faço a minha parte #MOGIcidadã equipe… https://t.co/6GCXGbDZ9G
159,Eu to com medo desse zika vírus ainda mais que eu sou alérgica a mosquito
5820,@liveforcamren eu to quase buscando esse mosquito pra picar ela pra ela ter zica mesmo. MUITO CHATA KKKKKKKKKKKKKKKKKKKKK
4439,Tem um mosquito da raça 'ZIKA' perto de mim 😬
1128,Qualquer mosquito q se aproxima de mim mato logo com medo do zica vírus
317,Combate contra mosquito transmissor da dengue e zika  será na quarta no Nosso Teto e Antonio Assad Alcici -  https://t.co/Y8JrZPnyvV
5591,Vo compra capa d chuva pra me esconder do mosquito da zika  Vai que ele me ache e me dxa zikada  #SdvComOsTagueirosE
5792,"Mostrei a foto do bicho pra minha mãe ai ela: 'não é mosquito então não é zika virus nem dengue, vai dormir'"
4526,Meu Santo Antônio vai ficar tanto tempo dentro do copo q vai até criar o mosquito zica c a água parada
4745,"Tá rolando uma confraternização de mosquitos aqui no meu quarto. Se eu não pegar zika, vai rolar um choque anafilático aqui!"
2005,"É tanto mosquito, que já nem sei qual está me mordendo, se é Zica Virus, Chicungunha/ chikungunya.. Slá o nome disso"
3951,#TagsBReMafiaSdv Se eu pego esse mosquito da zica eu mordo ele todo
1377,Nossa eu to toda picada de mosquito é uma questão de tempo ate eu descobrir se eu to com zica Chico cunha ou dengue
4837,Eu tô tão complexada com essa zika que qualquer mosquito que chega perto de mim eu já fico louca
1952,"@goaway_bitch oi, baby, tô melhorando! Porém zika muito bad vibes, não recomendo vc a passar perto de mosquitos. brigada, meu amô &lt;33"
534,"Esses mosquitos me irritam ai eu fico pensando toda preocupada com a isa que ta gravida, esse bgl de zica virus ai"
4322,tinha um mosquito aqui mas eu n vo mata o zika meu parça
4314,"Dei tapão e matei maior mosquitão no pé da minha irmã enquanto ela tava dormindo e ela ainda me dá um soco. Querida, poderia ser o da zika"
2902,vejo mosquito já fico me coçando e já era peguei zika dengue o outro lá com nome difícil
4206,Si con todos estos malditos mosquitos no me da zika soy inmune!
661,todo mosquito que eu vejo eu acho que é dengue  ou zika ou chikungunya  ou aids  culpa da globo
5534,Minha mãe viu no rj q o mosquito da zica gosta de suor ela levantou p tomar banho na hora KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
694,Os primeiros mil dias de vida nos tempos do zika vírus:  O mosquito que ameaça um dos períodos mais importan... https://t.co/lnvGdKyW2z
1011,"Ontem na casa da Aline um mosquito igual da zika me picou, tomara q eu n fique doente."
1914,"Todo mosquito q eu vejo eu caço ele até no inferno p poder matar, zika nunca mais"
3901,gente a zica não é só do mosquito não porque essa zica que eu tô no cartola não é normal!!!!
997,"Esqueci a janela aberta e o teto tá forrado de mosquito,só falta um Zika vírus  msm pra completar a minha desgraça"
3109,acabou de passar na tv além do mosquito zica etc agora tem o morcego raivoso  KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK EU TO RINDO SORRY #askbelieber
1762,toda vez que um mosquito me pica o cu trema com medo de ser a zika
4270,Gostei de um vídeo @YouTube https://t.co/PfKHhVodFz We Rid The World Of Zika Mosquitoes?
5264,"Pela notícia parece que vão sair atirando-se nos mosquitos pela rua, hahahaha #ZikaZero #ZikaVirus https://t.co/iMAZOcpFzK"
642,to lembrando dos meninos me gastando na escola falando q eu sou a Zika mãe kkkkkkk e q quando eu ando os mosquitos vão atrás de mim
2371,"Quanto mosquitos na casa da minha avó, vou pegar zika"
4929,Isso explica por que eu peguei zika! No Setor Oeste não há foco do mosquito da dengue e eu quase não saio de casa. https://t.co/tkodIx1iqT
5519,"Vamos nos defender do mosquito da dengue, que agora transmite chikungunya e zika virus."
1098,"Minha mãe agora seca box e blindex por causa da zika. Mosquito chega e sai puto, nem uma gotinha. Vou fazer piada com isso pra sempre."
3286,"@Tsavkko sim, isso eu entendi. Mas minha conclusão foi: ok, esse mosquito não serve de nada, não reduz população de Aedes. E o zika nisso?"
171,"@o_antagonista Pergunta: quem infectou zika nos mosquitos, que sempre existiram, para eles espalharem nos humanos?"
4296,acabei de matar um mosquito me parece o zika  mas não sei se ele me picou primeiro então se eu morrer desde já odiei conhecer vocês
146,ESSE MOSQUITO ZIKA É O MESMO PERNILONGO QUE VIVE NOS SUGANDO? PQ TA PARECENDO MUITO RS
