,tweets_pronouns
0,Acordada por causa do mosquito insistente. Com insônia pq fiquei pensando o que acontece se eu pegar zica sem plano de saúde
1,"@estevam667 hahahahhahaha eu já não me reconheço, Esteban. devo ter sido picado por algum bicho, mosquito zika-HETERO hahaha"
2,"Ela perguntou como eu peguei Zica e eu disse por causa do mosquito, aí ela falou 'isso que dá deixar água parada ' 😂😂😂😂😂😂😂😂😂😂😂😂"
3,To sentindo umas picada de mosquito e tudo o que eu penso é que É ZIKA VO MORRE
4,"Toda vez que eu vejo um mosquito, eu ja penso que vou ficar com zika"
5,"Por devorar mil mosquitos por hora, morcego vira arma contra a zika nos EUA https://t.co/bhms7l5Dex"
6,"Por devorar mil mosquitos por hora, morcego vira arma contra a zika nos EUA . He he he, Eu já antecipei isso na minha chácara."
7,"@eunaousoroupas Nos Estados Unidos: Por comer mil mosquitos por hora, morcego vira arma contra a zika: Por co... https://t.co/hWCpb1s395"
8,"É assim que grande parte dos estrangeiros nos enxerga, entre a natureza selvagem e mosquitos transmissores de zika.  https://t.co/eCqxvJcxDi"
9,Morcegos viram arma contra a zika nos EUA por comerem mais de mil mosquitos por hora.
10,Morcegos viram arma contra #zika nos EUA. O mamífero pode devorar até mil mosquitos por hora.  https://t.co/MaecaWIJDR | via @UOLNoticias
11,Obrigado @redbullracing por tentar nos proteger do zika virus https://t.co/qefZeSnpuK
12,"Tem muito mosquito aqui,se eu não pegar uma zika nem comemoro"
13,Toda madruga eu mijo de medo desse mosquito da dengue/zica/chymgugunha
14,Meu quarto ta cheio de mosquito ...to c medo de pegar dengue ou zika 💔
15,Deixa eu ficar bom dessa Zica pra ver se  n vou metralhar todo mosquito q eu encontrar
16,09/10/16 18:20:40: zika vírus: ta engordando em mosquito    KKKKKK seria meu sonho?
17,[21/10 12:03 AM] Minion 💛: 'Mosquito seguiu vc' se eu pegar zika por causa desse mosquito vou até o inferno caçar ele
18,Repelente contra o mosquito do zika vírus custa até 79% mais caro nos sites  https://t.co/YDgzEPhRls
19,"Com tanto mosquito que tem aqui em casa eu acho que saio daqui Com Zika, Dengue e 30181727282 doenças e ela transmite"
20,@Caetano_Dsc Pode ser zika vei. Onde eu tava estava lotado de placa falando que era área de risco do mosquito. Ate no aeroporto tinha
21,O nome do mosquito é zika.. Meu deus até os mosquitos estão sendo infectados kkkkkkkkk
22,Uma mina lá da gringa respondeu meu comentário assim: 'Zika' com uns emojis de mosquito. Venenosa essa aí hein!
23,"Uma coisa que vocês podem ter certeza é que se eu pegar zika, foi por picada de mosquito, porquê beijar na boca tá difícil."
24,Eu sabia que isso não era culpa de mosquito do Zika! https://t.co/M9kf1mWi6m
25,Is tol sendo devorada pelos mosquitos aqui no shopping Total  É hoje que eu pego Zika
26,Fiquei tão mal que dormi no chão e os mosquitos me comeram vivo... Zika virus tio
27,me trague como 5 mosquitos corriendo me va a agarrar zika
28,"mas se bem que em tempos de Zika, não e má idéia usar vestido , o ruim é o calor!mas eu tenho uma moça pra proteger né"
29,"Cara, todo mosquito que me pica meu ** pisca... TO COM UM MEDO DO CARALHO DE PEGAR ESSES ZIKA VIRUS E CHIGUNGUYA DA VIDA..."
30,antes eu matava os mosquito tudo hoje qualquer um q me encosta ja acho q eh o zika
31,Meu wpp vai criar mosquito da dengue zika vírus o caralho a 4 de tão parado q ta
32,Af caralho meu primo ta com zika e ele dorme no msm quarto q eu. Certo q os mosquitos  vão picar ele é me picar
33,Esses mosquito projeto de Zika estão me deixando louco
34,tem uma caralhada de  mosquitos trasmissores de zika virus e dengue a me rodear #BlocoDetremuraSdv
35,"Esse bagui de zika ta mexendo comigo man, qualquer mosquito que pousa ou chega perto de mim eu do um tapao, to ficando cheio de marca 😅"
36,"Uai, já não fizeram isso em Piracicaba este ano? We Have the Technology to Destroy All Zika Mosquitoes https://t.co/yJFUEaeMq1"
37,Cada picada de mosquito q eu recebo me pergunto se peguei a zika
38,@carlos_fdrs @o_antagonista quisera todos os nossos problemas fossem por causa de um mosquito. A pior zica é a que 'governa' nosso país.
39,"Por cada mosquito que me pica me traumo pensando si tengo sida , zica o dengue 😷"
40,Um mosquito me picou e agora será q essa porra tem zika vírus
41,"Depois descobri que era um alerta sobre o zika vírus, nossa que campanha maravilhosa de aparecer mosquito na minha tela"
42,@marisa_lobo Esse negócio de zika está estranho pra mim. Será que vem do mosquito mesmo?
43,Tá aí... Qdo eu publiquei a meses atrás que nada tinha a ver '''mosquitos ( zica e dengue) com essa... https://t.co/4EkXi4kIOs
44,toda vez que um mosquito me pica eu penso fODEU EH O MOSQUITO DA DENGUE ZIKA CHIKUNGUNYA
45,@NatGeoPhotos @NatGeo Who are we to make mosquitos extinct? #ZikaVirus
46,Tem mosquitos me picando não seja zika por favor
47,um mosquito me picou ai meu deus que nao seja zika virus
48,"Teve uma época em que foram soltos vários mosquitos da dengue do 'bem', eu acho q esses mosquitos quem trouxeram essa zika e chicungunha..."
49,"Minha mae não foi picada pelo mosquito, mas eu sou zica kkkk"
50,Xô zika...O papel da nossa mídia golpista é ser o mosquito do Brasil? https://t.co/Ta4vmf1eaE @tijolaco https://t.co/tZqi2b5xqa
51,@jornalhoje Qual interesse dos EUA em ajudar o #Brasil nos estudos do vírus #Zika ? Aí tem. #MosquitoTransgenico
52,DA SÉRIE: OS MOSQUITOS PENSADORES.(“O que é falso e o que é verdadeiro nos boatos sobre zika”)https://t.co/3z18ucwinM
53,#ZikaVirus Milhões de mosquitos geneticamente modificado serão introduzidos nos países afectados pelo vírus ZIKA para controlar a epidemia.
54,"Gata, eu não sou mosquito transmissor da Zica mas estou doido pra te pegar."
