,tweets_VERB
845,entrei na cozinha e me deparei com o zika vírus mas antes um mosquito q uma barata
981,Gostei de um vídeo @YouTube https://t.co/dYb7xxayl5ão é infectado pelo Zika Vírus e vira o mosquito da dengue
1720,Olha o mosquito Zica https://t.co/VuLXJQtyD5 https://t.co/YxecpYdQit
2137,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
998,nois que fica na bad n eh mosquito mas nois eh zika de mais
1652,Adicionei um vídeo a uma playlist @YouTube https://t.co/RfEIMbfaZ3 ESPETACULAR 06/03/2016: CACHORRO QUE FAREJA MOSQUITO ZIKA |
2860,Gostei de um vídeo do @YouTube de @pirulla25 https://t.co/ijfGfbg3RA #Zika: Água parada pra combater mosquito??? (Pirula #125)
1595,"Falam que Zika é transmitido por beijo, mais quem vai beijar o mosquito? '-'"
867,"Começou hj, em todo o País, a Mobilização da Educação #ZikaZero, p/ ampliar a luta contra o mosquito q transmite dengue, zika e chikungunya."
2298,Acho q essa gurizada de Gravataí q se vestia com peita xxxxg na antiga foram picados pelo mosquito e pegaram o zika vírus
1640,"Tem um mosquito me picando, sera se é zika"
2290,"Entrando agora o Aedes aegypti, numa alusão ao Zika.   Now enters the Zika virus mosquito.  #OpeningCeremony #Rio2016"
3078,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/cXlciy8eDB #Zika: Água parada pra combater mosquito??? (Pirula #125)
2855,"Preparada para o Carnaval?  Proteja-se contra o Aedes aegypti, mosquito transmissor da Dengue, Zika vírus e... https://t.co/eDYeGehOwZ"
3112,"Chega de correr riscos com os mosquitos transmissores da DENGUE, CHIKUNGUNYA e ZIKA. Contatos:(11)98174-3538 https://t.co/MBcizht0eq"
3267,Tem tantos mosquitos aqui no portão que eu acho que já peguei Dengue e zika
1862,"Achei q era proposital, pq o mosquito da zika não gosta de água suja e tal 😒 #olimpiadas2016 https://t.co/YCKzVXwG2A"
2159,"Acho que o Ian ficou com medo de pegar zika através do toque, porém só se pega pelo mosquito. Né galera @DaydreamBR @VampireAttract ?"
621,"Falando em mosquito, a relação do Zika Vírus com a microcefalia é uma falácia e o tempo mostrará!  https://t.co/kgwVYnq3kt"
3427,Tem um mosquito aqui na volta to com medo que ele me beje na boca e me passa o tal zika vírus
3192,Acho q um mosquito da zika me mordeu
1309,"Gostei de um vídeo @YouTube https://t.co/0IZgCBCiZR Caseiro receita contra o mosquito que causa a dengue, zika, etc"
3581,"Plante com segurança. Não crie criadouros para o mosquito transmissor da DENGUE, CHIKUNGUNYA e ZIKA VÍRUS https://t.co/P8goSYE5qI"
375,Confira como fazer em Casa a Vela de Citronela para espantar mosquitos - Zika Vírus  Saiba mais:... https://t.co/PdLFiXrpEG
1818,"tinha uns 10 mosquitos querendo atacar minha perna debaixo da mesa, se não peguei zika agora eu to imune"
928,Entenda mais sobre o zika: mosquito é o principal perigo para a transmissão da doença https://t.co/kVujo79mJA
3250,'Usar roupas escuras atrai o mosquito transmissor da zika' Pronto! Não dá mais nem de ser Emo gótico sem correr risco de virar funkeiro.
992,@UOL a chance de ser estuprado por um mosquito da zika é menor
498,Saiba toda a verdade sobre a farça do zika virus transmitido pelo mosquito da dengue ! https://t.co/q84Jz8lwq8
2172,"Acho que peguei zica, dengue, chicungunha, a porra toda e nao sei pq pqp p lugar pra ter mosquito"
3144,"Tinha um mosquito mt bolado no meu pescoço. Matei ele, tava cheio de sangue. Será q eu vou pegar Zika tb?"
3129,Defumando a cidade contra o mosquito #zika #chicungunya #havana #cuba https://t.co/uO9SCJRwb7
