,tweets_pronouns
4457,hoje eu já matei no total 3 mosquitos zika vírus e levei o total de 40 picadas
2820,se eu pegar zika vírus entrarei com um processo básico  terrível essa sala cheia de mosquito
5115,"'Cuidado com o zika, Júlia' Vlw pelo aviso vó, agora com ctz serei cuidadosa e nenhum dos 1279 mosquitos vão me pegar na sua casa MARAVILHOS"
4942,"@ISlower_ vc podia ter falado: 'ele é topper' mas zika n, eu penso em mosquito, eu imaginei vc com um juliet"
5831,"A minha casa está cheia de mosquito e o foda é que nem sei mais o quê é. Se é muriçoca, mosquito da dengue ou o zika... PORRA!"
3247,"os mosquitos tão me mordendo to sentindo nada, só não posso pegar zica"
2201,"Gente, me contaram que a história da relação entre mosquitos modificados e zika era hoax. Desfiz os tuítes. Perdão."
4285,"Acho que não vou pegar essa Zika não. O mosquito até desanima quando me vê caminhando cedinho na Lagoa 'nessa é sacanagem,"
2713,nossa minha mãe ta me repelindo como se eu fosse o mosquito do zikavirus
4935,"@andrizek será que desculpas como, não ganhei a medalha porque tinha um mosquito AEDES. no meu caminho ? ZIKA! @Redacao_Sportv kkk"
5143,Tava falando com os mosquitos e eles falaram q não me picam pq ja sou zika
2678,tinha um mosquito zika vírus na minha água .
1024,"Aí hoje ele me diz que só agora descobriu que zica era uma doença mesmo, transmitida pelo mosquito e tal."
1522,"Cara To loca, N tem mosquito, mas To me sentindo toda picada e coçando kkkkk é as alucinações do zika"
5287,gente tinha um balde aqui com agua da chuva ai minha foi ver ta cheio de filhote do mosquito da Zika SOCORRO #askbelieber
4822,"Qualquer picada de mosquito em mim ja acho que é dengue, zika vírus ou sei lá oque, tá foda"
4871,No momento usando minha fantasia de Avast pra me proteger do zika virus
4333,"me chefe começou o dia falando q colocou os mosquitos da casa dele na coleira, q vai vencer o zika..."
5888,Meu Carnaval tá tão parado que daqui a pouco é foco do mosquito Zica Virus.
1384,Todo mosquito q eu vejo eu falo q é zika 😂😂😂😂
1137,"Para fechar o ano com chave de ouro , essa merda desse mosquito da dengue me mordeu e agora estou com essa porra de zica 😅"
1755,Participe da nossa app 'Sem Zika' e nos ajude a combater o mosquito: https://t.co/b1RU1Kp5rV https://t.co/MGlYqZnpZ3
1752,"@claudeooh, com certeza temos! 🙌 Mas, não podemos nos esquecer dos mosquitos que já nasceram. Contra o Zika somos todos um! #123saizika 👊💤"
4219,Pra mim todo mosquito que vejo agora é zika vírus
3879,"Cada hora que passa na tv sobre a zica me da mais medo, cara tem que acabar logo c esse mosquito 😠"
3783,"Sai mosquito, meu aniversário ta chegando, n posso pegar zika"
1113,"Depois que eu descobri que o que passa Zika é  um mosquito, todo mosquito que me pica  eu penso fudeu vou pegar Zika"
4241,ultimamente não posso ver nem a sombra de um mosquito que já saio me debatendo  quem tem zika tem medo
4661,tem um mosquito no meu quarto q ta me irritando ja e eu espero mt q nao seja o zika
3814,"Vamos nos unir para combater a proliferação do mosquito que causa a Dengue, a Zika e a Chikungunya. A prevenção é... https://t.co/qfaX7r74xo"
1610,Já matei 4 mosquitos #Aedes  no meu quarto hj ... como proceder? Medo da #dengue #Zika #chikungunya https://t.co/sefe48ffxy
3606,"Espero q esse frio  diminua a zika, dengue, chicungunha e aumente a nossa putaria. Aprendi no primário q mosquito nao gosta de frio."
3940,@remuly @claratton oS numeroS 8 e se proteger do zika virus revolucionou minha vida
3399,"Tem um mosquito da zica aqui na sala, toda hora esse fdp me pica.."
5433,"Bolt tira sarro sobre Zika: 'Sou rápido, mosquitos não podem me pegar' https://t.co/MqfpOWqyyI - Via: #Globoesporte"
3923,"Um mosquito me mordeu crl to com medo pq ta bem vermelho, é o zika"
2121,Minha casa não tem mosquitos Estou com quase recuperado da zika Descubro uma picada de mosquito na perna Medo define.
4054,"todo mosquito que me morde eu ja fico desesperada achando que é zika, olha só"
3489,'zica virus e transmitido pelo sexo'  agr me diz quem vai transar com um mosquito KKKJKKKKKKK
5029,quando um mosquito me pica já fico repreendendo vai que é o do zika vírus né
5407,Zika nao é pq mosquito nao voa nesse frio. É o meu corpo querendo chamar atenção pra alguma que eu nao sei. Mas blz. To bem.
4275,"Mosquito acabou de me morder eu já tô sentindo todos os sintomas da zika. Hipocondria, a gente se vê por aqui"
3280,todo mosquito que pousa em mim agora eu já acho que é o zika #askbelieber
5213,Tem tantos mosquitos aqui no portão que eu acho que já peguei Dengue e zika
5436,Bolt diz não se preocupar com zika no Rio: 'sou rápido. Mosquitos não podem me pegar' https://t.co/7auQXAG1Ah https://t.co/toUyxswbZo
555,Não posso ver um mosquito voando que eu já fico desesperado achando que ele vai me passar zica
2939,Eu fui picada por tanto mosquito hoje que eu espero não estar com zika ou dengue
5112,"um mosquito me picou, será q é o zika???"
5293,"@folha @UOL Esse boneco do Pelé da minha infância, foi mais uma vítima do mosquito Zica https://t.co/xFvp4vqpMF"
