,tweets_VERB
0,Acordada por causa do mosquito insistente. Com insônia pq fiquei pensando o que acontece se eu pegar zica sem plano de saúde
1,"Digo e repito: se colocasse uma MULTA para aqueles que continuam com focos do mosquito em casa, ia erradicar essa desgraça! #Zika"
2,"@Masterizando A água dos córregos existentes no Bessa não seriam hoje criadouros de mosquitos da dengue, Zica ou Chicugunha?"
3,segue dicas de como se proteger do mosquito do zika ao turista que vem acompanhar as olimpíadas https://t.co/8XRjvBLvbc
4,vem um mosquito  te pica te passa zika  e fode c tdo
5,"@estevam667 hahahahhahaha eu já não me reconheço, Esteban. devo ter sido picado por algum bicho, mosquito zika-HETERO hahaha"
6,Gostei de um vídeo @YouTube https://t.co/hCdCKh1YFIão é infectado pelo Zika Vírus e vira o mosquito da dengue
7,"vence enfermedades transmitidas por vectores (dengue, Zika...) ¡Al mosquito!, ¡Ni Agua! https://t.co/eCWtlsFs7V"
8,"@eunaousoroupas Nos Estados Unidos: Por comer mil mosquitos por hora, morcego vira arma contra a zika: Por co... https://t.co/hWCpb1s395"
9,"vence enfermedades transmitidas por vectores (dengue, Zika...) ¡Al mosquito!, ¡Ni Agua! https://t.co/uVq7lix2sp"
10,Obrigado @redbullracing por tentar nos proteger do zika virus https://t.co/qefZeSnpuK
11,"Tem muito mosquito aqui,se eu não pegar uma zika nem comemoro"
12,"crl que mosquito fdp mano, nunca queira ter zica"
13,Deixa eu ficar bom dessa Zica pra ver se  n vou metralhar todo mosquito q eu encontrar
14,Pergunto: Quem pedirá música no Fantástico pelas três 'novas' doenças no Brasil transmitidas por mosquito? #FebredoNilo #Chikungunya #Zika
15,"Apareceu tantos mosquitos nessa sala, que provavelmente acabei de contrair zika ou dengue. Ou os dois."
16,"Odeio verão vc abre a janela a noite pra pegar um ventinho, entra mosquito, pernilongo, zika, barata, testemunha de Jeová e a Regina Cazé !"
17,tinha um mosquito aqui no quarto taquei tanto sbp que o chao ficou molhado mas isso ai unidos contra a zika
18,Quer dizer então que a nova doença contraída através do mosquito chama-se 'zica'?!  Kkk que fase. 'Tô numa zica danada' nunca mais direi.
19,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/I5nvWu2yg7 #Zika: Água parada pra combater mosquito??? (#Pirula 125)
20,Fiquei tão mal que dormi no chão e os mosquitos me comeram vivo... Zika virus tio
21,DA PREVENÇÃO À ORAÇÃO:Foliões relatam as táticas usadas para se proteger do Zika vírus e da AIDS durante o Carnaval https://t.co/DiPtNN9q2y
22,tem uma caralhada de  mosquitos trasmissores de zika virus e dengue a me rodear #BlocoDetremuraSdv
23,"Tem um mosquito zumbindo aqui, estou com medo de ser mais uma vítima da zika"
24,"Sabe o q acho curioso? De repente o mosquito da dengue não transmite mais dengue, só o zica. Em todos os lugares ao mesmo tempo! 😱😱😱"
25,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/XjYdqfFn4a #Zika: Água parada pra combater mosquito??? (#Pirula 125)
26,"Reparei agr que to cheia de manchinha vermelha no corpo, espero que seja mordida de mosquito e não zika"
27,PRENDAM OS MOSQUITOS! Casos de zika em presídios preocupam juiz https://t.co/Ynyr1op7wB
28,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/x13b2PNzGI #Zika: Água parada pra combater mosquito??? (#Pirula 125)
29,abro o site da ufrgs e tem o mosquito da zika/dengue
30,"Acho que quem trouxe a zika para o Brasil não foi o mosquito. Foi o PT,a zika está brava em tudo."
31,Tá aí... Qdo eu publiquei a meses atrás que nada tinha a ver '''mosquitos ( zica e dengue) com essa... https://t.co/4EkXi4kIOs
32,Tem mosquitos me picando não seja zika por favor
