,filtered_tweets_pt
0,Pulseira afasta mosquito que transmite a zika https://t.co/6gkUN0rVsz https://t.co/E1KieiV36u
1,Pulseira afasta mosquito que transmite a zika  https://t.co/BlDCo6NV9T pic.twitter.com/E1KieiV3... https://t.co/0Gyf2C9DsF @peqempresas
2,Acordada por causa do mosquito insistente. Com insônia pq fiquei pensando o que acontece se eu pegar zica sem plano de saúde
3,@JornalOGlobo também é eficaz contra o mosquito transmissor do zika vírus.
4,"Os agentes contra o mosquito da #Dengue, #Chikungunya, #Zika e #FebreAmarela estão no Jd Wenzel e Terra Nova. Nebulização: Santa Elisa."
5,Por favor Marcelo denúncie a quantidade de mosquitos no Recreio está muito grande o verão promete vai ser a zica olímpica #selecaosportv
6,Barreto a olimpíada acabou mas a quantidade de mosquitos no Recreio está assustadora vem aí a Zica verão denuncie por favor #selecaosportv
7,WhatsAppMandaVideo #457 - Mustafary 'Mexendo com o mosquito ZIKA': https://t.co/ZcsFSKFqid via @YouTube
8,"Digo e repito: se colocasse uma MULTA para aqueles que continuam com focos do mosquito em casa, ia erradicar essa desgraça! #Zika"
9,Mais uma vez bato na tecla do mosquito da dengue e do Zika virus. Não à água limpa e parada. Não aos mosquitos. Comece por você.
10,"Mosquito da dengue só transmite dengue fazem décadas. Agora do mosquito da dengue surgiu Zika, Chikungunya, Microcefalia, etc.😞"
11,"@Masterizando A água dos córregos existentes no Bessa não seriam hoje criadouros de mosquitos da dengue, Zica ou Chicugunha?"
12,segue dicas de como se proteger do mosquito do zika ao turista que vem acompanhar as olimpíadas https://t.co/8XRjvBLvbc
13,vem um mosquito  te pica te passa zika  e fode c tdo
14,"@estevam667 hahahahhahaha eu já não me reconheço, Esteban. devo ter sido picado por algum bicho, mosquito zika-HETERO hahaha"
15,Esse mosquito é um filho de uma puta cheio de zica!!!!!! SAI DAQUI SEU FDP
16,Solução barata e ecológica para combater mosquitos que podem espalhas Zica e outras doenças: morcegos! https://t.co/eg5huO9F9I
17,"Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise [morcegos são bem vindos!] https://t.co/fLR8pdGfPP"
18,"Agentes contra o mosquito da #Dengue, #Chikungunya e #Zika estão na V.Olinda e Jd.Cidade Azul. Nebulização:V.Olinda https://t.co/ZYltLw32Cp"
19,"Cidade americana atrai morcegos para combater mosquito do zika: NORTH HEMPSTEAD, Nova York — Com o início do ... https://t.co/1Mxb7exbZh"
20,Cidade americana atrai morcegos para combater mosquito da zika. https://t.co/mHCm48gm1R https://t.co/pGcJjsHARB
21,https://t.co/AThc4Uk0PI : Cidade americana atrai morcegos para combater mosquito da zika https://t.co/xzqt3jX4On
22,Eba o mosquito Aedes tbm é triplex kkkk pika dengue pika zika e chicunCunha kkk isso mesmo Cunha kkk
23,Repelente natural para se proteger do mosquito do zika vírus https://t.co/BJNmL6jI3p
24,vc abre a janela e entra mosquito pernilongo abelha boi boiada zika onça jacaré dinossauro elefante girafa hiena tudo... menos o vento
25,"Se o mosquito não pica, Tchau zica 👋👌😂"
26,Qual atividade física você anda praticando? Ultimamente matar os mosquitos da dengue/zika na palmada mesmo! 😂😂😠😠😲😲 https://t.co/UX3kPXku2V
27,Gostei de um vídeo @YouTube https://t.co/hCdCKh1YFIão é infectado pelo Zika Vírus e vira o mosquito da dengue
28,"Ela perguntou como eu peguei Zica e eu disse por causa do mosquito, aí ela falou 'isso que dá deixar água parada ' 😂😂😂😂😂😂😂😂😂😂😂😂"
29,Ta vendo bom policial livrou a menina de uma mordida de mosquito ... #zica .... Correto abusada ..... https://t.co/nVjPjMExL7
30,#aupnofoxsports Mosquito nao pica em quem nao faz sexo ?https://t.co/JnK67Ae3nO
31,To cheia de picada de mosquito to com medo n posso pegar zica chico cunha dengue socorro
32,"@luscas ta muito engraçado os gringo com medo de zika 😂😂😂😂 eles acham que Nois todo ta infectado e os mosquito voa atrás deles , só pode 🙄✋🏽"
33,To sentindo umas picada de mosquito e tudo o que eu penso é que É ZIKA VO MORRE
34,"No movimento das Olimpíadas, até mosquito da Zika conseguiram controlar para o evento! Só acho..."
35,"Toda vez que eu vejo um mosquito, eu ja penso que vou ficar com zika"
36,"Por devorar mil mosquitos por hora, morcego vira arma contra a zika nos EUA https://t.co/bhms7l5Dex"
37,"Repelente caseiro afasta o mosquito da Dengue, Zika e Chikungunya - https://t.co/xkmtjQWvLo"
38,"vence enfermedades transmitidas por vectores (dengue, Zika...) ¡Al mosquito!, ¡Ni Agua! https://t.co/eCWtlsFs7V"
39,Não se preocupem com a Zika. Estou cuidando dos mosquitos. #bifanazoreba https://t.co/0n3LrZffJX
40,"Só que com o caô safado de que estão com medo da Zika. Esse mosquito refinadíssimo só pica golfista. Enfim, que não esteja nas próximas."
41,"Muita gente acha que o perigo do zika vírus já passou, por conta do fim do calor. Mas o mosquito ainda ronda e o... https://t.co/4MlutNXZmr"
42,"Por devorar mil mosquitos por hora, morcego vira arma contra a zika nos EUA . He he he, Eu já antecipei isso na minha chácara."
43,"Olha, To sendo tão alvo de mosquito que acho que já To com anticorpos pro zika, pqp"
44,Pesquisas apontam que pernilongo também pode transmitir zika: O mosquito Aedes aegypti tem sido apontado como... https://t.co/yPa9hwGqRs
45,Golfistas desistem por medo do Zika. Sugiro que alguém vá fantasiado de mosquito acompanhar os Jogos
46,"@eunaousoroupas Nos Estados Unidos: Por comer mil mosquitos por hora, morcego vira arma contra a zika: Por co... https://t.co/hWCpb1s395"
47,@dariojjunior Tomara que não dê uma zika no Mengão. Se morcego pode urubu deve comer mosquitos que 'enzikam' o Fla.
48,"Na praia tem muito mosquito da dengue, tô morrendo de medo de pegar zika virus"
49,"É assim que grande parte dos estrangeiros nos enxerga, entre a natureza selvagem e mosquitos transmissores de zika.  https://t.co/eCqxvJcxDi"
50,Morcegos viram arma contra a zika nos EUA por comerem mais de mil mosquitos por hora.
51,"vence enfermedades transmitidas por vectores (dengue, Zika...) ¡Al mosquito!, ¡Ni Agua! https://t.co/uVq7lix2sp"
52,Morcegos viram arma contra #zika nos EUA. O mamífero pode devorar até mil mosquitos por hora.  https://t.co/MaecaWIJDR | via @UOLNoticias
53,"Por devorar mil mosquitos por hora, morcego vira arma contra a zika https://t.co/8wwS3UgOxu https://t.co/0CMArURzKA"
54,Tanto mosquito aqui que no mínimo já peguei zika dengue chico cunha sarampo lepra e gripe suína
55,"https://t.co/x41qeYRKKD - SulAmérica anuncia parceria com app de mapeamento do mosquito da dengue, zika e chikungu… https://t.co/SVze1beiil"
56,Obrigado @redbullracing por tentar nos proteger do zika virus https://t.co/qefZeSnpuK
57,"'O Brasil priorizou o mosquito e não as mulheres' Debora Diniz, antropóloga, sobre a Zika. #DialogoBrasil #TVBrasil"
58,"https://t.co/oxedRUW1Oq Fiocruz conclui que o pernilongo, espécie de mosquito mais comum, não transmite o vírus da Zika."
59,"Tem muito mosquito aqui,se eu não pegar uma zika nem comemoro"
60,"Devo ter contraído zika, dengue, chikungunya, peste negra, varíola e talvez ebola só no tempo em q fui ao banheiro. Os mosquitos n perdoam"
61,"O mosquito da #Dengue, #Chikungunya e #Zika não dá trégua. Agentes estão no: Recanto Paraíso, Estádio e Pq.Universitário. Neb: Cid.Jardim"
62,Pesqueira refém de um mosquito; cidade enfrenta epidemia de dengue chikungunya e zika https://t.co/4tiAiZZ8gt via @portalpe10
63,amanda zika picada pelo mosquito top https://t.co/uiEl8VurrI
64,"@silvakadu_ zika não se passa assim não, moço huehuehuehue É por um mosquito primo do da dengue"
65,"Zika prima da dengue,nunca ouvir fala neste mosquito .."
66,Toda madruga eu mijo de medo desse mosquito da dengue/zica/chymgugunha
67,"Dengue é uma doença transmitida por um mosquito zika, que por sinal também transmite o vírus zika, que também é ruim"
68,"crl que mosquito fdp mano, nunca queira ter zica"
69,"Massagueira em Marechal Deodoro teve dia D contra mosquito causador da dengue, Zica e chicungunha... http://t.co/aNKxgG7mbP"
70,Meu quarto ta cheio de mosquito ...to c medo de pegar dengue ou zika 💔
71,Deixa eu ficar bom dessa Zica pra ver se  n vou metralhar todo mosquito q eu encontrar
72,"@Bruno_Zombie pior é que dessa vez ele ia, mas o mosquito deu uma picada dele e ele ficou com dengue/zika/whatever :("
73,acabei de matar um mosquito da dengue/zika/chikungunya aqui com um tapa so
74,Gente estou com Zica Vírus. Uma doença do mosquito da dengue
75,"estranho msm é o governo liberar uns mosquitos feitos em laboratórios pra matar a dengue, e do nada surgir uma epidemia da virose ZIKA."
76,Pergunto: Quem pedirá música no Fantástico pelas três 'novas' doenças no Brasil transmitidas por mosquito? #FebredoNilo #Chikungunya #Zika
77,@jeff_gluck No Zika mosquitos here.
78,09/10/16 18:20:40: zika vírus: ta engordando em mosquito    KKKKKK seria meu sonho?
79,"Obra de contenção bairro Tirol esta paralisada e vira 'criadouro' de mosquitos! Dengue, Chigunguia,Zica! http://t.co/ydgssRXisw"
80,[21/10 12:03 AM] Minion 💛: 'Mosquito seguiu vc' se eu pegar zika por causa desse mosquito vou até o inferno caçar ele
81,"Só o lembrar que com esse calor os ratos e baratas saem do esgoto, os mosquitos voltam a reinar e trazem mais Zika e dengue pra todos"
82,Repelente contra o mosquito do zika vírus custa até 79% mais caro nos sites  https://t.co/YDgzEPhRls
83,"Apareceu tantos mosquitos nessa sala, que provavelmente acabei de contrair zika ou dengue. Ou os dois."
84,"Não bastava a zika da vida, aí vem a zika do mosquito. #SextaDetremuraSDV"
85,"Odeio verão vc abre a janela a noite pra pegar um ventinho, entra mosquito, pernilongo, zika, barata, testemunha de Jeová e a Regina Cazé !"
86,"Com tanto mosquito que tem aqui em casa eu acho que saio daqui Com Zika, Dengue e 30181727282 doenças e ela transmite"
87,@Caetano_Dsc Pode ser zika vei. Onde eu tava estava lotado de placa falando que era área de risco do mosquito. Ate no aeroporto tinha
88,"Brasil perde luta enquanto mosquito do zika continuar a se reproduzir, diz Dilma https://t.co/OQ012otJFW https://t.co/CfCDe7pWdt"
89,"A pagina É Noticia Meriti, vem recebendo varias denuncias de focos do mosquito transmissor da  Dengue,  Zica e... http://t.co/TTsLD5guSj"
90,tinha um mosquito aqui no quarto taquei tanto sbp que o chao ficou molhado mas isso ai unidos contra a zika
91,Taekwondo é zica hein. . brasileiro parece um mosquito
92,"Não acredito que tô com essa porra de zica do mosquito da dengue cara, n creio"
93,O nome do mosquito é zika.. Meu deus até os mosquitos estão sendo infectados kkkkkkkkk
94,"E com esse surto que deu de mosquito em sp,tem até o mosquito zica que loucura"
95,Quer dizer então que a nova doença contraída através do mosquito chama-se 'zica'?!  Kkk que fase. 'Tô numa zica danada' nunca mais direi.
96,Doença contagiosa que atinge a Bahia é chamada de Zika e é transmitida por mosquito; saiba mais... http://t.co/V1q7omtVmM
97,VÍRUS ZIKA - Ministério da Saúde confirma nova doença transmitida pelo mosquito da dengue. Saiba Mais [+] http://t.co/NeOJfx9mj6
98,"Com sintomas parecidos com os da dengue e transmitido pelo mesmo mosquito, Zika Vírus pode ter chegado ao Brasil. http://t.co/UDZykbuGAs"
99,"@aelingalathy pelo menos não foi algo muuuuuuuto pior tipo dengue, pq o mesmo mosquito q passa dengue passa zika"
100,Cada beijoca nesse carnaval que a probabilidade de pegar zika vai ser só pela picada do mosquito msm
101,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará” https://t.co/8GMBgmYS0a via @elpais_brasil
102,Uma mina lá da gringa respondeu meu comentário assim: 'Zika' com uns emojis de mosquito. Venenosa essa aí hein!
103,@LisLorenz kkkkkk o mosquito é zika mas nois é mais
104,"Uma coisa que vocês podem ter certeza é que se eu pegar zika, foi por picada de mosquito, porquê beijar na boca tá difícil."
105,Eu sabia que isso não era culpa de mosquito do Zika! https://t.co/M9kf1mWi6m
106,Is tol sendo devorada pelos mosquitos aqui no shopping Total  É hoje que eu pego Zika
